code,title,office,verdict,reason
04.01,תחום פעולה כללי,משרד ראש הממשלה,ambiguous,generic administrative container
04.02,ראשות הממשלה,משרד ראש הממשלה,ambiguous,generic administrative container
04.03,סטטיסטיקה ממלכתית,משרד ראש הממשלה,drop,about state statistics
04.04,רזרבה לסעיף ראש הממשלה,משרד ראש הממשלה,ambiguous,reserve fund
04.05,לשכת העיתונות הממשלתית,משרד ראש הממשלה,drop,about government press office
04.06,השלמת טיפול במפוני,משרד ראש הממשלה,drop,about evacuee treatment
04.07,רזרבה להתייקרויות,משרד ראש הממשלה,ambiguous,reserve fund
04.08,שירותי דת,משרד ראש הממשלה,drop,about religious services
04.09,רבנות ראשית,משרד ראש הממשלה,drop,about chief rabbinate
04.10,נציבות שירות המדינה,משרד ראש הממשלה,drop,about civil service administration
04.12,רשות החברות הממשלתיות,משרד ראש הממשלה,drop,about government companies oversight
04.15,נתיב,משרד ראש הממשלה,drop,about Nativ liaison bureau
04.16,נציבות שירות המדינה,משרד ראש הממשלה,drop,about civil service administration
04.20,השר לשיתוף פעולה,משרד ראש הממשלה,ambiguous,"minister's office, generic"
04.21,המשרד לפיתוח הנגב,משרד ראש הממשלה,drop,about Negev regional development
04.22,תוכנית לחיזוק הצפון,משרד ראש הממשלה,drop,about Northern region development
04.23,המשרד לשיתוף פעולה,משרד ראש הממשלה,ambiguous,"minister's office, generic"
04.51,משרד ראשי,משרד ראש הממשלה,ambiguous,generic administrative container
04.52,משרדי ממשלה ולשכות שרים,משרד ראש הממשלה,ambiguous,generic administrative container
04.53,סטטיסטיקה ממלכתית,משרד ראש הממשלה,drop,about state statistics
04.54,הרבנות הראשית לישראל,משרד ראש הממשלה,drop,about chief rabbinate
04.55,נציבות שירות המדינה,משרד ראש הממשלה,drop,about civil service administration
04.56,המשרד לשיתוף פעולה,משרד ראש הממשלה,ambiguous,"minister's office, generic"
04.57,המשרד לשוויון חברתי,משרד ראש הממשלה,drop,about social equality
04.59,לשכת הקשר נתיב,משרד ראש הממשלה,drop,about Nativ liaison bureau
04.60,מנהלת השירות האזרחי,משרד ראש הממשלה,drop,about civil service administration
04.61,החטיבה להתיישבות,משרד ראש הממשלה,drop,about settlement activities
04.62,המשרד לשירותי הדת,משרד ראש הממשלה,drop,about religious services
04.63,המשרד לפיתוח הנגב,משרד ראש הממשלה,drop,about Negev regional development
04.64,הרשות לפיתוח המגזר,משרד ראש הממשלה,drop,about sector development
04.70,רזרבות,משרד ראש הממשלה,ambiguous,reserve fund
04.99,חשבון מעבר,משרד ראש הממשלה,ambiguous,clearing account
05.01,תחום פעולה כללי,משרד האוצר,ambiguous,generic administrative container
05.02,שירותי מטה ממשלתיים,משרד האוצר,ambiguous,generic administrative container
05.03,שירותי מטה כלל משקיים,משרד האוצר,ambiguous,generic administrative container
05.04,בצוע פקודת מס הכנסה,משרד האוצר,drop,about income tax collection
05.05,"אגף המכס והמע""מ",משרד האוצר,drop,about customs and VAT
05.06,שירותי עזר למשרדי ממשלה,משרד האוצר,ambiguous,generic administrative container
05.07,נציבות שירות המדינה,משרד האוצר,drop,about civil service administration
05.08,רזרבה לפעולות משרד,משרד האוצר,ambiguous,reserve fund
05.09,רשות החברות הממשלתיות,משרד האוצר,drop,about government companies oversight
05.10,שירות עיבודים ממוכנים,משרד האוצר,ambiguous,could involve AI or traditional IT
05.20,רשות המסים בישראל,משרד האוצר,drop,about tax authority operations
05.51,משרד האוצר ראשי,משרד האוצר,ambiguous,generic administrative container
05.52,רשות המיסים,משרד האוצר,drop,about tax authority operations
05.53,רזרבה למשרד האוצר,משרד האוצר,ambiguous,reserve fund
05.90,כיסוי גירעון המדפיס,משרד האוצר,drop,about covering printer's deficit
05.99,חשבון מעבר,משרד האוצר,ambiguous,clearing account
19.01,מינהל ושירותים כלליים,"משרד המדע והחלל, התרבות",ambiguous,generic administrative container
19.02,קידום קשרים בינלאומיים,"משרד המדע, התרבות",ambiguous,could involve international scientific cooperation
19.03,מחקרים ופרוייקטים,"משרד המדע, התרבות",keep,"funds research and projects, potentially AI"
19.04,מינהל מדע,"משרד המדע והחלל, התרבות",ambiguous,"science administration, could include AI"
19.05,תשתיות מדעיות,"משרד המדע, התרבות",keep,"funds scientific infrastructure, relevant for AI"
19.06,התוכנית לחיזוק הצפון,"משרד המדע, התרבות",drop,about Northern region development
19.07,רזרבה,"משרד המדע והחלל, התרבות",ambiguous,reserve fund
19.21,רשות העתיקות,"משרד המדע והחלל, התרבות",drop,about antiquities preservation
19.22,אמרכלות ועובדי משרד,"משרד המדע, התרבות",ambiguous,generic administrative container
19.31,תרבות,"משרד המדע והחלל, התרבות",drop,about cultural activities
19.32,רשות הספורט,"משרד המדע, התרבות",drop,about sports activities
19.37,מינהל הספורט,"משרד המדע והחלל, התרבות",drop,about sports administration
19.40,משרד המדע,"מדע, תרבות וספורט",ambiguous,generic administrative container
19.41,מטה המשרדים,"מדע, תרבות וספורט",ambiguous,generic administrative container
19.42,מינהל התרבות,"מדע, תרבות וספורט",drop,about culture administration
