code,year,amount_allocated,amount_revised,amount_used
04.01.22.01,2011,0,0,0
04.01.22.01,2012,0,1710000,1819468
04.01.22.01,2013,0,0,0
04.01.22.01,2014,0,0,0
04.01.22.02,2011,0,0,0
04.01.22.02,2012,0,9000,0
04.01.22.02,2013,0,0,0
04.01.22.02,2014,0,0,0
04.01.22.03,2011,0,0,0
04.01.22.03,2012,0,21000,91690
04.01.22.03,2013,0,0,0
04.01.22.03,2014,0,0,0
04.01.22.04,2011,0,0,0
04.01.22.04,2012,0,0,0
04.01.22.04,2013,0,0,0
04.01.22.05,2012,0,5865000,1475398
04.01.22.05,2013,0,0,0
04.01.22.05,2014,0,0,0
04.01.22.06,2012,0,346000,0
04.01.22.06,2013,0,0,0
04.01.22.06,2014,0,0,0
04.01.22.10,2011,0,1200000,0
04.01.22.10,2012,0,8031000,6128335
04.01.22.10,2013,0,0,0
04.01.22.10,2014,0,0,0
04.01.22.11,2012,0,0,0
04.01.22.11,2013,0,0,0
04.01.22.11,2014,0,0,0
04.02.82.16,2007,0,2690000,134300
04.02.82.16,2008,5723000,2042000,580544
04.02.82.16,2009,0,2326000,430207
04.02.82.16,2010,2340000,4182000,894861
04.02.82.16,2011,2730000,8433000,768226
04.02.82.16,2012,2730000,11831000,3719683
04.02.82.16,2013,0,0,0
04.02.82.16,2014,0,0,0
04.51.01.06,2013,139000,15000,19862
04.51.01.06,2014,139000,35000,30340
04.51.01.06,2015,0,1240000,1089180
04.51.01.06,2016,0,0,101310
04.51.01.06,2017,0,500000,559522
04.51.01.06,2018,0,658000,659694
04.51.01.06,2019,0,1417000,1184733
04.51.01.06,2020,,712000,704032
04.51.01.06,2021,0,0,0
04.51.01.06,2022,0,0,0
04.51.01.06,2025,0,0,0
04.51.01.06,2026,0,0,
04.51.08.01,2013,7718000,7718000,7020642
04.51.08.01,2014,7718000,9626000,10066562
04.51.08.01,2015,10387000,12237000,11847400
04.51.08.01,2016,22305000,22305000,24188250
04.51.08.01,2017,21301000,44776000,42167652
04.51.08.01,2018,21155000,52362000,51706109
04.51.08.01,2019,46009000,58252000,54565808
04.51.08.01,2020,,60000,31193
04.51.08.01,2021,0,0,0
04.51.08.01,2022,0,0,0
04.51.08.02,2013,317000,450000,476694
04.51.08.02,2014,317000,688000,790389
04.51.08.02,2015,326000,1036000,997100
04.51.08.02,2016,590000,1177000,1233496
04.51.08.02,2017,1518000,3068000,3190307
04.51.08.02,2018,1538000,4120000,4120033
04.51.08.02,2019,3242000,5203000,4709362
04.51.08.02,2020,,4719000,4614546
04.51.08.02,2021,4057000,4087000,4032611
04.51.08.02,2022,5145000,4245000,4269764
04.51.08.02,2023,4840000,5870000,6495327
04.51.08.02,2024,6274000,6274000,7956951
04.51.08.02,2025,6211000,6063000,6120968
04.51.08.02,2026,6262000,6262000,
04.51.08.03,2013,1365000,401000,439586
04.51.08.03,2014,1365000,551000,556997
04.51.08.03,2015,1671000,789000,796682
04.51.08.03,2016,2601000,1282000,1438459
04.51.08.03,2017,3187000,4242000,3760693
04.51.08.03,2018,3111000,4320000,4259375
04.51.08.03,2019,6662000,4782000,4594696
04.51.08.03,2020,,5213000,5164715
04.51.08.03,2021,4753000,4693000,4665404
04.51.08.03,2022,6995000,4695000,4632575
04.51.08.03,2023,6581000,5681000,5552075
04.51.08.03,2024,5934000,5934000,6324102
04.51.08.03,2025,7026000,5006000,5822291
04.51.08.03,2026,7857000,7857000,
04.51.08.04,2013,0,0,0
04.51.08.04,2014,0,0,0
04.51.08.04,2020,,48120000,47775909
04.51.08.04,2021,51642000,45082000,44791698
04.51.08.04,2022,64500000,45200000,45510070
04.51.08.04,2023,55682000,59182000,59177845
04.51.08.04,2024,64168000,64168000,64916529
04.51.08.04,2025,74597000,77022000,74404249
04.51.08.04,2026,72807000,72807000,
04.51.08.05,2013,600000,722000,703393
04.51.08.05,2014,600000,685000,693688
04.51.08.05,2015,600000,710000,664095
04.51.08.05,2016,1040000,700000,718251
04.51.08.05,2017,2875000,1550000,1556995
04.51.08.05,2018,2844000,1794000,1685101
04.51.08.05,2019,2859000,925000,868870
04.51.08.05,2020,,862000,880252
04.51.08.05,2021,3800000,2060000,2184240
04.51.08.05,2022,3800000,3100000,2987804
04.51.08.05,2023,3575000,3075000,3161603
04.51.08.05,2024,3113000,3113000,5757163
04.51.08.05,2025,3082000,5932000,6397848
04.51.08.05,2026,6508000,6508000,
04.51.08.06,2013,0,0,0
04.51.08.06,2014,0,0,0
04.51.08.06,2017,0,0,0
04.51.08.06,2018,0,698000,660223
04.51.08.06,2019,1920000,1796000,1818225
04.51.08.06,2020,,1455000,1453999
04.51.08.06,2021,1700000,500000,442777
04.51.08.06,2022,1700000,400000,378568
04.51.08.06,2023,1599000,799000,762664
04.51.08.06,2024,774000,774000,836488
04.51.08.06,2025,766000,1136000,1022403
04.51.08.06,2026,748000,748000,
04.51.08.07,2020,,0,0
04.51.08.07,2021,6000,16000,16603
04.51.08.07,2022,0,27000,28374
04.51.08.07,2023,0,50000,47160
04.51.08.07,2024,0,0,44525
04.51.08.07,2025,0,25000,24353
04.51.08.07,2026,0,0,
04.51.08.08,2021,100000,100000,168745
04.51.08.08,2022,100000,1100000,938199
04.51.08.08,2023,94000,94000,62990
04.51.08.08,2024,0,0,98042
04.51.08.08,2025,0,646000,645157
04.51.08.08,2026,0,0,
04.51.08.10,2013,5000000,5000000,1152839
04.51.08.10,2014,5000000,8417000,2797095
04.51.08.10,2015,0,0,0
04.51.08.10,2016,0,0,0
04.51.08.11,2013,23233000,9002000,4050546
04.51.08.11,2014,37773000,26712000,18158785
04.51.08.11,2015,8670000,38278000,20749920
04.51.08.11,2016,6458000,52169000,36380133
04.51.08.11,2017,1075000,56439000,35352144
04.51.08.11,2018,1098000,103925000,69606996
04.51.08.11,2019,44655000,105656000,62837526
04.51.08.11,2020,,93407000,53634267
04.51.08.11,2021,134133000,169532000,86807629
04.51.08.11,2022,89827000,232357000,163750054
04.51.08.11,2023,116354000,211081000,144007944
04.51.08.11,2024,96694000,189711000,142991985
04.51.08.11,2025,105841000,254568000,200447914
04.51.08.11,2026,99720000,99720000,
