code,title,office,domain,verdict,reason
04.01.11,שירותים מרכזיים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת גנרית, עשויה לכלול הוצאות רלוונטיות."
04.01.12,המינהלה לפרוייקטים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת גנרית, עשויה לכלול הוצאות רלוונטיות."
04.01.13,ועדת וינוגרד,משרד ראש הממשלה,תחום פעולה כללי,drop,"ועדה היסטורית, לא קשורה לבינה מלאכותית."
04.01.14,מנהלת השירות האזרחי,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק בשירות אזרחי, לא בבינה מלאכותית."
04.01.15,מנהלת השיחות עם,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק בשיחות, לא בבינה מלאכותית."
04.01.16,מטה הסברה לאומי,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק בהסברה, לא בבינה מלאכותית."
04.01.17,העצמת תשתיות מורשת,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק במורשת, לא בבינה מלאכותית."
04.01.18,ועדת טירקל,משרד ראש הממשלה,תחום פעולה כללי,drop,"ועדה היסטורית, לא קשורה לבינה מלאכותית."
04.01.19,אמרכלות,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת גנרית, עשויה לכלול הוצאות רלוונטיות."
04.01.20,מערך הגיור,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק בגיור, לא בבינה מלאכותית."
04.01.21,הוועדה הבינמשרדית,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת גנרית, עשויה לכלול הוצאות רלוונטיות."
04.01.22,מטה קיברנטי לאומי,משרד ראש הממשלה,תחום פעולה כללי,keep,סייבר לאומי קשור לבינה מלאכותית.
04.01.31,ארכיון המדינה,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק בארכיון המדינה, לא בבינה מלאכותית."
04.01.32,הנצחת נשיאים וראשי,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק בהנצחה, לא בבינה מלאכותית."
04.01.39,אמרכלות ארכיון המדינה,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק בארכיון המדינה, לא בבינה מלאכותית."
04.01.43,מינהלת מפוני סיני,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק במפוני סיני, לא בבינה מלאכותית."
04.01.61,מחקרים שונים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת גנרית, עשויה לכלול מחקרי AI."
04.01.62,השתתפות האפוטרופוס כללי,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק באפוטרופוס כללי, לא בבינה מלאכותית."
04.01.63,מפעלים חינוכיים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת גנרית, עשויה לכלול הוצאות רלוונטיות."
04.01.64,השתתפות אפוטרופוס,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק באפוטרופוס, לא בבינה מלאכותית."
04.01.70,השתתפות אפוטרופוס,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק באפוטרופוס, לא בבינה מלאכותית."
04.01.71,מרכז בגין,משרד ראש הממשלה,תחום פעולה כללי,drop,"מרכז הנצחה, לא קשור לבינה מלאכותית."
04.01.72,מרכז רבין,משרד ראש הממשלה,תחום פעולה כללי,drop,"מרכז הנצחה, לא קשור לבינה מלאכותית."
04.01.73,מרכז הסברה,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק בהסברה, לא בבינה מלאכותית."
04.01.74,יד לוי אשכול,משרד ראש הממשלה,תחום פעולה כללי,drop,"מרכז הנצחה, לא קשור לבינה מלאכותית."
04.01.75,היכל הגבורה ים-עכו,משרד ראש הממשלה,תחום פעולה כללי,drop,"אתר הנצחה, לא קשור לבינה מלאכותית."
04.01.76,חלקת גדולי האומה,משרד ראש הממשלה,תחום פעולה כללי,drop,"אתר הנצחה, לא קשור לבינה מלאכותית."
04.01.77,אתר הנצחה גולני,משרד ראש הממשלה,תחום פעולה כללי,drop,"אתר הנצחה, לא קשור לבינה מלאכותית."
04.01.78,הרשות למלחמה בסמים,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק במלחמה בסמים, לא בבינה מלאכותית."
04.01.79,"תכנית בש""ן",משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת לא ברורה, עשויה לכלול הוצאות רלוונטיות."
04.01.80,מורשת משה שרת,משרד  ראש הממשלה,תחום פעולה כללי,drop,"עוסק במורשת, לא בבינה מלאכותית."
04.01.81,אפוטרופוס כללי,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק באפוטרופוס כללי, לא בבינה מלאכותית."
04.01.82,מרכז תרבות עמים לנוער,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק בתרבות ונוער, לא בבינה מלאכותית."
04.01.83,מכון העם והמדינה,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת לא ברורה, עשויה לכלול הוצאות רלוונטיות."
04.01.84,מוזיאון בית השומר,משרד ראש הממשלה,תחום פעולה כללי,drop,"מוזיאון ספציפי, לא קשור לבינה מלאכותית."
04.01.85,נתיב - הוראת עברית,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק בהוראת עברית, לא בבינה מלאכותית."
04.01.86,שמש לאחוה ודו-קיום,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק בדו-קיום, לא בבינה מלאכותית."
04.01.87,מעקב אחר אנטישמיות,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק במעקב אנטישמיות, לא בבינה מלאכותית."
04.01.88,מרכז שזר,משרד ראש הממשלה,תחום פעולה כללי,drop,"מרכז הנצחה, לא קשור לבינה מלאכותית."
04.01.89,בית מדרש ללימודי יהדות,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק בלימודי יהדות, לא בבינה מלאכותית."
04.01.90,פעולות בעקבות המצב,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת גנרית, עשויה לכלול הוצאות רלוונטיות."
04.01.91,יד יצחק בן צבי,משרד ראש הממשלה,תחום פעולה כללי,drop,"מכון מחקר/הנצחה, לא קשור לבינה מלאכותית."
04.01.92,משרד ראש הממשלה -,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת גנרית וקטומה, עשויה לכלול הוצאות רלוונטיות."
04.01.93,יד טבנקין,משרד ראש הממשלה,תחום פעולה כללי,drop,"מכון מחקר/הנצחה, לא קשור לבינה מלאכותית."
04.01.94,קרן מנחם בדר,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת לא ברורה, עשויה לכלול הוצאות רלוונטיות."
04.01.95,מסדר לוחמי ירושלים,משרד ראש הממשלה,תחום פעולה כללי,drop,"ארגון ספציפי, לא קשור לבינה מלאכותית."
