code,title,program,reason
04.01.62.69,שיקום ושימור אתרים היסטוריים,השתתפות האפוטרופוס כללי,Not related to green energy or energy efficiency.
04.52.12.30,שימור אתרי התיישבות,משרד מורשת,Not related to green energy or energy efficiency.
04.52.12.32,פיתוח שימור אתרים,משרד מורשת,Not related to green energy or energy efficiency.
07.80.02.51,שיפץ והרחבת תחנות משטרה,קניות,Not related to green energy or energy efficiency.
07.80.02.72,קרן התייעלות,קניות,"Efficiency is too general, not energy specific."
08.20.09.02,שירותי ייעוץ להתייעלות בתי המשפט,הוצאות כלליות,"Efficiency is too general, not energy specific."
26.01.01.01,שיא כח אדם,הנהלת המשרד,"Administrative personnel line, not green energy."
26.01.01.02,תפעול המשרד,הנהלת המשרד,"General ministry operations, not green energy."
26.01.01.03,"רכישת שרותי כ""א",הנהלת המשרד,"Administrative HR services, not green energy."
26.01.01.05,שעות נוספות,הנהלת המשרד,"Administrative overtime, not green energy."
26.01.01.06,רכישת שירותי ייעוץ,הנהלת המשרד,"General consulting services, not green energy specific."
26.01.01.07,החזר הוצאות רכב,הנהלת המשרד,"Administrative vehicle expenses, not green energy."
26.01.01.08,אחזקת רכב ממשלתי,הנהלת המשרד,"Administrative vehicle maintenance, not green energy."
26.01.01.09,"חודשי עבודה - חומ""ס בהתאם להחלטת הממשלה.",הנהלת המשרד,"Hazardous materials, not green energy."
26.01.01.10,"שעות נוספות חומ""ס-בהתאם להחלטת הממשלה.",הנהלת המשרד,"Hazardous materials, not green energy."
26.01.01.11,"כונניות חומ""ס-בגין החלטת ממשלה.",הנהלת המשרד,"Hazardous materials, not green energy."
26.01.01.12,שכירת רכב,הנהלת המשרד,"Administrative vehicle rental, not green energy."
26.01.01.13,ציוד חומרים מסוכנים,הנהלת המשרד,"Hazardous materials, not green energy."
26.01.01.14,הוצאות דלק לרכבי המשרד,הנהלת המשרד,"General fuel expenses, not green energy initiatives."
26.01.01.15,דואר וטלפון,הנהלת המשרד,"Administrative communication expenses, not green energy."
26.01.01.16,"הדרכה, רווחה והשתלמויות בארץ",הנהלת המשרד,"Administrative training and welfare, not green energy."
26.01.01.17,עובדים ארעיים חודשי עבודה,הנהלת המשרד,"Administrative temporary staff, not green energy."
26.01.01.18,"נסיעות לחו""ל",הנהלת המשרד,"Administrative travel abroad, not green energy."
26.01.01.19,"נגישות מידע לציבור - חוק חופש המידע, ספריה ומרכז מידע",הנהלת המשרד,"Administrative information access, not green energy."
26.01.01.20,"נסיעות לחו""ל אמנת אוולים ו-oecd",הנהלת המשרד,"Administrative travel abroad, not green energy."
26.01.01.21,הוצאות חשמל,הנהלת המשרד,"General electricity expense, not green energy initiative."
26.01.01.22,השתתפות במערכות בוחן ותהילה,הנהלת המשרד,"Unclear administrative systems, not green energy."
26.01.01.23,פעולות רווחה,הנהלת המשרד,"Administrative welfare activities, not green energy."
26.01.01.24,"השתתפות בלמ""ס",הנהלת המשרד,"Administrative participation, not green energy."
26.01.01.25,פעולות לישכה משפטית וספרות מקצועית,הנהלת המשרד,"Administrative legal activities, not green energy."
26.01.01.26,פיצוי לנפגעי אסבסט,הנהלת המשרד,"Environmental hazard, not green energy."
26.01.01.27,הכנסות מהאיחוד האירופי,הנהלת המשרד,"General income, not specific to green energy."
26.01.01.28,"השתתפות משרד התמ""ת במכרז לעבודת ייעוץ בתחום טכנולוגית סביבה",הנהלת המשרד,"Environmental technology too broad, not green energy."
26.01.01.30,העסקת עובדים ממשרד הקליטה,הנהלת המשרד,"Administrative employment, not green energy."
26.01.01.31,השתתפות משרד הקליטה,הנהלת המשרד,"Administrative participation, not green energy."
26.01.01.32,הכנסות מהאפוטרופוס להעסקת עולים,הנהלת המשרד,"Administrative income, not green energy."
26.01.01.35,השתתפות בתקציב משרד המשפטים לצורך העסקת מתמחים,הנהלת המשרד,"Administrative participation, not green energy."
26.01.01.36,העסקת מתמחים,הנהלת המשרד,"Administrative employment, not green energy."
26.01.01.37,השתתפות משטרה,הנהלת המשרד,"Administrative participation, not green energy."
26.01.01.38,רכישת רכב זיהום אויר,הנהלת המשרד,"Air pollution control, not green energy."
26.01.01.39,דוברות ויחסי ציבור,הנהלת המשרד,"Administrative public relations, not green energy."
26.01.01.40,אכיפת חוקי איכות הסביבה רכישת שרותים ופעולות,הנהלת המשרד,"Environmental law enforcement, not green energy."
26.01.01.41,"השתתפות במשרד החקלאות עבור מינהלת פל""ח",הנהלת המשרד,"Unclear administrative participation, not green energy."
26.01.01.42,השתתפות משרד הפנים,הנהלת המשרד,"Administrative participation, not green energy."
26.01.01.43,שכר עידוד,הנהלת המשרד,"Administrative incentive pay, not green energy."
26.01.01.44,כוננויות,הנהלת המשרד,"Administrative standby, not green energy."
26.01.01.45,פעולות מחוזות המשרד,הנהלת המשרד,"General district activities, not green energy."
26.01.01.46,העסקת מתמחים,הנהלת המשרד,"Administrative employment, not green energy."
26.01.01.47,הכנסות - מכירת חומר מקצועי ומכרזים,הנהלת המשרד,"Administrative income, not green energy."
26.01.01.48,פעולות שונות ואבטחת השר,הנהלת המשרד,"Administrative activities and security, not green energy."
26.01.01.49,רכישת כלי רכב,הנהלת המשרד,"Administrative vehicle purchase, not green energy."
26.01.01.50,השתתפות במשרד הביטחון,הנהלת המשרד,"Administrative participation, not green energy."
26.01.01.51,שכר עידוד,הנהלת המשרד,"Administrative incentive pay, not green energy."
26.01.01.52,הכנסות מעירית ירושלים,הנהלת המשרד,"Administrative income, not green energy."
26.01.01.53,הכנסות מחברת הביטוח ענבל,הנהלת המשרד,"Administrative income, not green energy."
26.01.01.54,הוצאות לחברת הביטוח ענבל,הנהלת המשרד,"Administrative expenses, not green energy."
26.01.01.55,מחוזות-פעולות מקצועיות,הנהלת המשרד,"General professional activities, not green energy."
26.01.01.56,העסקת סטודנטים,הנהלת המשרד,"Administrative employment, not green energy."
26.01.01.57,השתתפות משרד התשתיות,הנהלת המשרד,"Administrative participation, not green energy."
26.01.01.58,השתתפות משרד התיירות,הנהלת המשרד,"Administrative participation, not green energy."
26.01.01.59,השתתפות במשרד הפנים,הנהלת המשרד,"Administrative participation, not green energy."
26.01.01.60,"השתתפות במשרד התמ""ת",הנהלת המשרד,"Administrative participation, not green energy."
26.01.01.61,השתתפות במשרד התיירות,הנהלת המשרד,"Administrative participation, not green energy."
26.01.01.62,"רזרבה להתייקרויות - מט""ח",הנהלת המשרד,"Administrative reserve, not green energy."
26.01.01.63,איחוד מחוזות,הנהלת המשרד,"Administrative district merger, not green energy."
26.01.01.64,"איחוד מחוזות-ח""ע",הנהלת המשרד,"Administrative district merger, not green energy."
26.01.01.65,"הוצאות רכב- טב""ק",הנהלת המשרד,"Administrative vehicle expenses, not green energy."
26.01.01.70,מרכז מידע - שעות עבודה של מוקדנים,הנהלת המשרד,"Administrative information center, not green energy."
26.01.01.72,הכנסות מפעולות הדרכה,הנהלת המשרד,"General training income, not green energy specific."
26.01.01.80,"רכב - דרגת שירות ""אישי"" על פי הסכם",הנהלת המשרד,"Administrative vehicle service, not green energy."
26.01.01.81,השתתפות בממשל זמין,הנהלת המשרד,"Administrative e-government, not green energy."
26.01.01.85,הוצאות מיועדות,הנהלת המשרד,"General earmarked expenses, not green energy."
26.01.01.90,תפעול ואחזקת מערכת ניטור אוויר,הנהלת המשרד,"Air monitoring, not green energy."
26.01.01.91,הוצאות בגין פרישה,הנהלת המשרד,"Administrative retirement expenses, not green energy."
26.01.01.92,הוצאה מיועדת,הנהלת המשרד,"General earmarked expense, not green energy."
26.01.01.93,"השתתפות של השב""כ - החזר הוצאות אבטחת שר",הנהלת המשרד,"Administrative security expenses, not green energy."
26.01.01.94,תפעול המשרד - הרשאה,הנהלת המשרד,"General ministry operations, not green energy."
26.01.01.95,רכישת שירותי ייעוץ - הרשאה,הנהלת המשרד,"General consulting services, not green energy specific."
26.01.01.96,השתתפות במשרד ראש הממשלה,הנהלת המשרד,"Administrative participation, not green energy."
26.01.01.97,פעולות רווחה- הרשאה,הנהלת המשרד,"Administrative welfare activities, not green energy."
26.01.01.98,תשלום לפי פסקי דין,הנהלת המשרד,"Administrative legal payments, not green energy."
26.01.01.99,שיא כח אדם - רזרבה,הנהלת המשרד,"Administrative personnel reserve, not green energy."
26.01.02.01,תחזוקת חומרה,מחשוב,"Administrative IT maintenance, not green energy."
26.01.02.02,תחזוקת תוכנה בסיסית,מחשוב,"Administrative IT maintenance, not green energy."
26.01.02.03,תחזוקת תוכנה ישומית,מיחשוב,"Administrative IT maintenance, not green energy."
26.01.02.04,תחזוקת תקשורת,מחשוב,"Administrative IT maintenance, not green energy."
26.01.02.05,קניית שירותי מיחשוב,מחשוב,"Administrative IT services, not green energy."
26.01.02.11,רזרבה - פיתוח מיחשוב,מיחשוב,"Administrative IT development, not green energy."
26.01.02.12,מערכת רישוי עסקים,מיחשוב,"Administrative licensing system, not green energy."
26.01.02.13,פיתוח מערכות,מחשוב,"Administrative systems development, not green energy."
26.01.02.14,פיתוח מערכות - הרשאה להתחייב,מחשוב,"Administrative systems development, not green energy."
26.01.02.16,הקמת תשתיות,מיחשוב,"General infrastructure, not green energy specific."
26.01.02.17,רכישת חומרה מרכזית,מחשוב,"Administrative hardware purchase, not green energy."
26.01.02.18,רכישת ציוד קצה,מיחשוב,"Administrative equipment purchase, not green energy."
26.01.02.19,הוצאה למכרז קניית שרותים חיצוניים,מיחשוב,"Administrative tender expenses, not green energy."
26.01.02.20,השתתפות במשרד האוצר,מחשוב,"Administrative participation, not green energy."
26.01.02.95,רזרבה להתייקרויות כללית,מיחשוב,"Administrative reserve, not green energy."
26.01.04.01,דיור ממשלתי - שכר דירה,דיור המשרד,"Administrative housing expenses, not green energy."
