code,title,office,program,economic_class_primary,counts_in_total,item_url
04.63.03.46,תשתיות אנרגיה מתחדשת,משרד ראש הממשלה,פיתוח הנגב והגליל,קניות,yes,https://next.obudget.org/i/dd7ffb7099d3
05.02.08.61,התייעלות אנרגטית,משרד האוצר,מנהל הדיור הממשלתי,קניות,yes,https://next.obudget.org/i/12a73189b38f
18.11.01.97,התייעלות אנרגטית ברשויות המקומיות,הרשויות המקומיות,העברות לרשויות,העברות,yes,https://next.obudget.org/i/8efb8d598f83
26.03.12.20,פרוייקט בניה ירוקה - הוצאה,משרד איכות הסביבה,סקרים ומחקרים,קניות,yes,https://next.obudget.org/i/cb542957c794
26.03.12.51,תחליפי נפט-ביצוע החלטת ממשלה 2790 מיום 30.1.2011,המשרד להגנת הסביבה,סקרים ומחקרים,קניות,yes,https://next.obudget.org/i/cf8e6a28c88d
26.03.28.18,השתתפות במשרד השיכון - פרוייקט משותף בתחום פיתוח בר קיימא,המשרד להגנת הסביבה,אשכול תכנון ומדיניות,העברות  פנים תקציביות,no,https://next.obudget.org/i/b12218487dce
26.03.28.31,תמיכות בנייה ירוקה לפי החלטת ממשלה 2508 מיום 28.11.2010,המשרד להגנת הסביבה,אשכול תכנון ומדיניות,העברות,yes,https://next.obudget.org/i/69fe8d050404
26.03.40.70,איכות אויר - פעולות - מזומן,המשרד להגנת הסביבה,אשכול תעשיות,קניות,yes,https://next.obudget.org/i/6e5faf6d30c5
26.03.40.71,איכות אויר - פעולות - הרשאה להתחייב,המשרד להגנת הסביבה,אשכול תעשיות,קניות,yes,https://next.obudget.org/i/e81b5cc1102a
26.03.41.50,פעולות בנושא הפחתת פליטות גזי חממה,המשרד להגנת הסביבה,פרוייקטים סביבתיים,קניות,yes,https://next.obudget.org/i/dbcc63425e4f
26.09.02.01,"קרן האוזון, אמנת וינה, EERV ,IUCN, אמנת מיגוון המינים, אמנת שינויי האקלים",המשרד להגנת הסביבה,קרנות ואמנות בינלאומיות,קניות,yes,https://next.obudget.org/i/02b9c71ead22
26.12.01.16,פעולות אגף איכות אוויר,המשרד להגנת הסביבה,פעולות יחידות המשרד,קניות,yes,https://next.obudget.org/i/edc5f45271fd
26.12.01.19,קורונה - האצת טכנולוגיות סביבה,המשרד להגנת הסביבה,פעולות יחידות המשרד,קניות,yes,https://next.obudget.org/i/4238609ec2dd
26.12.01.24,תכניות אקלים- קניות,המשרד להגנת הסביבה,פעולות יחידות המשרד,קניות,yes,https://next.obudget.org/i/089d59dfaf24
26.12.01.25,תכניות אקלים- תמיכות,המשרד להגנת הסביבה,פעולות יחידות המשרד,העברות,yes,https://next.obudget.org/i/8c0a1ad9f6bb
26.12.01.30,מזומן תכנית לטיפול בזיהום אוויר במפרץ חיפה,המשרד להגנת הסביבה,פעולות יחידות המשרד,קניות,yes,https://next.obudget.org/i/c232b0f92c8b
26.12.01.31,הרשאה תכנית לטיפול בזיהום אוויר במפרץ חיפה,המשרד להגנת הסביבה,פעולות יחידות המשרד,קניות,yes,https://next.obudget.org/i/d46de4d3570c
26.12.01.38,פעולות תכנית זיהום אוויר,המשרד להגנת הסביבה,פעולות יחידות המשרד,קניות,yes,https://next.obudget.org/i/5a4538c8fe85
