code,title,program,reason
04.01.11.01,שיא כח אדם,שירותים מרכזיים,"Generic personnel line, not related to gifted youth."
04.01.11.02,שעות נוספות,שירותים מרכזיים,"Generic personnel line, not related to gifted youth."
04.01.11.03,עבודה בלתי צמיתה,שירותים מרכזיים,"Generic personnel line, not related to gifted youth."
04.01.11.04,פעולות הנהלה מיוחדות,שירותים מרכזיים,"Generic administration, not related to gifted youth."
04.01.11.05,השתתפות בפרוייקט מרכבה,שירותים מרכזיים,Project name unrelated to gifted youth.
04.01.11.06,מיכון,שירותים מרכזיים,"Generic equipment, not related to gifted youth."
04.01.11.07,עלויות פרישה,שירותים מרכזיים,"Generic personnel line, not related to gifted youth."
04.01.11.08,השתתפות בבוחן ותהילה,שירותים מרכזיים,Project name unrelated to gifted youth.
04.01.11.09,השתתפות במשרד האוצר - הרפורמה בחשבונאות הממשלתית,שירותים מרכזיים,"Financial reform, not related to gifted youth."
04.01.11.10,טיפול בבעיות הדרוזים,שירותים מרכזיים,"Specific population (Druze), not gifted youth."
04.01.11.11,מלגות לדרוזים,שירותים מרכזיים,"Specific population (Druze), not gifted youth."
04.01.11.12,"ועידת רוה""מ לעסקים",שירותים מרכזיים,"Business conference, not related to gifted youth."
04.01.11.13,קתדרה ללימודי יהדות,שירותים מרכזיים,"Jewish studies, not specifically gifted youth."
04.01.11.14,"השתתפות משרד תמ""ס",שירותים מרכזיים,"Generic participation, not related to gifted youth."
04.01.11.15,השתתפות גורמי חוץ,שירותים מרכזיים,"Generic participation, not related to gifted youth."
04.01.11.16,"פעולות, תפעול ותשתיות",שירותים מרכזיים,"Generic operations, not related to gifted youth."
04.01.11.17,העצמת תשתיות מורשת - הרשאה להתחייב,שירותים מרכזיים,"Heritage infrastructure, not related to gifted youth."
04.01.11.18,"השתתפות בבניין רוה""מ",שירותים מרכזיים,"PM's building, not related to gifted youth."
04.01.11.19,השתתפות בפרוייקט ממשל זמין,שירותים מרכזיים,"E-government project, not related to gifted youth."
04.01.11.20,"פרוייקטים - משרד רוה""מ",שירותים מרכזיים,"Generic projects, not related to gifted youth."
04.01.11.21,השתתפות במשרד לאיכות הסביבה - פרויקט פארק איילון,שירותים מרכזיים,"Environmental project, not related to gifted youth."
04.01.11.22,השתתפות במשרד החינוך,שירותים מרכזיים,"Generic participation in Education Ministry, not specific to gifted youth."
04.01.11.23,השתתפות במשרד הביטחון,שירותים מרכזיים,"Defense Ministry, not related to gifted youth."
04.01.11.24,השתתפות בדיור הממשלתי - פרויקט אלמוג,שירותים מרכזיים,"Government housing, not related to gifted youth."
04.01.11.25,פרויקט אלמוג,שירותים מרכזיים,Project name unrelated to gifted youth.
04.01.11.26,השתתפות במשרד החינוך - פרויקט יד בן צבי,שירותים מרכזיים,"Education project, but not specific to gifted youth."
04.01.11.27,השתתפות במשרד הביטחון,שירותים מרכזיים,"Defense Ministry, not related to gifted youth."
04.01.11.28,חגיגות 60 שנה למדינה ו-40 שנה לירושלים,שירותים מרכזיים,"National celebrations, not related to gifted youth."
04.01.11.29,"השתתפות במשרד המדע, התרבות והספורט - בית התפוצות",שירותים מרכזיים,"Cultural institution, not specific to gifted youth."
04.01.11.30,העסקת סטודנטים,שירותים מרכזיים,"Generic student employment, not specific to gifted youth."
04.01.11.31,שכר עידוד,שירותים מרכזיים,"Generic personnel pay, not related to gifted youth."
