code,year,amount_allocated,amount_revised,amount_used
04.01.12.63,2012,0,6200000,0
04.01.12.63,2013,0,0,0
04.01.12.63,2014,0,0,0
04.01.63.01,1997,0,12000,7500
04.01.63.01,1998,0,0,0
04.01.63.01,1999,0,0,0
04.01.63.01,2000,0,0,0
04.01.63.01,2001,0,0,0
04.01.63.01,2002,0,0,0
04.01.63.01,2003,0,0,0
04.01.63.01,2004,0,0,0
04.01.63.02,2001,0,25000,25000
04.01.63.02,2002,0,0,0
04.01.63.02,2003,0,0,0
04.01.63.02,2004,0,0,0
04.01.63.03,2001,0,-25000,-25000
04.01.63.03,2002,0,0,0
04.01.63.03,2003,0,0,0
04.01.63.03,2004,0,0,0
04.01.63.04,2001,0,15000,3500
04.01.63.04,2002,0,12000,11500
04.01.63.04,2003,0,0,0
04.01.63.04,2004,0,0,0
04.01.63.05,2001,0,-15000,-3500
04.01.63.05,2002,0,-12000,-11500
04.01.63.05,2003,0,0,0
04.01.63.05,2004,0,0,0
04.01.63.06,2001,0,20000,20000
04.01.63.06,2002,0,0,0
04.01.63.06,2003,0,0,0
04.01.63.06,2004,0,0,0
04.01.63.06,2006,0,68000,68000
04.01.63.06,2007,0,0,0
04.01.63.06,2008,0,0,0
04.01.63.07,2001,0,-20000,-20000
04.01.63.07,2002,0,0,0
04.01.63.07,2003,0,0,0
04.01.63.07,2004,0,0,0
04.01.63.08,2001,0,50000,0
04.01.63.08,2002,0,50000,50000
04.01.63.08,2003,0,0,0
04.01.63.08,2004,0,0,0
04.01.63.09,2001,0,-50000,0
04.01.63.09,2002,0,-50000,-50000
04.01.63.09,2003,0,0,0
04.01.63.09,2004,0,0,0
04.01.63.10,2001,0,30000,0
04.01.63.10,2002,0,30000,30000
04.01.63.10,2003,0,30000,13200
04.01.63.10,2004,0,18000,0
04.01.63.10,2005,0,0,0
04.01.63.10,2006,0,0,0
04.01.63.11,2001,0,-30000,0
04.01.63.11,2002,0,-30000,-30000
04.01.63.11,2003,0,-30000,-13200
04.01.63.11,2004,0,-18000,0
04.01.63.11,2005,0,0,0
04.01.63.11,2006,0,-101000,-101000
04.01.63.11,2007,0,0,0
04.01.63.11,2008,0,0,0
04.01.63.12,2001,0,10000,0
04.01.63.12,2002,0,25000,13500
04.01.63.12,2003,0,12000,0
04.01.63.12,2004,0,0,0
04.01.63.12,2005,0,0,0
04.01.63.13,2001,0,-10000,0
04.01.63.13,2002,0,-25000,-13500
04.01.63.13,2003,0,-12000,0
04.01.63.13,2004,0,0,0
04.01.63.13,2005,0,0,0
04.01.63.14,2001,0,75000,0
04.01.63.14,2002,0,75000,75000
04.01.63.14,2003,0,0,0
04.01.63.14,2004,0,0,0
04.01.63.15,2001,0,-75000,0
04.01.63.15,2002,0,-75000,-75000
04.01.63.15,2003,0,0,0
04.01.63.15,2004,0,0,0
04.01.63.16,2001,0,10000,10000
04.01.63.16,2002,0,0,0
04.01.63.16,2003,0,0,0
04.01.63.16,2004,0,0,0
04.01.63.17,2001,0,-10000,-10000
04.01.63.17,2002,0,0,0
04.01.63.17,2003,0,0,0
04.01.63.17,2004,0,0,0
04.01.63.18,2001,0,15000,15000
04.01.63.18,2002,0,15000,0
04.01.63.18,2003,0,15000,0
04.01.63.18,2004,0,0,0
04.01.63.18,2005,0,0,0
04.01.63.19,2001,0,-15000,-15000
04.01.63.19,2002,0,-15000,0
04.01.63.19,2003,0,-15000,0
04.01.63.19,2004,0,0,0
04.01.63.19,2005,0,0,0
04.01.63.20,2001,0,20000,0
04.01.63.20,2002,0,20000,20000
04.01.63.20,2003,0,0,0
04.01.63.20,2004,0,0,0
04.01.63.21,2001,0,-20000,0
04.01.63.21,2002,0,-20000,-20000
04.01.63.21,2003,0,0,0
04.01.63.21,2004,0,0,0
04.01.63.22,2001,0,50000,0
04.01.63.22,2002,0,90000,50000
04.01.63.22,2003,0,40000,20000
04.01.63.22,2004,0,20000,0
04.01.63.22,2005,0,0,0
