code,title,office,domain,verdict,reason
04.01.11,שירותים מרכזיים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,כותרת כללית/אדמיניסטרטיבית.
04.01.12,המינהלה לפרוייקטים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,כותרת כללית/אדמיניסטרטיבית.
04.01.13,ועדת וינוגרד,משרד ראש הממשלה,תחום פעולה כללי,drop,"ועדה ספציפית, לא קשור לנוער מחונן."
04.01.14,מנהלת השירות האזרחי,משרד ראש הממשלה,תחום פעולה כללי,drop,שירות אזרחי אינו נוער מחונן.
04.01.15,מנהלת השיחות עם,משרד ראש הממשלה,תחום פעולה כללי,drop,"כותרת לא מלאה, כנראה דיפלומטי."
04.01.16,מטה הסברה לאומי,משרד ראש הממשלה,תחום פעולה כללי,drop,הסברה לאומית אינה נוער מחונן.
04.01.17,העצמת תשתיות מורשת,משרד ראש הממשלה,תחום פעולה כללי,drop,מורשת אינה נוער מחונן.
04.01.18,ועדת טירקל,משרד ראש הממשלה,תחום פעולה כללי,drop,"ועדה ספציפית, לא קשור לנוער מחונן."
04.01.19,אמרכלות,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,כותרת כללית/אדמיניסטרטיבית.
04.01.20,מערך הגיור,משרד ראש הממשלה,תחום פעולה כללי,drop,מערך גיור אינו נוער מחונן.
04.01.21,הוועדה הבינמשרדית,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,כותרת כללית/אדמיניסטרטיבית.
04.01.22,מטה קיברנטי לאומי,משרד ראש הממשלה,תחום פעולה כללי,drop,סייבר לאומי אינו נוער מחונן.
04.01.31,ארכיון המדינה,משרד ראש הממשלה,תחום פעולה כללי,drop,ארכיון המדינה אינו נוער מחונן.
04.01.32,הנצחת נשיאים וראשי,משרד ראש הממשלה,תחום פעולה כללי,drop,הנצחה אינה נוער מחונן.
04.01.39,אמרכלות ארכיון המדינה,משרד ראש הממשלה,תחום פעולה כללי,drop,אמרכלות ארכיון המדינה אינה נוער מחונן.
04.01.43,מינהלת מפוני סיני,משרד ראש הממשלה,תחום פעולה כללי,drop,מפוני סיני אינם נוער מחונן.
04.01.61,מחקרים שונים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת כללית, ייתכן מחקרים רלוונטיים."
04.01.62,השתתפות האפוטרופוס כללי,משרד ראש הממשלה,תחום פעולה כללי,drop,אפוטרופוס כללי אינו נוער מחונן.
04.01.63,מפעלים חינוכיים,משרד ראש הממשלה,תחום פעולה כללי,keep,מפעלים חינוכיים כוללים תוכניות לנוער מחונן.
04.01.64,השתתפות אפוטרופוס,משרד ראש הממשלה,תחום פעולה כללי,drop,אפוטרופוס אינו נוער מחונן.
04.01.70,השתתפות אפוטרופוס,משרד ראש הממשלה,תחום פעולה כללי,drop,אפוטרופוס אינו נוער מחונן.
04.01.71,מרכז בגין,משרד ראש הממשלה,תחום פעולה כללי,drop,מרכז בגין אינו נוער מחונן.
04.01.72,מרכז רבין,משרד ראש הממשלה,תחום פעולה כללי,drop,מרכז רבין אינו נוער מחונן.
04.01.73,מרכז הסברה,משרד ראש הממשלה,תחום פעולה כללי,drop,מרכז הסברה אינו נוער מחונן.
04.01.74,יד לוי אשכול,משרד ראש הממשלה,תחום פעולה כללי,drop,יד לוי אשכול אינו נוער מחונן.
04.01.75,היכל הגבורה ים-עכו,משרד ראש הממשלה,תחום פעולה כללי,drop,היכל גבורה אינו נוער מחונן.
04.01.76,חלקת גדולי האומה,משרד ראש הממשלה,תחום פעולה כללי,drop,חלקת גדולי האומה אינה נוער מחונן.
04.01.77,אתר הנצחה גולני,משרד ראש הממשלה,תחום פעולה כללי,drop,אתר הנצחה גולני אינו נוער מחונן.
04.01.78,הרשות למלחמה בסמים,משרד ראש הממשלה,תחום פעולה כללי,drop,מלחמה בסמים אינה נוער מחונן.
