code,title,office,program,economic_class_primary,counts_in_total,item_url
04.01.12.63,מרכזי צעירים,משרד ראש הממשלה,המינהלה לפרוייקטים,העברות,yes,https://next.obudget.org/i/dd83a3800ba3
04.01.63.01,תמיכה במפעלים חינוכיים,משרד ראש הממשלה,מפעלים חינוכיים,העברות,yes,https://next.obudget.org/i/053774034278
04.01.63.02,עמותת אופטימיסטים,משרד ראש הממשלה,מפעלים חינוכיים,קניות,yes,https://next.obudget.org/i/fe61083f1ab6
04.01.63.03,השתת' אפוטרופוס,משרד ראש הממשלה,מפעלים חינוכיים,העברות  פנים תקציביות,no,https://next.obudget.org/i/8ff230429d7b
04.01.63.04,קידום פרוייקטים למען שיפור איכות החיים,משרד ראש הממשלה,מפעלים חינוכיים,קניות,yes,https://next.obudget.org/i/43938b98a771
04.01.63.05,השתתפות אפוטרופוס,משרד ראש הממשלה,מפעלים חינוכיים,העברות  פנים תקציביות,no,https://next.obudget.org/i/5c8fc49c20e2
04.01.63.06,כפר רעות,משרד ראש הממשלה,מפעלים חינוכיים,קניות,yes,https://next.obudget.org/i/6e04913db63c
04.01.63.07,השתתפות אפוטרופוס,משרד ראש הממשלה,מפעלים חינוכיים,העברות  פנים תקציביות,no,https://next.obudget.org/i/024d3cef429f
04.01.63.08,עמותה ליד בית השנטי,משרד ראש הממשלה,מפעלים חינוכיים,קניות,yes,https://next.obudget.org/i/100812873e56
04.01.63.09,השתתפות אפוטרופוס,משרד ראש הממשלה,מפעלים חינוכיים,העברות  פנים תקציביות,no,https://next.obudget.org/i/2e6efd8ee245
04.01.63.10,מכללה ליהדות פלורליסטית,משרד ראש הממשלה,מפעלים חינוכיים,קניות,yes,https://next.obudget.org/i/e1cc50bf6d68
04.01.63.11,השתתפות אפוטרופוס,משרד ראש הממשלה,מפעלים חינוכיים,העברות  פנים תקציביות,no,https://next.obudget.org/i/b786eb6337fc
04.01.63.12,ח.ל.צ - חינוך לאומי ציוני,משרד ראש הממשלה,מפעלים חינוכיים,קניות,yes,https://next.obudget.org/i/e81cd26e544e
04.01.63.13,השתתפות אפוטרופוס,משרד ראש הממשלה,מפעלים חינוכיים,העברות  פנים תקציביות,no,https://next.obudget.org/i/bb6dfbe37ed2
04.01.63.14,איגוד מורים עולים,משרד ראש הממשלה,מפעלים חינוכיים,קניות,yes,https://next.obudget.org/i/4f845dd37c87
04.01.63.15,השתתפות אפוטרופוס,משרד ראש הממשלה,מפעלים חינוכיים,העברות  פנים תקציביות,no,https://next.obudget.org/i/8f05446376fe
04.01.63.16,קו לעובד,משרד ראש הממשלה,מפעלים חינוכיים,קניות,yes,https://next.obudget.org/i/cd191eaeb433
04.01.63.17,השתתפות אפוטרופוס,משרד ראש הממשלה,מפעלים חינוכיים,העברות  פנים תקציביות,no,https://next.obudget.org/i/bbd044463cbc
04.01.63.18,"עמותת נשות בנימין ויש""ע",משרד ראש הממשלה,מפעלים חינוכיים,קניות,yes,https://next.obudget.org/i/1a8f32170a44
04.01.63.19,השת' אפוטרופוס,משרד ראש הממשלה,מפעלים חינוכיים,העברות  פנים תקציביות,no,https://next.obudget.org/i/9dd97dd9b69d
04.01.63.20,עירית סחנין,משרד ראש הממשלה,מפעלים חינוכיים,קניות,yes,https://next.obudget.org/i/55023ad7518f
