code,title,office,verdict,reason
04.01,תחום פעולה כללי,משרד ראש הממשלה,ambiguous,"Generic administrative container, may hold relevant spending."
04.02,ראשות הממשלה,משרד ראש הממשלה,ambiguous,"Generic administrative container, may hold relevant spending."
04.03,סטטיסטיקה ממלכתית,משרד ראש הממשלה,drop,"State statistics, not Jewish heritage."
04.04,רזרבה לסעיף ראש הממשלה,משרד ראש הממשלה,ambiguous,"Reserve fund, actual content unknown."
04.05,לשכת העיתונות הממשלתית,משרד ראש הממשלה,drop,"Government press office, not Jewish heritage."
04.06,השלמת טיפול במפוני,משרד ראש הממשלה,drop,"Evacuee support, not Jewish heritage."
04.07,רזרבה להתייקרויות,משרד ראש הממשלה,ambiguous,"Reserve fund, actual content unknown."
04.08,שירותי דת,משרד ראש הממשלה,keep,"Directly funds religious services, part of Jewish heritage."
04.09,רבנות ראשית,משרד ראש הממשלה,keep,Chief Rabbinate directly relates to Jewish heritage.
04.10,נציבות שירות המדינה,משרד ראש הממשלה,drop,"Civil service administration, not Jewish heritage."
04.12,רשות החברות הממשלתיות,משרד ראש הממשלה,drop,"Government companies authority, not Jewish heritage."
04.15,נתיב,משרד ראש הממשלה,keep,"Nativ supports Jewish communities, identity, heritage."
04.16,נציבות שירות המדינה,משרד ראש הממשלה,drop,"Civil service administration, not Jewish heritage."
04.20,השר לשיתוף פעולה,משרד ראש הממשלה,ambiguous,"Generic ministerial role, actual content unknown."
04.21,המשרד לפיתוח הנגב,משרד ראש הממשלה,drop,"Negev development, not Jewish heritage."
04.22,תוכנית לחיזוק הצפון,משרד ראש הממשלה,drop,"Strengthening the North, not Jewish heritage."
04.23,המשרד לשיתוף פעולה,משרד ראש הממשלה,ambiguous,"Generic ministerial role, actual content unknown."
04.51,משרד ראשי,משרד ראש הממשלה,ambiguous,"Generic administrative container, may hold relevant spending."
04.52,משרדי ממשלה ולשכות שרים,משרד ראש הממשלה,ambiguous,"Generic administrative container, may hold relevant spending."
04.53,סטטיסטיקה ממלכתית,משרד ראש הממשלה,drop,"State statistics, not Jewish heritage."
