code,title,program,reason
04.01.11.01,שיא כח אדם,שירותים מרכזיים,"Generic administrative line, program ambiguous."
04.01.11.02,שעות נוספות,שירותים מרכזיים,"Generic administrative line, program ambiguous."
04.01.11.03,עבודה בלתי צמיתה,שירותים מרכזיים,"Generic administrative line, program ambiguous."
04.01.11.04,פעולות הנהלה מיוחדות,שירותים מרכזיים,"Generic administrative line, program ambiguous."
04.01.11.05,השתתפות בפרוייקט מרכבה,שירותים מרכזיים,"Generic administrative line, program ambiguous."
04.01.11.06,מיכון,שירותים מרכזיים,"Generic administrative line, program ambiguous."
04.01.11.07,עלויות פרישה,שירותים מרכזיים,"Generic administrative line, program ambiguous."
04.01.11.08,השתתפות בבוחן ותהילה,שירותים מרכזיים,"Generic administrative line, program ambiguous."
04.01.11.09,השתתפות במשרד האוצר - הרפורמה בחשבונאות הממשלתית,שירותים מרכזיים,"Generic administrative line, program ambiguous."
04.01.11.10,טיפול בבעיות הדרוזים,שירותים מרכזיים,Not related to Jewish heritage.
04.01.11.11,מלגות לדרוזים,שירותים מרכזיים,Not related to Jewish heritage.
04.01.11.12,"ועידת רוה""מ לעסקים",שירותים מרכזיים,Not related to Jewish heritage.
04.01.11.14,"השתתפות משרד תמ""ס",שירותים מרכזיים,"Generic administrative line, program ambiguous."
04.01.11.15,השתתפות גורמי חוץ,שירותים מרכזיים,"Generic administrative line, program ambiguous."
04.01.11.16,"פעולות, תפעול ותשתיות",שירותים מרכזיים,"Generic administrative line, program ambiguous."
04.01.11.18,"השתתפות בבניין רוה""מ",שירותים מרכזיים,"Generic administrative line, program ambiguous."
04.01.11.19,השתתפות בפרוייקט ממשל זמין,שירותים מרכזיים,"Generic administrative line, program ambiguous."
04.01.11.20,"פרוייקטים - משרד רוה""מ",שירותים מרכזיים,"Generic administrative line, program ambiguous."
04.01.11.21,השתתפות במשרד לאיכות הסביבה - פרויקט פארק איילון,שירותים מרכזיים,Not related to Jewish heritage.
04.01.11.22,השתתפות במשרד החינוך,שירותים מרכזיים,"Generic administrative line, program ambiguous."
04.01.11.23,השתתפות במשרד הביטחון,שירותים מרכזיים,"Generic administrative line, program ambiguous."
04.01.11.24,השתתפות בדיור הממשלתי - פרויקט אלמוג,שירותים מרכזיים,"Generic administrative line, program ambiguous."
04.01.11.25,פרויקט אלמוג,שירותים מרכזיים,"Generic administrative line, program ambiguous."
04.01.11.26,השתתפות במשרד החינוך - פרויקט יד בן צבי,שירותים מרכזיים,"Generic administrative line, program ambiguous."
04.01.11.27,השתתפות במשרד הביטחון,שירותים מרכזיים,"Generic administrative line, program ambiguous."
04.01.11.28,חגיגות 60 שנה למדינה ו-40 שנה לירושלים,שירותים מרכזיים,"National celebration, not specific Jewish heritage."
04.01.11.29,"השתתפות במשרד המדע, התרבות והספורט - בית התפוצות",שירותים מרכזיים,"Generic administrative line, program ambiguous."
04.01.11.30,העסקת סטודנטים,שירותים מרכזיים,"Generic administrative line, program ambiguous."
04.01.11.31,שכר עידוד,שירותים מרכזיים,"Generic administrative line, program ambiguous."
04.01.11.32,רזרבה לעמידה ביעד ההוצאה - חגיגות 60 למדינה,שירותים מרכזיים,"National celebration, not specific Jewish heritage."
04.01.11.35,הרשאה - חגיגות 60 שנה למדינה,שירותים מרכזיים,"National celebration, not specific Jewish heritage."
04.01.11.36,השתתפות בלשכת הפרסום הממשלתית במסגרת חגיגות ה-60,שירותים מרכזיים,"National celebration, not specific Jewish heritage."
04.01.11.37,השתתפות במשרד הביטחון במסגרת חגיגות ה-60,שירותים מרכזיים,"National celebration, not specific Jewish heritage."
04.01.11.38,השתתפות במשרד החינוך במסגרת חגיגות ה-60 למדינה,שירותים מרכזיים,"National celebration, not specific Jewish heritage."
04.01.11.39,השתתפות במשרד התיירות- חגיגות ה- 60,שירותים מרכזיים,"National celebration, not specific Jewish heritage."
04.01.11.40,השתתפות במשרד התחבורה- חגיגות ה- 60,שירותים מרכזיים,"National celebration, not specific Jewish heritage."
04.01.11.41,"השתתפות במשרד המדע, התרבות והספורט- חגיגות ה- 60",שירותים מרכזיים,"National celebration, not specific Jewish heritage."
