code,title,level,amount_allocated,item_url
04,משרד ראש הממשלה,1,5522752000,https://next.obudget.org/i/fb3dc8fc5306
04.51,משרד ראשי,2,1282864000,https://next.obudget.org/i/2640248ea7dd
04.51.01,מטה המשרד,3,786257000,https://next.obudget.org/i/5912ce5122cf
04.51.03,מערך הגיור,3,68295000,https://next.obudget.org/i/c0583a485640
04.51.04,תמיכות בארגוני הנצחה,3,44525000,https://next.obudget.org/i/15ffb927839f
04.51.07,ארכיון המדינה,3,42169000,https://next.obudget.org/i/bc6b4dc2a1bc
04.51.08,מערך הסייבר הלאומי,3,299764000,https://next.obudget.org/i/2aedb8828edf
04.51.10,פרויקטים והחלטות ממשלה,3,19982000,https://next.obudget.org/i/a5ebcd7b4f2e
04.51.11,לשכת העיתונות הממשלתית,3,21872000,https://next.obudget.org/i/eaf8ae2f1e20
04.51.13,מרכז ההסברה,3,0,https://next.obudget.org/i/3ce6df897458
04.52,משרדי ממשלה ולשכות שרים,2,1592782000,https://next.obudget.org/i/f7ea7c85f75d
04.52.01,חברי הממשלה,3,34155000,https://next.obudget.org/i/038d0ff29c35
04.52.03,משרד התפוצות,3,191164000,https://next.obudget.org/i/620c3e851432
04.52.04,המשרד לנושאים אסטרטגים,3,6047000,https://next.obudget.org/i/95431393ceae
04.52.05,המשרד למודיעין,3,0,https://next.obudget.org/i/7817ba3a71ba
04.52.09,לשכות שרים וסגני שרים,3,19659000,https://next.obudget.org/i/eb994fb744f0
04.52.11,משרד ירושלים ומסורת,3,100507000,https://next.obudget.org/i/93c29243b138
04.52.12,משרד מורשת,3,86218000,https://next.obudget.org/i/078ea874412f
04.52.13,משרד ההתיישבות,3,580602000,https://next.obudget.org/i/9db44f2e0b60
04.52.15,מערך הדיגיטל הלאומי,3,534400000,https://next.obudget.org/i/86455f1e0f10
04.52.17,מטה לבינה מלאכותית,3,40030000,https://next.obudget.org/i/04538da470c8
04.53,סטטיסטיקה ממלכתית,2,404411000,https://next.obudget.org/i/6ba2e7d4b8c2
04.53.01,הלשכה המרכזית,3,334811000,https://next.obudget.org/i/18fc19fe35dd
04.53.02,ביצוע סקרים חיצוניים,3,69600000,https://next.obudget.org/i/1c24ab81b9f8
04.55,נציבות שירות המדינה,2,152041000,https://next.obudget.org/i/1306de193abc
04.55.01,נציבות שירות המדינה,3,137843000,https://next.obudget.org/i/c8b5fb7fe3b2
04.55.02,תכניות מיוחדות,3,14198000,https://next.obudget.org/i/f4a32587d4a3
04.56,המשרד לשיתוף פעולה,2,26061000,https://next.obudget.org/i/e3ae9c51ee2d
04.56.01,שיתוף פעולה אזורי,3,26061000,https://next.obudget.org/i/89af54ebd54f
04.57,המשרד לשוויון חברתי,2,139656000,https://next.obudget.org/i/910fa77252b4
04.57.01,המשרד לשוויון חברתי,3,113978000,https://next.obudget.org/i/6f215cd334ee
04.57.02,הרשות לקידום מעמד,3,3406000,https://next.obudget.org/i/9d309c10f1a4
04.57.03,הרשות לפיתוח כלכלי של,3,22272000,https://next.obudget.org/i/4c17366b7a99
04.59,לשכת הקשר נתיב,2,84774000,https://next.obudget.org/i/daae88f5ef9b
04.59.01,נתיב,3,84774000,https://next.obudget.org/i/2f4d255bc8d9
04.63,המשרד לפיתוח הנגב,2,529827000,https://next.obudget.org/i/70f52d66f59e
04.63.01,שכר,3,29412000,https://next.obudget.org/i/3f273d44e94d
04.63.02,תפעול,3,6475000,https://next.obudget.org/i/82789cf36792
04.63.03,פיתוח הנגב והגליל,3,493940000,https://next.obudget.org/i/ff67d28f4757
04.64,הרשות לפיתוח המגזר,2,7002000,https://next.obudget.org/i/07796b3f4593
04.64.01,הרשות לפיתוח חברתי,3,7002000,https://next.obudget.org/i/038c3a96d64f
04.70,רזרבות,2,1303334000,https://next.obudget.org/i/fc43175e1918
04.70.01,רזרבה לעמידה במגבלה,3,1303334000,https://next.obudget.org/i/315d2c1b799a
04.99,חשבון מעבר,2,0,https://next.obudget.org/i/50d4a7e747fb
04.99.99,חשבון מעבר,3,0,https://next.obudget.org/i/7f9c3022cef7
05,משרד האוצר,1,4147196000,https://next.obudget.org/i/b8c1e2580616
05.51,משרד האוצר ראשי,2,757445000,https://next.obudget.org/i/3fa63beae5ba
05.51.01,מטה משרד האוצר,3,236797000,https://next.obudget.org/i/49ed5d6e92a7
05.51.02,אגף התקציבים,3,24949000,https://next.obudget.org/i/e12019eeab9d
05.51.04,החשב הכללי,3,204807000,https://next.obudget.org/i/a18a38bc42eb
