code,year,amount_allocated,amount_revised,amount_used
04.01.11.13,1998,0,1050000,0
04.01.11.13,1999,386000,856000,683000
04.01.11.13,2000,397000,517000,441500
04.01.11.13,2001,385000,460000,325744
04.01.11.13,2002,438000,1654000,1500390
04.01.11.13,2003,400000,497000,459850
04.01.11.13,2004,100000,93000,0
04.01.11.13,2005,78000,613000,144703
04.01.11.13,2006,68000,527000,195932
04.01.11.13,2007,53000,325000,0
04.01.11.13,2008,43000,142000,141441
04.01.11.13,2009,38000,0,0
04.01.11.13,2010,35000,0,0
04.01.11.13,2011,0,0,0
04.01.11.13,2012,0,0,0
04.01.11.17,2002,0,-1100000,-1100000
04.01.11.17,2003,0,0,0
04.01.11.17,2004,0,0,0
04.01.11.17,2011,0,0,0
04.01.11.33,2009,0,1700000,1700000
04.01.11.33,2010,1700000,1700000,1700000
04.01.11.33,2011,1700000,1700000,1700000
04.01.11.33,2012,0,0,0
04.01.11.33,2013,0,0,0
04.01.12.01,1997,221000,393000,212113
04.01.12.01,1998,417000,502000,441512
04.01.12.01,1999,353000,663000,663659
04.01.12.01,2000,412000,412000,338908
04.01.12.01,2001,399000,472000,404280
04.01.12.01,2002,378000,518000,119694
04.01.12.01,2003,500000,810000,417264
04.01.12.01,2004,500000,576000,185540
04.01.12.01,2005,385000,556000,237961
04.01.12.01,2006,0,0,0
04.01.12.01,2007,0,0,0
04.01.12.01,2012,0,0,0
04.01.12.01,2013,0,0,0
04.01.12.01,2014,0,0,0
04.01.12.04,2006,49250000,43067000,640788
04.01.12.04,2007,39278000,81704000,11672944
04.01.12.04,2008,35000000,29531000,22843959
04.01.12.04,2009,12960000,54388000,44063722
04.01.12.04,2010,18858000,85117000,60664570
04.01.12.04,2011,34300000,102527000,84629972
04.01.12.04,2012,25326000,96632000,94142445
04.01.12.04,2013,0,0,0
04.01.12.04,2014,0,0,0
04.01.12.05,2006,6804000,9097000,8003652
04.01.12.05,2007,8000000,10659000,9866634
04.01.12.05,2008,9000000,14992000,14352944
04.01.12.05,2009,7490000,15536000,12280670
04.01.12.05,2010,6809000,18844000,14369352
04.01.12.05,2011,6196000,22928000,18398860
04.01.12.05,2012,6196000,20529000,17882223
04.01.12.05,2013,0,0,0
04.01.12.05,2014,0,0,0
04.01.12.07,2006,0,0,0
04.01.12.07,2007,0,0,0
04.01.12.07,2008,0,0,0
04.01.12.07,2009,0,0,0
04.01.12.07,2011,7500000,0,0
04.01.12.07,2012,7500000,0,0
04.01.12.07,2013,0,0,0
04.01.12.07,2014,0,0,0
04.01.12.08,2006,0,9119000,4424258
04.01.12.08,2007,10234000,16242000,13437826
04.01.12.08,2008,10200000,13118000,13050952
04.01.12.08,2009,11501000,15076000,11375481
04.01.12.08,2010,12300000,16307000,11986782
04.01.12.08,2011,0,16220000,11858955
04.01.12.08,2012,0,21361000,23673323
04.01.12.08,2013,0,0,0
04.01.12.08,2014,0,0,0
04.01.12.10,2005,0,0,0
04.01.12.10,2007,-2000000,-2600000,-2183770
04.01.12.10,2008,-2000000,-2000000,-166117
04.01.12.10,2009,-2000000,-3575000,-2486704
04.01.12.10,2010,-2000000,-2000000,-2195520
04.01.12.10,2011,0,0,-1901792
04.01.12.10,2012,0,-3000000,-5023975
04.01.12.10,2013,0,0,0
04.01.12.10,2014,0,0,0
04.01.12.11,2007,0,0,0
04.01.12.12,2006,0,-4000000,-1976438
04.01.12.12,2007,-2000000,-4024000,-2806165
04.01.12.12,2008,-2000000,-1218000,-1217397
04.01.12.12,2009,-2000000,0,0
04.01.12.12,2010,-2000000,0,0
04.01.12.12,2011,0,0,0
04.01.12.12,2012,0,0,0
04.01.12.13,2006,0,-2000000,-2000000
04.01.12.13,2007,-2000000,-2000000,-2000000
04.01.12.13,2008,-2000000,-2000000,-2000000
04.01.12.13,2009,-1500000,-1500000,-1500000
04.01.12.13,2010,-1500000,-1500000,-1500000
04.01.12.13,2011,0,0,0
04.01.12.13,2012,0,0,0
04.01.12.14,2007,-1600000,-1600000,-1538226
04.01.12.14,2008,-1600000,-1600000,-1599990
04.01.12.14,2009,-1100000,-1100000,-1100000
04.01.12.14,2010,-1100000,-1100000,-1100000
04.01.12.14,2011,0,0,0
04.01.12.14,2012,0,0,0
04.01.12.15,2006,0,-1600000,-381141
04.01.12.15,2007,-1600000,-2890000,-2818859
04.01.12.15,2008,-1600000,-1600000,-1600000
04.01.12.15,2009,-1100000,-1100000,-1100000
04.01.12.15,2010,-1100000,-1100000,-1100000
04.01.12.15,2011,0,0,0
04.01.12.15,2012,0,0,0
04.01.12.16,2006,0,-1000000,0
04.01.12.16,2007,-1000000,-1000000,0
