code,title,office,domain,verdict,reason
04.01.11,שירותים מרכזיים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,כותרת כללית/administrative title
04.01.12,המינהלה לפרוייקטים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,כותרת כללית/administrative title
04.01.13,ועדת וינוגרד,משרד ראש הממשלה,תחום פעולה כללי,drop,"ועדה ספציפית, לא קשורה לנושא"
04.01.14,מנהלת השירות האזרחי,משרד ראש הממשלה,תחום פעולה כללי,drop,"שירות אזרחי, לא מורשת יהודית"
04.01.15,מנהלת השיחות עם,משרד ראש הממשלה,תחום פעולה כללי,drop,"כותרת לא שלמה, כנראה דיפלומטיה"
04.01.16,מטה הסברה לאומי,משרד ראש הממשלה,תחום פעולה כללי,drop,"הסברה לאומית, לא מורשת יהודית"
04.01.17,העצמת תשתיות מורשת,משרד ראש הממשלה,תחום פעולה כללי,keep,עוסק ישירות בהעצמת תשתיות מורשת
04.01.18,ועדת טירקל,משרד ראש הממשלה,תחום פעולה כללי,drop,"ועדה ספציפית, לא קשורה לנושא"
04.01.19,אמרכלות,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,כותרת כללית/administrative title
04.01.20,מערך הגיור,משרד ראש הממשלה,תחום פעולה כללי,keep,"עוסק ישירות בגיור, חלק ממורשת יהודית"
04.01.21,הוועדה הבינמשרדית,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,כותרת כללית/administrative title
04.01.22,מטה קיברנטי לאומי,משרד ראש הממשלה,תחום פעולה כללי,drop,"סייבר לאומי, לא קשור למורשת"
04.01.31,ארכיון המדינה,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"ארכיון כללי, עשוי להכיל חומר רלוונטי"
04.01.32,הנצחת נשיאים וראשי,משרד ראש הממשלה,תחום פעולה כללי,drop,"הנצחת מנהיגי מדינה, לא מורשת יהודית"
04.01.39,אמרכלות ארכיון המדינה,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"אמרכלות ארכיון כללי, עשוי להכיל"
