code,title,office,program,economic_class_primary,counts_in_total,item_url
04.01.11.13,קתדרה ללימודי יהדות,משרד ראש הממשלה,שירותים מרכזיים,קניות,yes,https://next.obudget.org/i/2df45f7a9ad2
04.01.11.17,העצמת תשתיות מורשת - הרשאה להתחייב,משרד ראש הממשלה,שירותים מרכזיים,קניות,yes,https://next.obudget.org/i/c84cbd287639
04.01.11.33,השתתפות בביתן יהודי באושוויץ,משרד ראש הממשלה,שירותים מרכזיים,העברות  פנים תקציביות,no,https://next.obudget.org/i/64cc71790e35
04.01.12.01,תכנית רב שנתית לפיתוח אגן העיר העתיקה והר הזיתים,משרד ראש הממשלה,המינהלה לפרוייקטים,קניות,yes,https://next.obudget.org/i/058df4d13958
04.01.12.04,תוכנית רב שנתית לפיתוח אגן העיר העתיקה והר הזיתים,משרד ראש הממשלה,המינהלה לפרוייקטים,קניות,yes,https://next.obudget.org/i/248a7bd8226c
04.01.12.05,תחזוקת מנהרות הכותל,משרד ראש הממשלה,המינהלה לפרוייקטים,קניות,yes,https://next.obudget.org/i/832fc3a078bb
04.01.12.07,רזרבה לתחזוקת הכותל,משרד ראש הממשלה,המינהלה לפרוייקטים,קניות,yes,https://next.obudget.org/i/1a0c929e8adf
04.01.12.08,פיתוח מנהרות הכותל,משרד ראש הממשלה,המינהלה לפרוייקטים,קניות,yes,https://next.obudget.org/i/d44f8650dccc
04.01.12.10,השתתפות משרד הביטחון -  פיתוח מנהרות הכותל,משרד ראש הממשלה,המינהלה לפרוייקטים,העברות  פנים תקציביות,no,https://next.obudget.org/i/a7fe58012383
04.01.12.11,השתתפות משרד החינוך - פיתוח מנהרות הכותל,משרד  ראש הממשלה,המינהלה לפרוייקטים,העברות  פנים תקציביות,no,https://next.obudget.org/i/b134a9cf8cda
04.01.12.12,השתתפות משרד השיכון - פיתוח מנהרות הכותל,משרד ראש הממשלה,המינהלה לפרוייקטים,העברות  פנים תקציביות,no,https://next.obudget.org/i/fc88c4ca1c8f
04.01.12.13,השתתפות משרד התיירות - פיתוח מנהרות הכותל,משרד ראש הממשלה,המינהלה לפרוייקטים,העברות  פנים תקציביות,no,https://next.obudget.org/i/fe9eadefbc37
04.01.12.14,השתתפות משרד הפנים - פיתוח מנהרות הכותל,משרד ראש הממשלה,המינהלה לפרוייקטים,העברות  פנים תקציביות,no,https://next.obudget.org/i/4d4826728038
04.01.12.15,השתתפות משרד התחבורה - פיתוח מנהרות הכותל,משרד ראש הממשלה,המינהלה לפרוייקטים,העברות  פנים תקציביות,no,https://next.obudget.org/i/5751d416420f
04.01.12.16,השתתפות משרד לביטחון פנים - פיתוח מנהרות הכותל,משרד ראש הממשלה,המינהלה לפרוייקטים,העברות  פנים תקציביות,no,https://next.obudget.org/i/65cff934d1d2
04.01.12.17,השתתפות מנהל מקרקעי ישראל - פיתוח מנהרות הכותל,משרד ראש הממשלה,המינהלה לפרוייקטים,הכנסות מיועדות,no,https://next.obudget.org/i/f5198fec5484
04.01.12.18,השתתפות משרד האוצר - פיתוח מנהרות הכותל,משרד  ראש הממשלה,המינהלה לפרוייקטים,העברות  פנים תקציביות,no,https://next.obudget.org/i/5b588ec7dbf5
04.01.12.22,פיתוח שער המוגרבים-רשות העתיקות,משרד ראש הממשלה,המינהלה לפרוייקטים,קניות,yes,https://next.obudget.org/i/b138884ce435
04.01.12.23,פיתוח שער המוגרבים,משרד ראש הממשלה,המינהלה לפרוייקטים,קניות,yes,https://next.obudget.org/i/a22b178875f9
04.01.12.24,השתתפות משרד לביטחון פנים - פיתוח שער המוגרבים,משרד ראש הממשלה,המינהלה לפרוייקטים,העברות  פנים תקציביות,no,https://next.obudget.org/i/068df44d3f22
04.01.12.29,השתתפות מינהל מקרקעי ישראל - פיתוח שער המוגרבים,משרד ראש הממשלה,המינהלה לפרוייקטים,הכנסות מיועדות,no,https://next.obudget.org/i/c8c5fe4c9572
04.01.12.40,השתתפות משרד התיירות בפיתוח שער המוגרבים,משרד ראש הממשלה,המינהלה לפרוייקטים,העברות  פנים תקציביות,no,https://next.obudget.org/i/9edc5b4f434e
04.01.12.45,תוכנית רב שנתית לפיתוח הגן העיר העתיקה והר הזיתים (הרשאה להתחייב),משרד ראש הממשלה,המינהלה לפרוייקטים,קניות,yes,https://next.obudget.org/i/7f0bf2e3cdc6
04.01.12.48,פיתוח מנהרות הכותל (הרשאה להתחייב),משרד ראש הממשלה,המינהלה לפרוייקטים,קניות,yes,https://next.obudget.org/i/e76c4759f747
04.01.12.61,תוכנית לעשייה ציונית,משרד ראש הממשלה,המינהלה לפרוייקטים,קניות,yes,https://next.obudget.org/i/f109c3fc5c70
04.01.17.01,עבודה בלתי צמיתה,משרד ראש הממשלה,העצמת תשתיות מורשת,שכר,yes,https://next.obudget.org/i/aced37b09dbb
04.01.17.02,שעות נוספות,משרד ראש הממשלה,העצמת תשתיות מורשת,שכר,yes,https://next.obudget.org/i/e89e5fb1b60e
04.01.17.03,החזר הוצאות רכב,משרד ראש הממשלה,העצמת תשתיות מורשת,שכר,yes,https://next.obudget.org/i/7f22440baa3e
04.01.17.10,העצמת תשתיות מורשת,משרד ראש הממשלה,העצמת תשתיות מורשת,קניות,yes,https://next.obudget.org/i/c9ea0d6b00c0
