code,title,office,verdict,reason
04.01,תחום פעולה כללי,משרד ראש הממשלה,ambiguous,Generic administrative container
04.02,ראשות הממשלה,משרד ראש הממשלה,ambiguous,Generic administrative container
04.03,סטטיסטיקה ממלכתית,משרד ראש הממשלה,drop,National statistics
04.04,רזרבה לסעיף ראש הממשלה,משרד ראש הממשלה,ambiguous,Reserve for ministry
04.05,לשכת העיתונות הממשלתית,משרד ראש הממשלה,drop,Government press office
04.06,השלמת טיפול במפוני,משרד ראש הממשלה,drop,Evacuee treatment
04.07,רזרבה להתייקרויות,משרד ראש הממשלה,ambiguous,Reserve for price increases
04.08,שירותי דת,משרד ראש הממשלה,drop,Religious services
04.09,רבנות ראשית,משרד ראש הממשלה,drop,Chief Rabbinate
04.10,נציבות שירות המדינה,משרד ראש הממשלה,drop,Civil Service Commission
04.12,רשות החברות הממשלתיות,משרד ראש הממשלה,drop,Government Companies Authority
04.15,נתיב,משרד ראש הממשלה,drop,Liaison bureau
04.16,נציבות שירות המדינה,משרד ראש הממשלה,drop,Civil Service Commission
04.20,השר לשיתוף פעולה,משרד ראש הממשלה,drop,Minister for Cooperation
04.21,המשרד לפיתוח הנגב,משרד ראש הממשלה,drop,Negev development
04.22,תוכנית לחיזוק הצפון,משרד ראש הממשלה,drop,Strengthening the North
04.23,המשרד לשיתוף פעולה,משרד ראש הממשלה,drop,Ministry for Cooperation
04.51,משרד ראשי,משרד ראש הממשלה,ambiguous,Generic administrative container
04.52,משרדי ממשלה ולשכות שרים,משרד ראש הממשלה,ambiguous,Generic administrative container
04.53,סטטיסטיקה ממלכתית,משרד ראש הממשלה,drop,National statistics
04.54,הרבנות הראשית לישראל,משרד ראש הממשלה,drop,Chief Rabbinate
04.55,נציבות שירות המדינה,משרד ראש הממשלה,drop,Civil Service Commission
04.56,המשרד לשיתוף פעולה,משרד ראש הממשלה,drop,Ministry for Cooperation
04.57,המשרד לשוויון חברתי,משרד ראש הממשלה,drop,Social equality
04.59,לשכת הקשר נתיב,משרד ראש הממשלה,drop,Liaison bureau
04.60,מנהלת השירות האזרחי,משרד ראש הממשלה,drop,Civil Service Administration
04.61,החטיבה להתיישבות,משרד ראש הממשלה,drop,Settlement division
04.62,המשרד לשירותי הדת,משרד ראש הממשלה,drop,Religious services
04.63,המשרד לפיתוח הנגב,משרד ראש הממשלה,drop,Negev development
04.64,הרשות לפיתוח המגזר,משרד ראש הממשלה,drop,Sector development
04.70,רזרבות,משרד ראש הממשלה,ambiguous,Reserves
04.99,חשבון מעבר,משרד ראש הממשלה,ambiguous,Clearing account
05.01,תחום פעולה כללי,משרד האוצר,ambiguous,Generic administrative container
05.02,שירותי מטה ממשלתיים,משרד האוצר,ambiguous,Generic administrative container
05.03,שירותי מטה כלל משקיים,משרד האוצר,ambiguous,Generic administrative container
05.04,בצוע פקודת מס הכנסה,משרד האוצר,drop,Income tax
05.05,"אגף המכס והמע""מ",משרד האוצר,drop,Customs and VAT
05.06,שירותי עזר למשרדי ממשלה,משרד האוצר,ambiguous,Auxiliary services for government offices
05.07,נציבות שירות המדינה,משרד האוצר,drop,Civil Service Commission
05.08,רזרבה לפעולות משרד,משרד האוצר,ambiguous,Reserve for ministry operations
05.09,רשות החברות הממשלתיות,משרד האוצר,drop,Government Companies Authority
05.10,שירות עיבודים ממוכנים,משרד האוצר,drop,Automated processing services
05.20,רשות המסים בישראל,משרד האוצר,drop,Tax authority
05.51,משרד האוצר ראשי,משרד האוצר,ambiguous,Generic administrative container
05.52,רשות המיסים,משרד האוצר,drop,Tax authority
05.53,רזרבה למשרד האוצר,משרד האוצר,ambiguous,Reserve for Ministry of Finance
05.90,כיסוי גירעון המדפיס,משרד האוצר,drop,Printer deficit
05.99,חשבון מעבר,משרד האוצר,ambiguous,Clearing account
26.01,תחום פעולה כללי,המשרד להגנת הסביבה,ambiguous,Generic administrative container
26.02,רזרבה,משרד איכות הסביבה,ambiguous,Reserve
26.03,פעילות יחידות המשרד,המשרד להגנת הסביבה,ambiguous,Generic administrative container
26.05,קרן הניקיון,המשרד להגנת הסביבה,drop,Cleanliness fund
26.06,ים וחופים,המשרד להגנת הסביבה,drop,Seas and coasts
26.07,השקעות מפעלי תעשיה,המשרד להגנת הסביבה,drop,Industrial plant investments
26.08,חומרים מסוכנים,המשרד להגנת הסביבה,drop,Hazardous materials
26.09,קשרים בינלאומיים,המשרד להגנת הסביבה,ambiguous,International relations
26.10,השתתפות בארגונים,המשרד להגנת הסביבה,ambiguous,Participation in organizations
26.11,שכר ותפעול,המשרד להגנת הסביבה,ambiguous,Salaries and operations
26.12,פעולות,המשרד להגנת הסביבה,ambiguous,Activities
26.13,קרנות,המשרד להגנת הסביבה,ambiguous,Funds
26.14,"פרוייקטים מקק""ל",המשרד להגנת הסביבה,ambiguous,KKL projects
26.26,רזרבות,המשרד להגנת הסביבה,ambiguous,Reserves
26.97,צער בעלי חיים,המשרד להגנת הסביבה,drop,Animal welfare
26.98,רזרבות,המשרד להגנת הסביבה,ambiguous,Reserves
