code,title,program,reason
04.01.11.01,שיא כח אדם,שירותים מרכזיים,"General personnel line, not related to renewable energy."
04.01.11.02,שעות נוספות,שירותים מרכזיים,"General personnel line, not related to renewable energy."
04.01.11.03,עבודה בלתי צמיתה,שירותים מרכזיים,"General personnel line, not related to renewable energy."
04.01.11.04,פעולות הנהלה מיוחדות,שירותים מרכזיים,"General administrative activity, not related to renewable energy."
04.01.11.05,השתתפות בפרוייקט מרכבה,שירותים מרכזיים,Project title not related to renewable energy.
04.01.11.06,מיכון,שירותים מרכזיים,"General equipment/mechanization, not related to renewable energy."
04.01.11.07,עלויות פרישה,שירותים מרכזיים,"General personnel costs, not related to renewable energy."
04.01.11.08,השתתפות בבוחן ותהילה,שירותים מרכזיים,Project title not related to renewable energy.
04.01.11.09,השתתפות במשרד האוצר - הרפורמה בחשבונאות הממשלתית,שירותים מרכזיים,"Financial administration, not related to renewable energy."
04.01.11.10,טיפול בבעיות הדרוזים,שירותים מרכזיים,"Social/ethnic group issues, not related to renewable energy."
04.01.11.11,מלגות לדרוזים,שירותים מרכזיים,"Social/ethnic group issues, not related to renewable energy."
04.01.11.12,"ועידת רוה""מ לעסקים",שירותים מרכזיים,"General business conference, not related to renewable energy."
04.01.11.13,קתדרה ללימודי יהדות,שירותים מרכזיים,"Academic/religious studies, not related to renewable energy."
04.01.11.14,"השתתפות משרד תמ""ס",שירותים מרכזיים,"General ministry participation, not related to renewable energy."
04.01.11.15,השתתפות גורמי חוץ,שירותים מרכזיים,"General revenue, not related to renewable energy."
04.01.11.16,"פעולות, תפעול ותשתיות",שירותים מרכזיים,"General activities and infrastructure, not related to renewable energy."
04.01.11.17,העצמת תשתיות מורשת - הרשאה להתחייב,שירותים מרכזיים,"Heritage infrastructure, not related to renewable energy."
04.01.11.18,"השתתפות בבניין רוה""מ",שירותים מרכזיים,"Office building maintenance, not related to renewable energy."
04.01.11.19,השתתפות בפרוייקט ממשל זמין,שירותים מרכזיים,"E-government project, not related to renewable energy."
