code,year,amount_allocated,amount_revised,amount_used
04.51.01.38,2015,8163000,8163000,1087697
04.51.01.38,2016,26880000,10930000,3097934
04.51.01.38,2017,25482000,21215000,4974518
04.51.01.38,2018,25482000,13126000,1294614
04.51.01.38,2019,22043000,8659000,1790698
04.51.01.38,2020,,9241000,9125611
04.51.01.38,2021,272000,2115000,-1240750
04.51.01.38,2022,0,2926000,509540
04.51.01.38,2023,0,0,0
04.51.01.38,2024,0,0,0
04.63.03.46,2025,0,0,0
04.63.03.46,2026,3581000,3581000,
05.01.02.97,2006,0,0,0
05.01.02.97,2007,0,0,0
05.01.02.97,2010,200000,200000,0
05.01.02.97,2011,200000,0,0
05.01.02.97,2012,200000,0,0
05.01.02.97,2013,0,0,0
05.01.02.97,2014,0,0,0
05.02.08.61,2009,0,150000,104763
05.02.08.61,2010,0,245000,29759
05.02.08.61,2011,0,216000,67254
05.02.08.61,2012,0,0,0
05.02.08.61,2013,0,0,0
26.03.12.20,1998,0,60000,0
26.03.12.20,1999,0,55000,54990
26.03.12.20,2000,0,0,0
26.03.12.20,2001,0,0,0
26.03.12.20,2002,0,0,0
26.03.12.20,2003,0,0,0
26.03.12.20,2004,0,0,0
26.03.12.51,2011,0,1000000,0
26.03.12.51,2012,0,1370000,25000
26.03.12.51,2013,0,0,0
26.03.12.51,2014,0,0,0
26.03.28.31,2007,0,0,0
26.03.28.31,2008,0,209000,536751
26.03.28.31,2009,0,1313000,1152035
26.03.28.31,2010,0,681000,480031
26.03.28.31,2011,96000,535000,114210
26.03.28.31,2012,95000,411000,263730
26.03.28.31,2013,0,0,0
26.03.28.31,2014,0,0,0
26.03.41.50,2011,0,6430000,2895901
26.03.41.50,2012,0,7624000,5821911
26.03.41.50,2013,0,0,0
26.03.41.50,2014,0,0,0
26.09.02.01,1997,1740000,1740000,1777622
26.09.02.01,1998,1857000,1857000,1853114
26.09.02.01,1999,1851000,1851000,1847695
26.09.02.01,2000,2013000,2013000,2013462
26.09.02.01,2001,2782000,3182000,2781012
26.09.02.01,2002,2911000,2034000,2035375
26.09.02.01,2003,2811000,1685000,1662051
26.09.02.01,2004,417000,417000,417937
26.09.02.01,2005,372000,372000,370216
26.09.02.01,2006,372000,1972000,1973145
