code,title,office,domain,verdict,reason
04.01.11,שירותים מרכזיים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת גנרית, ייתכן שיכיל הוצאות רלוונטיות."
04.01.12,המינהלה לפרוייקטים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת גנרית, ייתכן שיכיל הוצאות רלוונטיות."
04.01.13,ועדת וינוגרד,משרד ראש הממשלה,תחום פעולה כללי,drop,"ועדה ספציפית, לא קשורה לאנרגיה מתחדשת."
04.01.14,מנהלת השירות האזרחי,משרד ראש הממשלה,תחום פעולה כללי,drop,"מינהלת שירות אזרחי, לא קשור לאנרגיה מתחדשת."
04.01.15,מנהלת השיחות עם,משרד ראש הממשלה,תחום פעולה כללי,drop,"ענייני שיחות מדיניות, לא קשור לאנרגיה מתחדשת."
04.01.16,מטה הסברה לאומי,משרד ראש הממשלה,תחום פעולה כללי,drop,"מטה הסברה לאומי, לא קשור לאנרגיה מתחדשת."
04.01.17,העצמת תשתיות מורשת,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק בתשתיות מורשת, לא קשור לאנרגיה מתחדשת."
04.01.18,ועדת טירקל,משרד ראש הממשלה,תחום פעולה כללי,drop,"ועדה ספציפית, לא קשורה לאנרגיה מתחדשת."
04.01.19,אמרכלות,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת גנרית, ייתכן שיכיל הוצאות רלוונטיות."
04.01.20,מערך הגיור,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק בגיור, לא קשור לאנרגיה מתחדשת."
04.01.21,הוועדה הבינמשרדית,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת גנרית, ייתכן שיכיל הוצאות רלוונטיות."
04.01.22,מטה קיברנטי לאומי,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק בסייבר, לא קשור לאנרגיה מתחדשת."
04.01.31,ארכיון המדינה,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק בארכיון המדינה, לא קשור לאנרגיה מתחדשת."
04.01.32,הנצחת נשיאים וראשי,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק בהנצחה, לא קשור לאנרגיה מתחדשת."
04.01.39,אמרכלות ארכיון המדינה,משרד ראש הממשלה,תחום פעולה כללי,drop,"אמרכלות ארכיון המדינה, לא קשור לאנרגיה מתחדשת."
04.01.43,מינהלת מפוני סיני,משרד ראש הממשלה,תחום פעולה כללי,drop,"מינהלת מפוני סיני, לא קשור לאנרגיה מתחדשת."
04.01.61,מחקרים שונים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת גנרית, ייתכן שיכיל מחקרים רלוונטיים."
04.01.62,השתתפות האפוטרופוס כללי,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק באפוטרופוס כללי, לא קשור לאנרגיה מתחדשת."
04.01.63,מפעלים חינוכיים,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק במפעלים חינוכיים, לא קשור לאנרגיה מתחדשת."
04.01.64,השתתפות אפוטרופוס,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק באפוטרופוס, לא קשור לאנרגיה מתחדשת."
04.01.70,השתתפות אפוטרופוס,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק באפוטרופוס, לא קשור לאנרגיה מתחדשת."
04.01.71,מרכז בגין,משרד ראש הממשלה,תחום פעולה כללי,drop,"מרכז בגין, לא קשור לאנרגיה מתחדשת."
04.01.72,מרכז רבין,משרד ראש הממשלה,תחום פעולה כללי,drop,"מרכז רבין, לא קשור לאנרגיה מתחדשת."
04.01.73,מרכז הסברה,משרד ראש הממשלה,תחום פעולה כללי,drop,"מרכז הסברה, לא קשור לאנרגיה מתחדשת."
04.01.74,יד לוי אשכול,משרד ראש הממשלה,תחום פעולה כללי,drop,"יד לוי אשכול, לא קשור לאנרגיה מתחדשת."
04.01.75,היכל הגבורה ים-עכו,משרד ראש הממשלה,תחום פעולה כללי,drop,"היכל גבורה, לא קשור לאנרגיה מתחדשת."
04.01.76,חלקת גדולי האומה,משרד ראש הממשלה,תחום פעולה כללי,drop,"חלקת גדולי האומה, לא קשור לאנרגיה מתחדשת."
04.01.77,אתר הנצחה גולני,משרד ראש הממשלה,תחום פעולה כללי,drop,"אתר הנצחה גולני, לא קשור לאנרגיה מתחדשת."
04.01.78,הרשות למלחמה בסמים,משרד ראש הממשלה,תחום פעולה כללי,drop,"רשות למלחמה בסמים, לא קשור לאנרגיה מתחדשת."
04.01.79,"תכנית בש""ן",משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת ראשי תיבות, לא ברור מה התוכן."
04.01.80,מורשת משה שרת,משרד  ראש הממשלה,תחום פעולה כללי,drop,"מורשת משה שרת, לא קשור לאנרגיה מתחדשת."
04.01.81,אפוטרופוס כללי,משרד ראש הממשלה,תחום פעולה כללי,drop,"עוסק באפוטרופוס כללי, לא קשור לאנרגיה מתחדשת."
04.01.82,מרכז תרבות עמים לנוער,משרד ראש הממשלה,תחום פעולה כללי,drop,"מרכז תרבות לנוער, לא קשור לאנרגיה מתחדשת."
04.01.83,מכון העם והמדינה,משרד ראש הממשלה,תחום פעולה כללי,drop,"מכון העם והמדינה, לא קשור לאנרגיה מתחדשת."
04.01.84,מוזיאון בית השומר,משרד ראש הממשלה,תחום פעולה כללי,drop,"מוזיאון בית השומר, לא קשור לאנרגיה מתחדשת."
