code,title,office,program,economic_class_primary,counts_in_total,item_url
04.51.01.38,הוועדה לבחינת תחליפי נפט,משרד ראש הממשלה,מטה המשרד,קניות,yes,https://next.obudget.org/i/fd612036b7e6
04.63.03.46,תשתיות אנרגיה מתחדשת,משרד ראש הממשלה,פיתוח הנגב והגליל,קניות,yes,https://next.obudget.org/i/dd7ffb7099d3
05.01.02.97,השתתפות באיכות הסביבה,משרד האוצר,אמרכלות,העברות  פנים תקציביות,no,https://next.obudget.org/i/6d3aac52c2cb
05.02.08.61,התייעלות אנרגטית,משרד האוצר,מנהל הדיור הממשלתי,קניות,yes,https://next.obudget.org/i/12a73189b38f
26.03.12.20,פרוייקט בניה ירוקה - הוצאה,משרד איכות הסביבה,סקרים ומחקרים,קניות,yes,https://next.obudget.org/i/cb542957c794
26.03.12.51,תחליפי נפט-ביצוע החלטת ממשלה 2790 מיום 30.1.2011,המשרד להגנת הסביבה,סקרים ומחקרים,קניות,yes,https://next.obudget.org/i/cf8e6a28c88d
26.03.28.31,תמיכות בנייה ירוקה לפי החלטת ממשלה 2508 מיום 28.11.2010,המשרד להגנת הסביבה,אשכול תכנון ומדיניות,העברות,yes,https://next.obudget.org/i/69fe8d050404
26.03.41.50,פעולות בנושא הפחתת פליטות גזי חממה,המשרד להגנת הסביבה,פרוייקטים סביבתיים,קניות,yes,https://next.obudget.org/i/dbcc63425e4f
26.09.02.01,"קרן האוזון, אמנת וינה, EERV ,IUCN, אמנת מיגוון המינים, אמנת שינויי האקלים",המשרד להגנת הסביבה,קרנות ואמנות בינלאומיות,קניות,yes,https://next.obudget.org/i/02b9c71ead22
26.12.01.24,תכניות אקלים- קניות,המשרד להגנת הסביבה,פעולות יחידות המשרד,קניות,yes,https://next.obudget.org/i/089d59dfaf24
26.12.01.25,תכניות אקלים- תמיכות,המשרד להגנת הסביבה,פעולות יחידות המשרד,העברות,yes,https://next.obudget.org/i/8c0a1ad9f6bb
33.06.02.78,חקלאות מתחדשת תמיכות רב שנתיות,משרד החקלאות,תמיכות ומחקרים בחקלאות,העברות,yes,https://next.obudget.org/i/7b80860ab2dc
