code,title,office,domain,program,economic_class,functional_class,program_code,first_year,last_year
18.01.01.01,מענק איזון לרשויות המקומיות,רשויות מקומיות,העברות לרשויות מקומיות,מענקים שוטפים לרשויות,העברות,פנים ושלטון מקומי,18.01.01,1997,2014
18.01.01.02,השתתפות משרד הנגב והגליל,רשויות מקומיות,העברות לרשויות מקומיות,מענקים שוטפים לרשויות,העברות  פנים תקציביות,פנים ושלטון מקומי,18.01.01,2001,2010
18.01.01.03,העברה לועד המקומי בחברון,רשויות מקומיות,העברות לרשויות מקומיות,מענקים שוטפים לרשויות,העברות,פנים ושלטון מקומי,18.01.01,1997,2014
18.01.01.04,תוספת למענק האיזון בגין הסכם אוסלו,רשויות מקומיות,העברות לרשויות מקומיות,מענקים שוטפים לרשויות,העברות,פנים ושלטון מקומי,18.01.01,1997,2014
18.01.01.05,טיפול בנזקים במע'אר בהתאם להחלטת ממשלה,רשויות מקומיות,מענקי איזון לרשויות,"""מענק כללי לאיזון""",קניות,פנים ושלטון מקומי,18.01.01,1998,2006
18.01.01.06,השתתפות במשרד לבטחון פנים - יחידות חילוץ החלטת ממשלה 1474,רשויות מקומיות,העברות לרשויות מקומיות,מענקים שוטפים לרשויות,העברות  פנים תקציביות,פנים ושלטון מקומי,18.01.01,2000,2014
18.01.01.07,רזרבה למענק בירה,רשויות מקומיות,מענקי איזון לרשויות,"""מענק כללי לאיזון""",העברות,פנים ושלטון מקומי,18.01.01,1997,2006
18.01.01.08,גמר התחשבנות הסכם שכר כולל רשויות חלשות,רשויות מקומיות,מענקי איזון לרשויות,"""מענק כללי לאיזון""",העברות,פנים ושלטון מקומי,18.01.01,2001,2006
18.01.01.09,מענק בירה - השלמת הסכם שיפוי שכר לשנת 2002,רשויות מקומיות,מענקי איזון לרשויות,"""מענק כללי לאיזון""",העברות,פנים ושלטון מקומי,18.01.01,2003,2005
18.01.01.10,מענקים לרשויות שקולטות את תושבי המועצה האזורית חוף עזה וצפון השומרון,רשויות מקומיות,העברות לרשויות מקומיות,מענקים שוטפים לרשויות,העברות,פנים ושלטון מקומי,18.01.01,2005,2013
18.01.01.11,השתתפות ממשרד ראש הממשלה - סיוע לקליטת תושבי חבל עזה,רשויות מקומיות,העברות לרשויות מקומיות,מענקים שוטפים לרשויות,העברות  פנים תקציביות,פנים ושלטון מקומי,18.01.01,1997,2014
18.01.01.12,"מענקים לרשויות מקומיות לסיוע לקליטת תושבי חבל עזה, במימון משרד האוצר בהתאם להחלטת ממשלה",רשויות מקומיות,העברות לרשויות מקומיות,מענקים שוטפים לרשויות,העברות,פנים ושלטון מקומי,18.01.01,1997,2014
18.01.01.13,סיוע מנהלת תנופה לרשויות מקומיות בקליטת מפונים,רשויות מקומיות,העברות לרשויות מקומיות,מענקים שוטפים לרשויות,העברות,פנים ושלטון מקומי,18.01.01,2005,2014
18.01.01.14,סיוע לרשויות באכלוס מפונים בהתאם להחלטת ועדת השרים לענייני תוכנית ההתקנתקות מיום 18/1/2011,רשויות מקומיות,העברות לרשויות מקומיות,מענקים שוטפים לרשויות,העברות,פנים ושלטון מקומי,18.01.01,2006,2014
18.01.01.15,סיוע לרשויות שקולטות מפוני עזה בהתאם להחלטת ועדת השרים לענייני תוכנית ההתקנתקות מיום 18/1/2011,רשויות מקומיות,העברות לרשויות מקומיות,מענקים שוטפים לרשויות,העברות,פנים ושלטון מקומי,18.01.01,2006,2014
18.01.01.16,סיוע בניהול קהילתי לרשויות שקולטות את מפוני חבל עזה בהתאם להחלטת ממשלה 1171 מיום 11/2/2007,רשויות מקומיות,העברות לרשויות מקומיות,מענקים שוטפים לרשויות,העברות,פנים ושלטון מקומי,18.01.01,2006,2014
18.01.01.17,סיוע חברתי לרשויות שקולטות מפוני חבל עזה בהתאם להחלטת ועדת השרים לענייני תוכנית ההתקנתקות מיום 18/1/2011,רשויות מקומיות,העברות לרשויות מקומיות,מענקים שוטפים לרשויות,קניות,פנים ושלטון מקומי,18.01.01,2006,2014
18.01.01.18,הכנסה מרשויות - בתי משפט לעניינים מקומיים,רשויות מקומיות,העברות לרשויות המקומיות,מענקים שוטפים לרשויות,הכנסות מיועדות,פנים ושלטון מקומי,18.01.01,2000,2018
18.01.01.19,שבילי אופניים השתתפות במשרד התיירות בהתאם להחלטת ממשלה 3368,רשויות מקומיות,העברות לרשויות מקומיות,מענקים שוטפים לרשויות,העברות  פנים תקציביות,פנים ושלטון מקומי,18.01.01,1999,2012
18.01.01.20,מענק הבירה,רשויות מקומיות,העברות לרשויות מקומיות,מענקים שוטפים לרשויות,העברות,פנים ושלטון מקומי,18.01.01,1997,2014
18.01.01.21,ביקרות של תאגידים עירוניים,רשויות מקומיות,העברות לרשויות מקומיות,מענקים שוטפים לרשויות,קניות,פנים ושלטון מקומי,18.01.01,1997,2014
18.01.01.22,רואי חשבון ברשויות מקומיות,רשויות מקומיות,העברות לרשויות מקומיות,מענקים שוטפים לרשויות,קניות,פנים ושלטון מקומי,18.01.01,1997,2014
18.01.01.23,סיוע לרשויות עקב השריפה בכרמל החל משנת 2010,רשויות מקומיות,העברות לרשויות מקומיות,מענקים שוטפים לרשויות,קניות,פנים ושלטון מקומי,18.01.01,1997,2014
18.01.01.24,רואי חשבון ברשויות מקומיות החל משנת 2011,רשויות מקומיות,העברות לרשויות מקומיות,מענקים שוטפים לרשויות,קניות,פנים ושלטון מקומי,18.01.01,1997,2014
