code,title,program,reason
02.03.05.19,"איתור נדל""ן נספי השואה",אמרכלות,Not related to gifted program.
18.01.01.01,מענק איזון לרשויות המקומיות,מענקים שוטפים לרשויות,"General local authority grant, not gifted program."
18.01.01.02,השתתפות משרד הנגב והגליל,מענקים שוטפים לרשויות,"General ministry participation, not gifted program."
18.01.01.03,העברה לועד המקומי בחברון,מענקים שוטפים לרשויות,"Transfer to local committee, not gifted program."
18.01.01.04,תוספת למענק האיזון בגין הסכם אוסלו,מענקים שוטפים לרשויות,"Grant related to Oslo Accords, not gifted program."
18.01.01.05,טיפול בנזקים במע'אר בהתאם להחלטת ממשלה,"""מענק כללי לאיזון""","Damage treatment in specific locality, not gifted program."
18.01.01.06,השתתפות במשרד לבטחון פנים - יחידות חילוץ החלטת ממשלה 1474,מענקים שוטפים לרשויות,"Public security rescue units, not gifted program."
18.01.01.07,רזרבה למענק בירה,"""מענק כללי לאיזון""","Reserve for capital grant, not gifted program."
18.01.01.08,גמר התחשבנות הסכם שכר כולל רשויות חלשות,"""מענק כללי לאיזון""","Wage agreement settlement, not gifted program."
18.01.01.09,מענק בירה - השלמת הסכם שיפוי שכר לשנת 2002,"""מענק כללי לאיזון""","Wage indemnity agreement, not gifted program."
18.01.01.10,מענקים לרשויות שקולטות את תושבי המועצה האזורית חוף עזה וצפון השומרון,מענקים שוטפים לרשויות,"Grants for absorbing evacuees, not gifted program."
18.01.01.11,השתתפות ממשרד ראש הממשלה - סיוע לקליטת תושבי חבל עזה,מענקים שוטפים לרשויות,"Aid for absorbing Gaza residents, not gifted program."
18.01.01.12,"מענקים לרשויות מקומיות לסיוע לקליטת תושבי חבל עזה, במימון משרד האוצר בהתאם להחלטת ממשלה",מענקים שוטפים לרשויות,"Aid for absorbing Gaza residents, not gifted program."
18.01.01.13,סיוע מנהלת תנופה לרשויות מקומיות בקליטת מפונים,מענקים שוטפים לרשויות,"Assistance for absorbing evacuees, not gifted program."
18.01.01.14,סיוע לרשויות באכלוס מפונים בהתאם להחלטת ועדת השרים לענייני תוכנית ההתקנתקות מיום 18/1/2011,מענקים שוטפים לרשויות,"Assistance for settling evacuees, not gifted program."
18.01.01.15,סיוע לרשויות שקולטות מפוני עזה בהתאם להחלטת ועדת השרים לענייני תוכנית ההתקנתקות מיום 18/1/2011,מענקים שוטפים לרשויות,"Assistance for Gaza evacuees, not gifted program."
18.01.01.16,סיוע בניהול קהילתי לרשויות שקולטות את מפוני חבל עזה בהתאם להחלטת ממשלה 1171 מיום 11/2/2007,מענקים שוטפים לרשויות,"Community management for Gaza evacuees, not gifted program."
18.01.01.17,סיוע חברתי לרשויות שקולטות מפוני חבל עזה בהתאם להחלטת ועדת השרים לענייני תוכנית ההתקנתקות מיום 18/1/2011,מענקים שוטפים לרשויות,"Social assistance for Gaza evacuees, not gifted program."
18.01.01.18,הכנסה מרשויות - בתי משפט לעניינים מקומיים,מענקים שוטפים לרשויות,"Income from local courts, not gifted program."
18.01.01.19,שבילי אופניים השתתפות במשרד התיירות בהתאם להחלטת ממשלה 3368,מענקים שוטפים לרשויות,"Bicycle paths and tourism, not gifted program."
18.01.01.20,מענק הבירה,מענקים שוטפים לרשויות,"Capital grant, not gifted program."
18.01.01.21,ביקרות של תאגידים עירוניים,מענקים שוטפים לרשויות,"Auditing municipal corporations, not gifted program."
18.01.01.22,רואי חשבון ברשויות מקומיות,מענקים שוטפים לרשויות,"Accountants in local authorities, not gifted program."
18.01.01.23,סיוע לרשויות עקב השריפה בכרמל החל משנת 2010,מענקים שוטפים לרשויות,"Assistance due to Carmel fire, not gifted program."
18.01.01.24,רואי חשבון ברשויות מקומיות החל משנת 2011,מענקים שוטפים לרשויות,"Accountants in local authorities, not gifted program."
18.01.01.25,חשבים מלווים ברשויות - 99,"""מענק כללי לאיזון""","Accompanying accountants, not gifted program."
18.01.01.26,מענקי שר,מענקים שוטפים לרשויות,"Minister's grants, not gifted program."
18.01.01.27,מימון כפר שיקומי לפי החלטת ממשלה 4075,מענקים שוטפים לרשויות,"Funding for rehabilitation village, not gifted program."
