code,title,level,amount_allocated,item_url
18,הרשויות המקומיות,1,7023469000,https://next.obudget.org/i/c881034a8100
18.11,העברות לרשויות,2,6225101000,https://next.obudget.org/i/9d6215652abe
18.11.02,מענקים אזוריים,3,82698000,https://next.obudget.org/i/650b025401c9
18.11.03,מענקים שוטפים,3,5387242000,https://next.obudget.org/i/7033eeca5c78
18.11.04,מענקי פיתוח,3,694467000,https://next.obudget.org/i/25025bef5d8a
18.11.05,איגוד ערים כנרת,3,60694000,https://next.obudget.org/i/074555436d31
18.12,קרן לצמצום פערים,2,562293000,https://next.obudget.org/i/64ef9ad4a355
18.12.01,קרן לצמצום פערים,3,562293000,https://next.obudget.org/i/a85273fef0d4
18.90,רזרבות,2,236075000,https://next.obudget.org/i/0cd5c053ec83
18.90.01,רזרבה להתייקרויות +,3,236075000,https://next.obudget.org/i/86ba14f0f2e1
20,משרד החינוך,1,96893085000,https://next.obudget.org/i/036b4c2b2c96
20.60,יחידות מטה,2,2078455000,https://next.obudget.org/i/8f248e07f478
20.60.01,פעילויות מטה מרכזיות -,3,2078455000,https://next.obudget.org/i/08da73837bb8
20.61,חינוך מיוחד,2,19822642000,https://next.obudget.org/i/cd241ab4b3eb
20.61.01,חינוך מיוחד,3,19822642000,https://next.obudget.org/i/5f0e1ea4e892
20.62,קדם יסודי,2,9289508000,https://next.obudget.org/i/51d371a81838
20.62.01,קדם יסודי,3,9243282000,https://next.obudget.org/i/1d3ea721b416
20.62.02,הגיל הרך,3,46226000,https://next.obudget.org/i/b08e3b3dc4de
20.63,יסודי וחטיבות ביניים,2,26623758000,https://next.obudget.org/i/af8a301c5281
20.63.01,יסודי וחטיבת ביניים,3,22458269000,https://next.obudget.org/i/61828b042c1d
20.63.02,החינוך העצמאי,3,2101027000,https://next.obudget.org/i/abecc63e6029
20.63.03,מעין החינוך התורני,3,1234201000,https://next.obudget.org/i/e40351be45a7
20.63.04,מוכר שאינו רשמי,3,508843000,https://next.obudget.org/i/877608edd04a
20.63.05,מוסדות הפטור,3,321418000,https://next.obudget.org/i/22384df2ccb8
20.64,חטיבה עליונה,2,15311852000,https://next.obudget.org/i/cea966803b04
20.64.01,חטיבה עליונה,3,15311852000,https://next.obudget.org/i/7aa0e8c9c60a
20.65,"שירותי עזר, הסעות",2,4955017000,https://next.obudget.org/i/c8aeff74b890
20.65.01,"שירותי עזר, הסעות",3,4955017000,https://next.obudget.org/i/8227e7ee8f6d
20.66,חינוך התיישבותי,2,5534625000,https://next.obudget.org/i/912ba2713394
20.66.01,המינהל חינוך התיישבותי,3,5534625000,https://next.obudget.org/i/5b33bd4b576f
20.67,פעולות משלימות לקידום,2,5938409000,https://next.obudget.org/i/0a08491aed3d
20.67.01,פעילויות ופרוייקטים,3,4067951000,https://next.obudget.org/i/7020f5057c16
20.67.02,הארכת יום הלימודים,3,1740346000,https://next.obudget.org/i/28cbdb15c66e
20.67.03,מינהל החינוך הדתי,3,130112000,https://next.obudget.org/i/ddab2eeaf749
20.68,מינהל עובדי הוראה,2,1837651000,https://next.obudget.org/i/dad8132c639c
20.68.01,תנאי שירות והכשרת,3,1837651000,https://next.obudget.org/i/7837b622b806
20.69,תמיכה בנושאי יהדות,2,1366976000,https://next.obudget.org/i/0d6482d46f00
20.69.01,תרבות יהודית,3,67552000,https://next.obudget.org/i/3994f056a4d1
20.69.02,מוסדות תורניים,3,1299424000,https://next.obudget.org/i/d279fff5ae0a
20.70,רזרבות,2,4134192000,https://next.obudget.org/i/78da2426aada
20.70.01,רזרבה להתייקרויות,3,3795523000,https://next.obudget.org/i/4bba6a2d9c20
20.70.02,רזרבה לעמידה במגבלה,3,338669000,https://next.obudget.org/i/75395d80ebcb
20.99,חשבון מעבר,2,0,https://next.obudget.org/i/e7e8d5595e5c
20.99.99,חשבון מעבר,3,0,https://next.obudget.org/i/e60ff3ab413e
60,חינוך,1,2015149000,https://next.obudget.org/i/ef3f0b258465
60.02,תכנית פיתוח חינוך,2,1934543000,https://next.obudget.org/i/3a80b5f2c74f
60.02.10,בניית כיתות לימוד,3,1934543000,https://next.obudget.org/i/52df6a6a392c
60.08,רזרבה,2,80606000,https://next.obudget.org/i/cdfe9a628d79
60.08.01,רזרבה לעמידה ביעדים,3,80606000,https://next.obudget.org/i/f3dc6b5024c7
