code,year,amount_allocated,amount_revised,amount_used
20.24.05.79,1997,1441000,1972000,1695242
20.24.05.79,1998,1282000,2898000,2896160
20.24.05.79,1999,0,2280000,2266300
20.24.05.79,2000,1073000,2073000,2073000
20.24.05.79,2001,1100000,1078000,1012543
20.24.05.79,2002,1000000,860000,860000
20.24.05.79,2003,782000,0,0
20.24.05.79,2004,694000,0,0
20.24.05.79,2005,707000,2000,0
20.24.05.79,2006,677000,0,0
20.24.05.79,2007,0,0,0
20.24.05.79,2008,0,0,0
20.24.14.12,2005,0,1000000,0
20.24.14.12,2006,0,8982000,525672
20.24.14.12,2007,9461000,15799000,3453493
20.24.14.12,2008,5101000,14360000,7741157
20.24.14.12,2009,5192000,22352000,15111554
20.24.14.12,2010,5372000,24830000,19141329
20.24.14.12,2011,5268000,29689000,16386792
20.24.14.12,2012,5160000,26251000,16315503
20.24.14.12,2013,5315000,28497000,21000291
20.24.14.12,2014,5368000,30723000,26344293
20.24.14.12,2015,0,0,0
20.24.14.12,2016,0,0,0
20.26.15.47,2005,0,300000,289841
20.26.15.47,2006,907000,796000,795841
20.26.15.47,2007,1573000,1418000,749730
20.26.15.47,2008,1323000,1157000,907270
20.26.15.47,2009,1059000,518000,518000
20.26.15.47,2010,1046000,725000,232000
20.26.15.47,2011,1021000,1214000,699998
20.26.15.47,2012,998000,1031000,730683
20.26.15.47,2013,969000,700000,699628
20.26.15.47,2014,855000,503000,0
20.26.15.47,2015,0,0,0
20.26.15.47,2016,0,0,0
20.26.15.51,2007,0,4200000,0
20.26.15.51,2008,0,0,0
20.26.15.51,2009,0,0,0
20.27.15.43,1997,3984000,4086000,4077626
20.27.15.43,1998,4244000,4501000,4500531
20.27.15.43,1999,4409000,4866000,4859475
20.27.15.43,2000,4567000,4667000,4667257
20.27.15.43,2001,4955000,7256000,7245368
20.27.15.43,2002,5220000,6170000,5516918
20.27.15.43,2003,5320000,5983000,5980031
20.27.15.43,2004,5238000,4486000,4480211
20.27.15.43,2005,5326000,5923000,5696902
20.27.15.43,2006,6255000,5785000,5457743
20.27.15.43,2007,5454000,6065000,5897804
20.27.15.43,2008,5666000,5916000,5868618
20.27.15.43,2009,5748000,5748000,5747018
20.27.15.43,2010,5934000,6652000,6443014
20.27.15.43,2011,6052000,6111000,6110138
20.27.15.43,2012,6047000,7344000,5601043
20.27.15.43,2013,6030000,10002000,10002000
20.27.15.43,2014,6088000,7990000,7989999
20.27.15.43,2015,0,0,0
20.27.15.43,2016,0,0,0
20.46.02.42,2015,25284000,21661000,18077244
20.46.02.42,2016,24502000,27305000,1626328
20.46.02.42,2017,24862000,47910000,13939215
20.46.02.42,2018,25235000,30839000,15119139
20.46.02.42,2019,22590000,35039000,22686944
20.46.02.42,2020,,0,0
20.46.02.42,2021,0,0,0
20.46.07.01,2015,2871000,4015000,1937003
20.46.07.01,2016,1501000,3602000,3129891
20.46.07.01,2017,1360000,3321000,1983811
20.46.07.01,2018,1223000,3542000,1540796
20.46.07.01,2019,1088000,3147000,2646588
20.46.07.01,2020,,0,0
20.46.07.01,2021,0,0,0
20.46.07.03,2015,3256000,13061000,5919861
20.46.07.03,2016,8215000,18643000,9864839
20.46.07.03,2017,7610000,22031000,8154327
20.46.07.03,2018,7724000,22150000,7926007
20.46.07.03,2019,24699000,23022000,13240557
20.46.07.03,2020,,0,0
20.46.07.03,2021,0,0,0
20.46.07.04,2015,691000,2166000,613691
20.46.07.04,2016,629000,1814000,788509
20.46.07.04,2017,563000,1809000,454981
20.46.07.04,2018,500000,2046000,666345
20.46.07.04,2019,721000,1299000,809864
20.46.07.04,2020,,0,0
20.46.07.04,2021,0,0,0
20.46.07.05,2015,736000,1067000,98000
20.46.07.05,2016,670000,1350000,171000
20.46.07.05,2017,600000,1345000,174904
20.46.07.05,2018,532000,1683000,378307
20.46.07.05,2019,749000,1424000,451395
20.46.07.05,2020,,0,0
20.46.07.05,2021,0,0,0
20.46.07.06,2015,868000,721000,549637
20.46.07.06,2016,792000,4069000,1135440
20.46.07.06,2017,6053000,9275000,4091645
20.46.07.06,2018,6055000,7669000,7936815
20.46.07.06,2019,5420000,10594000,10593569
20.46.07.06,2020,,0,0
20.46.07.06,2021,0,0,0
20.46.07.07,2015,6146000,7896000,7784225
20.46.07.07,2016,6272000,9771000,8867698
20.46.07.07,2017,12723000,13962000,11733819
20.46.07.07,2018,13581000,16840000,11674527
20.46.07.07,2019,15105000,15798000,12945877
20.46.07.07,2020,,0,0
20.46.07.07,2021,0,0,0
20.46.07.08,2015,3470000,2516000,652342
20.46.07.08,2016,4666000,3583000,1051685
20.46.07.08,2017,6195000,6425000,2028532
20.46.07.08,2018,6242000,8516000,3456006
20.46.07.08,2019,5520000,6356000,4112913
20.46.07.08,2020,,0,0
20.46.07.08,2021,0,0,0
20.46.07.09,2017,10000000,4000000,0
20.46.07.09,2018,20000000,8185000,721154
20.46.07.09,2019,0,10438000,2874346
20.46.07.09,2020,,0,0
20.46.07.09,2021,0,0,0
20.67.01.30,2020,,9045000,8982084
20.67.01.30,2021,4687000,13243000,9578204
20.67.01.30,2022,4487000,12861000,11854568
20.67.01.30,2023,4443000,9500000,9496649
20.67.01.30,2024,4033000,17010000,16945221
20.67.01.30,2025,3753000,14111000,14027000
20.67.01.30,2026,3190000,3190000,
20.67.01.31,2020,,3200000,2359999
20.67.01.31,2021,7688000,8705000,4370394
20.67.01.31,2022,9404000,11920000,6152935
20.67.01.31,2023,9241000,6953000,3434150
20.67.01.31,2024,9293000,10442000,5117168
20.67.01.31,2025,8623000,12635000,7861906
20.67.01.31,2026,7308000,7308000,
20.67.01.50,2020,,24158000,16372340
20.67.01.50,2021,24076000,30786000,17240682
20.67.01.50,2022,18753000,38764000,14569990
20.67.01.50,2023,22863000,42104000,22183108
20.67.01.50,2024,21235000,33247000,22602061
20.67.01.50,2025,19762000,36194000,20882550
20.67.01.50,2026,16799000,16799000,
20.67.01.52,2020,,13866000,11823789
20.67.01.52,2021,15610000,15424000,13954215
20.67.01.52,2022,6809000,4774000,3302851
20.67.01.52,2023,6868000,4347000,2876846
20.67.01.52,2024,6925000,4649000,4647310
20.67.01.52,2025,6964000,7413000,6038606
20.67.01.52,2026,7004000,7004000,
20.67.01.83,2020,,47238000,27030700
20.67.01.83,2021,39067000,40835000,13793279
20.67.01.83,2022,37837000,36085000,17627270
20.67.01.83,2023,11306000,35335000,14488540
20.67.01.83,2024,34777000,31191000,18494179
20.67.01.83,2025,0,15350000,6591382
20.67.01.83,2026,0,0,
21.02.01.60,2011,40000000,0,0
21.02.01.60,2012,60000000,28558000,28558000
21.02.01.60,2013,0,0,0
21.02.01.60,2014,0,0,0
21.11.01.03,2013,22500000,22500000,22500000
21.11.01.03,2014,33500000,33500000,33500000
21.11.01.03,2015,35500000,35500000,35500000
21.11.01.03,2016,35500000,35344000,35344000
21.11.01.03,2017,0,0,0
21.11.01.03,2018,0,0,0
