code,title,office,domain,verdict,reason
18.01.01,מענקים שוטפים לרשויות,רשויות מקומיות,העברות לרשויות המקומיות,ambiguous,"כותרת כללית, ייתכן כולל תמיכה במחוננים."
18.01.02,רשויות מקומיות דרוזיות,רשויות מקומיות,מענקי איזון לרשויות,drop,"מענקי איזון לרשויות, לא חינוך מחוננים."
18.01.03,רשויות מקומיות ערביות,רשויות מקומיות,מענקי איזון לרשויות,drop,"מענקי איזון לרשויות, לא חינוך מחוננים."
18.01.10,מענקים להתישבות צעירה,רשויות מקומיות,העברות לרשויות מקומיות,drop,"מענקים להתיישבות, לא קשור לחינוך מחוננים."
18.01.15,תוכנית הבראה,רשויות מקומיות,העברות לרשויות מקומיות,drop,"תוכנית הבראה פיננסית, לא חינוך מחוננים."
18.01.16,מענקים לרשויות מקומיות,רשויות מקומיות,העברות לרשויות מקומיות,ambiguous,"כותרת כללית, ייתכן כולל תמיכה במחוננים."
18.01.99,רזרבה להתייקרויות,רשויות מקומיות,העברות לרשויות מקומיות,ambiguous,"רזרבה כללית, ייתכן קשור בעקיפין."
18.03.01,מענקים מיועדים,רשויות מקומיות,מענקים מיועדים לרשויות,ambiguous,"כותרת כללית, ייתכן מיועד למחוננים."
18.03.02,בטחון ברשויות המקומיות,רשויות מקומיות,מענקים מיועדים לרשויות,drop,"עוסק בביטחון, לא בחינוך מחוננים."
18.03.03,הדרכה מחקרים וייעוץ,רשויות מקומיות,מענקים מיועדים לרשויות,ambiguous,"כותרת כללית, ייתכן קשור למחוננים."
18.03.04,קליטת עליה ברשויות,רשויות מקומיות,מענקים מיועדים לרשויות,drop,"עוסק בקליטת עלייה, לא בחינוך מחוננים."
18.03.05,איגודי כבאות,רשויות מקומיות,מענקים מיועדים לרשויות,drop,"עוסק באיגודי כבאות, לא בחינוך מחוננים."
18.03.06,תמיכות בקריות חינוך,רשויות מקומיות,מענקים מיועדים לרשויות,ambiguous,"תמיכה בקריות חינוך, ייתכן כולל מחוננים."
18.03.07,שינוע והטמנת פסולת,רשויות מקומיות,מענקים מיועדים לרשויות,drop,"עוסק בטיפול בפסולת, לא בחינוך מחוננים."
18.03.08,מים ברשויות המקומיות,רשויות מקומיות,מענקים מיועדים לרשויות,drop,"עוסק במים, לא בחינוך מחוננים."
18.03.99,רזרבה להתייקרויות,רשויות מקומיות,מענקים מיועדים לרשויות,ambiguous,"רזרבה כללית, ייתכן קשור בעקיפין."
18.11.01,העברות לרשויות,הרשויות המקומיות,העברות לרשויות,ambiguous,"כותרת כללית, ייתכן כולל תמיכה במחוננים."
18.11.02,מענקים אזוריים,הרשויות המקומיות,העברות לרשויות,ambiguous,"כותרת כללית, ייתכן כולל תמיכה במחוננים."
18.11.03,מענקים שוטפים,הרשויות המקומיות,העברות לרשויות,ambiguous,"כותרת כללית, ייתכן כולל תמיכה במחוננים."
18.11.04,מענקי פיתוח,הרשויות המקומיות,העברות לרשויות,ambiguous,"כותרת כללית, ייתכן כולל פיתוח חינוכי."
18.11.05,איגוד ערים כנרת,הרשויות המקומיות,העברות לרשויות,drop,"איגוד ערים ספציפי, לא חינוך מחוננים."
18.12.01,קרן לצמצום פערים,הרשויות המקומיות,קרן לצמצום פערים,ambiguous,ייתכן קשור לצמצום פערים בחינוך.
18.90.01,רזרבה להתייקרויות +,הרשויות המקומיות,רזרבות,ambiguous,"רזרבה כללית, ייתכן קשור בעקיפין."
