code,title,office,program,economic_class_primary,counts_in_total,item_url
20.24.05.79,פתוח וחשיבה יצירתית,משרד החינוך,הוראת המקצועות תוכניות,העברות,yes,https://next.obudget.org/i/363516985dff
20.24.14.12,"פרויקט ""עתידים"" לעידוד תלמידים מצטיינים בפריפריה",משרד החינוך,חינוך לא פורמאלי,העברות,yes,https://next.obudget.org/i/8842176bd765
20.26.15.47,מרכזי העשרה למחוננים ומצטיינים - רשויות,משרד החינוך,ילדים מחוננים,העברות,yes,https://next.obudget.org/i/49e04725d2af
20.26.15.51,הקמת מרכזי מצוינות החלטת ממשלה פיתוח הנגב,משרד החינוך,ילדים מחוננים,העברות,yes,https://next.obudget.org/i/cd889dfbd3da
20.27.15.43,נוער מחונן בחינוך העל יסודי,משרד החינוך,תמיכה בנוער מחונן,העברות,yes,https://next.obudget.org/i/3fdf98439e8f
20.46.02.42,פרויקט עתידים לעידוד תלמידים מצטיינים בפריפריה,משרד החינוך,פעילויות ופרויקטים,העברות,yes,https://next.obudget.org/i/8d3b19f997ee
20.46.07.01,טיפול בילדים מצטיינים,משרד החינוך,תכניות מחוננים,העברות,yes,https://next.obudget.org/i/891552449ff8
20.46.07.03,טיפול בילדים מחוננים ומצטיינים,משרד החינוך,תכניות מחוננים,העברות,yes,https://next.obudget.org/i/9a20ff2071be
20.46.07.04,יוזמות חינוכיות,משרד החינוך,תכניות מחוננים,העברות,yes,https://next.obudget.org/i/ca7f62284ef1
20.46.07.05,מרכזי העשרה למחוננים ומצטיינים,משרד החינוך,תכניות מחוננים,העברות,yes,https://next.obudget.org/i/2ba27df20752
20.46.07.06,מייזמים למחוננים ומצטיינים,משרד החינוך,תכניות מחוננים,העברות,yes,https://next.obudget.org/i/a1788d7eda22
20.46.07.07,נוער מחונן בחינוך העל-יסודי,משרד החינוך,תכניות מחוננים,העברות,yes,https://next.obudget.org/i/c7ebfb6336cd
20.46.07.08,תכנית אקדמיה למצטיינים,משרד החינוך,תכניות מחוננים,העברות,yes,https://next.obudget.org/i/b352170a172a
20.46.07.09,מרכזי מצויינות בפריפריה,משרד החינוך,תכניות מחוננים,קניות,yes,https://next.obudget.org/i/57d4f3ab8a5e
20.67.01.30,מייזמים למחוננים ומצטיינים,משרד החינוך,פעילויות ופרוייקטים,העברות,yes,https://next.obudget.org/i/f6f25f562ac9
20.67.01.31,תכנית אקדמיה למצטיינים,משרד החינוך,פעילויות ופרוייקטים,העברות,yes,https://next.obudget.org/i/8f99ce4f598a
20.67.01.50,פרויקט עתידים לעידוד תלמידים מצטיינים בפריפריה,משרד החינוך,פעילויות ופרוייקטים,העברות,yes,https://next.obudget.org/i/210d20d9df82
20.67.01.52,נוער מחונן בחינוך העל-יסודי,משרד החינוך,פעילויות ופרוייקטים,העברות,yes,https://next.obudget.org/i/d9286e707b60
20.67.01.83,"תכניות לקידום מצוינות במתמטיקה, מדעים ושפות",משרד החינוך,פעילויות ופרוייקטים,העברות,yes,https://next.obudget.org/i/4165504dfac6
21.02.01.60,מרכזי מצוינות,השכלה גבוהה,השתתפות בתקציבי,העברות,yes,https://next.obudget.org/i/fdf693e60f7a
21.11.01.03,תכנית מרכזי המצוינות,השכלה גבוהה,השתתפות במוסדות להשכלה,העברות,yes,https://next.obudget.org/i/65180ac926f2
