code,title,office,verdict,reason
04.01,תחום פעולה כללי,משרד ראש הממשלה,ambiguous,"Generic administrative activities, may contain relevant spending."
04.02,ראשות הממשלה,משרד ראש הממשלה,drop,"General government administration, not solar energy."
04.03,סטטיסטיקה ממלכתית,משרד ראש הממשלה,drop,"National statistics, not solar energy."
04.04,רזרבה לסעיף ראש הממשלה,משרד ראש הממשלה,ambiguous,"Reserve fund, purpose not specified."
04.05,לשכת העיתונות הממשלתית,משרד ראש הממשלה,drop,"Government press office, not solar energy."
04.06,השלמת טיפול במפוני,משרד ראש הממשלה,drop,"Displaced persons treatment, not solar energy."
04.07,רזרבה להתייקרויות,משרד ראש הממשלה,ambiguous,"Reserve for price increases, purpose not specified."
04.08,שירותי דת,משרד ראש הממשלה,drop,"Religious services, not solar energy."
04.09,רבנות ראשית,משרד ראש הממשלה,drop,"Chief Rabbinate, not solar energy."
04.10,נציבות שירות המדינה,משרד ראש הממשלה,drop,"Civil Service Commission, not solar energy."
04.12,רשות החברות הממשלתיות,משרד ראש הממשלה,drop,"Government companies authority, not solar energy."
04.15,נתיב,משרד ראש הממשלה,drop,"Nativ organization, not solar energy."
04.16,נציבות שירות המדינה,משרד ראש הממשלה,drop,"Civil Service Commission, not solar energy."
04.20,השר לשיתוף פעולה,משרד ראש הממשלה,drop,"Minister for cooperation, not solar energy."
04.21,המשרד לפיתוח הנגב,משרד ראש הממשלה,drop,Negev development is too broad for solar energy.
04.22,תוכנית לחיזוק הצפון,משרד ראש הממשלה,drop,"Northern region strengthening program, not solar energy."
04.23,המשרד לשיתוף פעולה,משרד ראש הממשלה,drop,"Office for cooperation, not solar energy."
04.51,משרד ראשי,משרד ראש הממשלה,ambiguous,"Main office activities, may contain relevant spending."
04.52,משרדי ממשלה ולשכות שרים,משרד ראש הממשלה,drop,"Government offices and ministers' bureaus, not solar energy."
04.53,סטטיסטיקה ממלכתית,משרד ראש הממשלה,drop,"National statistics, not solar energy."
04.54,הרבנות הראשית לישראל,משרד ראש הממשלה,drop,"Chief Rabbinate of Israel, not solar energy."
04.55,נציבות שירות המדינה,משרד ראש הממשלה,drop,"Civil Service Commission, not solar energy."
04.56,המשרד לשיתוף פעולה,משרד ראש הממשלה,drop,"Office for cooperation, not solar energy."
04.57,המשרד לשוויון חברתי,משרד ראש הממשלה,drop,"Social equality office, not solar energy."
04.59,לשכת הקשר נתיב,משרד ראש הממשלה,drop,"Nativ liaison office, not solar energy."
04.60,מנהלת השירות האזרחי,משרד ראש הממשלה,drop,"Civil service administration, not solar energy."
04.61,החטיבה להתיישבות,משרד ראש הממשלה,drop,"Settlement division, not solar energy."
04.62,המשרד לשירותי הדת,משרד ראש הממשלה,drop,"Religious services office, not solar energy."
04.63,המשרד לפיתוח הנגב,משרד ראש הממשלה,drop,Negev development is too broad for solar energy.
04.64,הרשות לפיתוח המגזר,משרד ראש הממשלה,drop,"Sector development authority, not solar energy."
04.70,רזרבות,משרד ראש הממשלה,ambiguous,"Reserve fund, purpose not specified."
04.99,חשבון מעבר,משרד ראש הממשלה,ambiguous,"Clearing account, purpose not specified."
05.01,תחום פעולה כללי,משרד האוצר,ambiguous,"Generic administrative activities, may contain relevant spending."
05.02,שירותי מטה ממשלתיים,משרד האוצר,ambiguous,"Government staff services, may contain relevant spending."
05.03,שירותי מטה כלל משקיים,משרד האוצר,ambiguous,"Economy-wide staff services, may contain relevant spending."
05.04,בצוע פקודת מס הכנסה,משרד האוצר,drop,"Income tax enforcement, not solar energy."
05.05,"אגף המכס והמע""מ",משרד האוצר,drop,"Customs and VAT department, not solar energy."
05.06,שירותי עזר למשרדי ממשלה,משרד האוצר,drop,"Support services for government offices, not solar energy."
05.07,נציבות שירות המדינה,משרד האוצר,drop,"Civil Service Commission, not solar energy."
05.08,רזרבה לפעולות משרד,משרד האוצר,ambiguous,"Reserve for ministry activities, purpose not specified."
