code,title,program,reason
04.01.11.01,שיא כח אדם,שירותים מרכזיים,Not related to solar energy.
04.01.11.02,שעות נוספות,שירותים מרכזיים,Not related to solar energy.
04.01.11.03,עבודה בלתי צמיתה,שירותים מרכזיים,Not related to solar energy.
04.01.11.04,פעולות הנהלה מיוחדות,שירותים מרכזיים,Not related to solar energy.
04.01.11.05,השתתפות בפרוייקט מרכבה,שירותים מרכזיים,Not related to solar energy.
04.01.11.06,מיכון,שירותים מרכזיים,Not related to solar energy.
04.01.11.07,עלויות פרישה,שירותים מרכזיים,Not related to solar energy.
04.01.11.08,השתתפות בבוחן ותהילה,שירותים מרכזיים,Not related to solar energy.
04.01.11.09,השתתפות במשרד האוצר - הרפורמה בחשבונאות הממשלתית,שירותים מרכזיים,Not related to solar energy.
04.01.11.10,טיפול בבעיות הדרוזים,שירותים מרכזיים,Not related to solar energy.
04.01.11.11,מלגות לדרוזים,שירותים מרכזיים,Not related to solar energy.
04.01.11.12,"ועידת רוה""מ לעסקים",שירותים מרכזיים,Not related to solar energy.
04.01.11.13,קתדרה ללימודי יהדות,שירותים מרכזיים,Not related to solar energy.
04.01.11.14,"השתתפות משרד תמ""ס",שירותים מרכזיים,Not related to solar energy.
04.01.11.15,השתתפות גורמי חוץ,שירותים מרכזיים,Not related to solar energy.
04.01.11.16,"פעולות, תפעול ותשתיות",שירותים מרכזיים,Not related to solar energy.
04.01.11.17,העצמת תשתיות מורשת - הרשאה להתחייב,שירותים מרכזיים,Not related to solar energy.
04.01.11.18,"השתתפות בבניין רוה""מ",שירותים מרכזיים,Not related to solar energy.
04.01.11.19,השתתפות בפרוייקט ממשל זמין,שירותים מרכזיים,Not related to solar energy.
04.01.11.20,"פרוייקטים - משרד רוה""מ",שירותים מרכזיים,Not related to solar energy.
04.01.11.21,השתתפות במשרד לאיכות הסביבה - פרויקט פארק איילון,שירותים מרכזיים,Not related to solar energy.
04.01.11.22,השתתפות במשרד החינוך,שירותים מרכזיים,Not related to solar energy.
04.01.11.23,השתתפות במשרד הביטחון,שירותים מרכזיים,Not related to solar energy.
04.01.11.24,השתתפות בדיור הממשלתי - פרויקט אלמוג,שירותים מרכזיים,Not related to solar energy.
04.01.11.25,פרויקט אלמוג,שירותים מרכזיים,Not related to solar energy.
04.01.11.26,השתתפות במשרד החינוך - פרויקט יד בן צבי,שירותים מרכזיים,Not related to solar energy.
04.01.11.27,השתתפות במשרד הביטחון,שירותים מרכזיים,Not related to solar energy.
04.01.11.28,חגיגות 60 שנה למדינה ו-40 שנה לירושלים,שירותים מרכזיים,Not related to solar energy.
04.01.11.29,"השתתפות במשרד המדע, התרבות והספורט - בית התפוצות",שירותים מרכזיים,Not related to solar energy.
04.01.11.30,העסקת סטודנטים,שירותים מרכזיים,Not related to solar energy.
04.01.11.31,שכר עידוד,שירותים מרכזיים,Not related to solar energy.
04.01.11.32,רזרבה לעמידה ביעד ההוצאה - חגיגות 60 למדינה,שירותים מרכזיים,Not related to solar energy.
04.01.11.33,השתתפות בביתן יהודי באושוויץ,שירותים מרכזיים,Not related to solar energy.
04.01.11.35,הרשאה - חגיגות 60 שנה למדינה,שירותים מרכזיים,Not related to solar energy.
04.01.11.36,השתתפות בלשכת הפרסום הממשלתית במסגרת חגיגות ה-60,שירותים מרכזיים,Not related to solar energy.
04.01.11.37,השתתפות במשרד הביטחון במסגרת חגיגות ה-60,שירותים מרכזיים,Not related to solar energy.
04.01.11.38,השתתפות במשרד החינוך במסגרת חגיגות ה-60 למדינה,שירותים מרכזיים,Not related to solar energy.
04.01.11.39,השתתפות במשרד התיירות- חגיגות ה- 60,שירותים מרכזיים,Not related to solar energy.
04.01.11.40,השתתפות במשרד התחבורה- חגיגות ה- 60,שירותים מרכזיים,Not related to solar energy.
04.01.11.41,"השתתפות במשרד המדע, התרבות והספורט- חגיגות ה- 60",שירותים מרכזיים,Not related to solar energy.
04.01.11.42,"""שירותי כבאות אווירית""",שירותים מרכזיים,Not related to solar energy.
04.01.11.43,השתתפות משרד הקליטה,שירותים מרכזיים,Not related to solar energy.
04.01.11.44,השתתפות ברשות הטבע והגנים,שירותים מרכזיים,Not related to solar energy.
04.01.11.45,השתתפות במשרד לביטחון פנים,שירותים מרכזיים,Not related to solar energy.
04.01.11.46,השתתפות המשרד לענייני גימלאים,שירותים מרכזיים,Not related to solar energy.
04.01.11.47,תכנון מדיניות עבודת הממשלה,שירותים מרכזיים,Not related to solar energy.
04.01.11.48,השתתפות במשרד הפנים - תכניות עבודה,שירותים מרכזיים,Not related to solar energy.
04.01.11.49,השתתפות ברשות האוכלוסין,שירותים מרכזיים,Not related to solar energy.
04.01.11.50,השתתפות ברשות הטבע והגנים,שירותים מרכזיים,Not related to solar energy.
04.01.11.51,השתתפות המשרד להגנת הסביבה,שירותים מרכזיים,Not related to solar energy.
04.01.11.52,השתתפות בסעיף 54 - החלטת ממשלה 3367 - עידוד תרבות הפנאי והנופש,שירותים מרכזיים,Not related to solar energy.
04.01.11.53,השתתפות במשרד התיירות - החלטת ממשלה 3368,שירותים מרכזיים,Not related to solar energy.
04.01.11.54,השתתפות במשרד הבינוי והשיכון - החלטת ממשלה 3855,שירותים מרכזיים,Not related to solar energy.
04.01.11.55,מכירת שירותים למשרדי הממשלה,שירותים מרכזיים,Not related to solar energy.
04.01.11.56,רכישת שירותים ממשרדי הממשלה,שירותים מרכזיים,Not related to solar energy.
04.01.11.57,רזרבה להשתתפות בסעיף 54,שירותים מרכזיים,Not related to solar energy.
04.01.11.58,השתתפות במשרד הביטחון,שירותים מרכזיים,Not related to solar energy.
04.01.11.59,חינוך בלתי פורמלי,שירותים מרכזיים,Not related to solar energy.
04.01.11.60,"פרוייקט תמ""ר-מע' ממוחשבת לניהול תכניות עבודה",שירותים מרכזיים,Not related to solar energy.
04.01.11.61,פעילות המטה הביומטרי,שירותים מרכזיים,Not related to solar energy.
04.01.11.95,רזרבה להתייקרויות כללית,שרותים מרכזיים,Not related to solar energy.
04.01.12.01,תכנית רב שנתית לפיתוח אגן העיר העתיקה והר הזיתים,המינהלה לפרוייקטים,Not related to solar energy.
04.01.12.02,תכנית רב שנתית לעידוד הצמיחה בירושלים,המינהלה לפרוייקטים,Not related to solar energy.
04.01.12.03,טיפול נקודתי,המינהלה לפרוייקטים,Not related to solar energy.
04.01.12.04,תוכנית רב שנתית לפיתוח אגן העיר העתיקה והר הזיתים,המינהלה לפרוייקטים,Not related to solar energy.
04.01.12.05,תחזוקת מנהרות הכותל,המינהלה לפרוייקטים,Not related to solar energy.
04.01.12.06,תוכנית מרום,המינהלה לפרוייקטים,Not related to solar energy.
04.01.12.07,רזרבה לתחזוקת הכותל,המינהלה לפרוייקטים,Not related to solar energy.
04.01.12.08,פיתוח מנהרות הכותל,המינהלה לפרוייקטים,Not related to solar energy.
04.01.12.09,רזרבה לעמידה ביעד ההוצאה,המינהלה לפרוייקטים,Not related to solar energy.
04.01.12.10,השתתפות משרד הביטחון -  פיתוח מנהרות הכותל,המינהלה לפרוייקטים,Not related to solar energy.
04.01.12.11,השתתפות משרד החינוך - פיתוח מנהרות הכותל,המינהלה לפרוייקטים,Not related to solar energy.
04.01.12.12,השתתפות משרד השיכון - פיתוח מנהרות הכותל,המינהלה לפרוייקטים,Not related to solar energy.
