code,year,amount_allocated,amount_revised,amount_used
04.51.01.38,2015,8163000,8163000,1087697
04.51.01.38,2016,26880000,10930000,3097934
04.51.01.38,2017,25482000,21215000,4974518
04.51.01.38,2018,25482000,13126000,1294614
04.51.01.38,2019,22043000,8659000,1790698
04.51.01.38,2020,,9241000,9125611
04.51.01.38,2021,272000,2115000,-1240750
04.51.01.38,2022,0,2926000,509540
04.51.01.38,2023,0,0,0
04.51.01.38,2024,0,0,0
04.63.03.46,2025,0,0,0
04.63.03.46,2026,3581000,3581000,
05.01.01.16,2012,0,6900000,3653776
05.01.01.16,2013,0,0,0
05.01.01.16,2014,0,0,0
05.01.02.97,2006,0,0,0
05.01.02.97,2007,0,0,0
05.01.02.97,2010,200000,200000,0
05.01.02.97,2011,200000,0,0
05.01.02.97,2012,200000,0,0
05.01.02.97,2013,0,0,0
05.01.02.97,2014,0,0,0
06.05.04.36,1997,419000,0,0
06.05.04.36,1998,2751000,828000,250599
06.05.04.36,1999,701000,1278000,776214
06.05.04.36,2000,0,394000,394187
06.05.04.36,2001,0,0,0
06.05.04.36,2002,0,0,0
06.05.04.36,2003,0,0,0
06.05.04.36,2004,0,0,0
06.05.04.36,2010,0,200000,0
06.05.04.36,2011,0,700000,620523
06.05.04.36,2012,0,1413000,944538
06.05.04.36,2013,0,0,0
06.05.04.36,2014,0,0,0
34.11.01.01,1997,16588000,19905000,12993762
34.11.01.01,1998,16201000,19371000,12298705
34.11.01.01,1999,8609000,15859000,6702001
34.11.01.01,2000,9500000,19088000,8789020
34.11.01.01,2001,8600000,20649000,7065010
34.11.01.01,2002,6926000,20574000,9146889
34.11.01.01,2003,6751000,19184000,7711515
34.11.01.01,2004,4000000,15408000,6789247
34.11.01.01,2005,3300000,13623000,3046401
34.11.01.01,2006,2700000,13903000,6268936
34.11.01.01,2007,2122000,15155000,6291747
34.11.01.01,2008,826000,17493000,4823192
34.11.01.01,2009,929000,27425000,5561109
34.11.01.01,2010,928000,44178000,18716079
34.11.01.01,2011,8800000,26041000,15222994
34.11.01.01,2012,5750000,24453000,13097985
34.11.01.01,2013,0,0,0
34.11.01.01,2014,0,0,0
34.11.01.02,1997,764000,764000,752271
34.11.01.02,1998,1066000,838000,0
