code,title,office,domain,verdict,reason
04.01.11,שירותים מרכזיים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,Generic administrative title; could contain subject spending.
04.01.12,המינהלה לפרוייקטים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,Generic administrative title; could contain subject spending.
04.01.13,ועדת וינוגרד,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific committee, unrelated to solar energy."
04.01.14,מנהלת השירות האזרחי,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific program, unrelated to solar energy."
04.01.15,מנהלת השיחות עם,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific program, unrelated to solar energy."
04.01.16,מטה הסברה לאומי,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific program, unrelated to solar energy."
04.01.17,העצמת תשתיות מורשת,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific program, unrelated to solar energy."
04.01.18,ועדת טירקל,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific committee, unrelated to solar energy."
04.01.19,אמרכלות,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,Generic administrative title; could contain subject spending.
04.01.20,מערך הגיור,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific program, unrelated to solar energy."
04.01.21,הוועדה הבינמשרדית,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,Generic inter-ministerial committee; could contain subject spending.
04.01.22,מטה קיברנטי לאומי,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific program, unrelated to solar energy."
04.01.31,ארכיון המדינה,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific program, unrelated to solar energy."
04.01.32,הנצחת נשיאים וראשי,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific program, unrelated to solar energy."
04.01.39,אמרכלות ארכיון המדינה,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific administrative program, unrelated to solar energy."
04.01.43,מינהלת מפוני סיני,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific program, unrelated to solar energy."
04.01.61,מחקרים שונים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,Generic research program; could contain subject spending.
04.01.62,השתתפות האפוטרופוס כללי,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific program, unrelated to solar energy."
04.01.63,מפעלים חינוכיים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,Generic educational programs; could include energy education.
04.01.64,השתתפות אפוטרופוס,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific program, unrelated to solar energy."
04.01.70,השתתפות אפוטרופוס,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific program, unrelated to solar energy."
04.01.71,מרכז בגין,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific program, unrelated to solar energy."
04.01.72,מרכז רבין,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific program, unrelated to solar energy."
04.01.73,מרכז הסברה,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific program, unrelated to solar energy."
04.01.74,יד לוי אשכול,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific program, unrelated to solar energy."
04.01.75,היכל הגבורה ים-עכו,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific program, unrelated to solar energy."
04.01.76,חלקת גדולי האומה,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific program, unrelated to solar energy."
04.01.77,אתר הנצחה גולני,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific program, unrelated to solar energy."
04.01.78,הרשות למלחמה בסמים,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific program, unrelated to solar energy."
04.01.79,"תכנית בש""ן",משרד ראש הממשלה,תחום פעולה כללי,ambiguous,Opaque title; could contain subject spending.
