code,title,office,program,economic_class_primary,counts_in_total,item_url
04.51.01.38,הוועדה לבחינת תחליפי נפט,משרד ראש הממשלה,מטה המשרד,קניות,yes,https://next.obudget.org/i/fd612036b7e6
04.63.03.46,תשתיות אנרגיה מתחדשת,משרד ראש הממשלה,פיתוח הנגב והגליל,קניות,yes,https://next.obudget.org/i/dd7ffb7099d3
05.01.01.16,העסקת יועצים במשק האנרגיה,משרד האוצר,משרד ראשי,קניות,yes,https://next.obudget.org/i/ae4a82ece787
05.01.02.97,השתתפות באיכות הסביבה,משרד האוצר,אמרכלות,העברות  פנים תקציביות,no,https://next.obudget.org/i/6d3aac52c2cb
06.05.04.36,יועצים למתקנים פוטווולטאיים,משרד הפנים,תכניות מתאר,קניות,yes,https://next.obudget.org/i/bc37cc457c00
34.11.01.01,סקרים ומענקי מחקר,משרד האנרגיה והמים,פיתוח אנרגיות חלופיות,העברות,yes,https://next.obudget.org/i/229110399edd
34.11.01.02,מענקים להדגמת טכנולוגיות,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות,yes,https://next.obudget.org/i/54ee64764692
34.11.01.03,"השתתפות משרד התמ""ת",משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות  פנים תקציביות,no,https://next.obudget.org/i/d3637f8d224d
34.11.01.04,מחקרים במימון בינלאומי,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות,yes,https://next.obudget.org/i/4b03ab005c5c
34.11.01.05,סקרים ומענקי מחקר,משרד האנרגיה והמים,פיתוח אנרגיות חלופיות,העברות,yes,https://next.obudget.org/i/1430435c82e3
34.11.01.06,הקמת מתקני חלוץ,משרד האנרגיה והמים,פיתוח אנרגיות חלופיות,העברות,yes,https://next.obudget.org/i/4f5821076088
34.11.01.07,תשלום חוב לסולמת,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,קניות,yes,https://next.obudget.org/i/733915a2ed90
34.11.01.08,השתתפות במשק המים,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות  פנים תקציביות,no,https://next.obudget.org/i/8dd729136dd0
