code,title,office,verdict,reason
04.01,תחום פעולה כללי,משרד ראש הממשלה,ambiguous,Generic administrative domain
04.02,ראשות הממשלה,משרד ראש הממשלה,ambiguous,Generic administrative domain
04.03,סטטיסטיקה ממלכתית,משרד ראש הממשלה,drop,State statistics
04.04,רזרבה לסעיף ראש הממשלה,משרד ראש הממשלה,ambiguous,Reserve for Prime Minister's Office
04.05,לשכת העיתונות הממשלתית,משרד ראש הממשלה,drop,Government press office
04.06,השלמת טיפול במפוני,משרד ראש הממשלה,drop,Evacuee treatment
04.07,רזרבה להתייקרויות,משרד ראש הממשלה,ambiguous,Reserve for price increases
04.08,שירותי דת,משרד ראש הממשלה,drop,Religious services
04.09,רבנות ראשית,משרד ראש הממשלה,drop,Chief Rabbinate
04.10,נציבות שירות המדינה,משרד ראש הממשלה,drop,Civil Service Commission
04.12,רשות החברות הממשלתיות,משרד ראש הממשלה,drop,Government Companies Authority
04.15,נתיב,משרד ראש הממשלה,drop,Nativ liaison bureau
04.16,נציבות שירות המדינה,משרד ראש הממשלה,drop,Civil Service Commission
04.20,השר לשיתוף פעולה,משרד ראש הממשלה,drop,Minister for Cooperation
04.21,המשרד לפיתוח הנגב,משרד ראש הממשלה,drop,Negev development
04.22,תוכנית לחיזוק הצפון,משרד ראש הממשלה,drop,Strengthening the North
04.23,המשרד לשיתוף פעולה,משרד ראש הממשלה,drop,Ministry for Cooperation
04.51,משרד ראשי,משרד ראש הממשלה,ambiguous,Generic administrative domain
04.52,משרדי ממשלה ולשכות שרים,משרד ראש הממשלה,ambiguous,Generic administrative domain
04.53,סטטיסטיקה ממלכתית,משרד ראש הממשלה,drop,State statistics
04.54,הרבנות הראשית לישראל,משרד ראש הממשלה,drop,Chief Rabbinate
04.55,נציבות שירות המדינה,משרד ראש הממשלה,drop,Civil Service Commission
04.56,המשרד לשיתוף פעולה,משרד ראש הממשלה,drop,Ministry for Cooperation
04.57,המשרד לשוויון חברתי,משרד ראש הממשלה,drop,Social equality
04.59,לשכת הקשר נתיב,משרד ראש הממשלה,drop,Nativ liaison bureau
04.60,מנהלת השירות האזרחי,משרד ראש הממשלה,drop,Civil Service Administration
04.61,החטיבה להתיישבות,משרד ראש הממשלה,drop,Settlement Division
04.62,המשרד לשירותי הדת,משרד ראש הממשלה,drop,Religious services
04.63,המשרד לפיתוח הנגב,משרד ראש הממשלה,drop,Negev development
04.64,הרשות לפיתוח המגזר,משרד ראש הממשלה,drop,Sector development
04.70,רזרבות,משרד ראש הממשלה,ambiguous,Reserves
04.99,חשבון מעבר,משרד ראש הממשלה,ambiguous,Clearing account
05.01,תחום פעולה כללי,משרד האוצר,ambiguous,Generic administrative domain
05.02,שירותי מטה ממשלתיים,משרד האוצר,ambiguous,Government staff services
05.03,שירותי מטה כלל משקיים,משרד האוצר,ambiguous,Economy-wide staff services
05.04,בצוע פקודת מס הכנסה,משרד האוצר,drop,Income tax
05.05,"אגף המכס והמע""מ",משרד האוצר,drop,Customs and VAT
05.06,שירותי עזר למשרדי ממשלה,משרד האוצר,ambiguous,Auxiliary services for government ministries
05.07,נציבות שירות המדינה,משרד האוצר,drop,Civil Service Commission
05.08,רזרבה לפעולות משרד,משרד האוצר,ambiguous,Reserve for ministry operations
05.09,רשות החברות הממשלתיות,משרד האוצר,drop,Government Companies Authority
05.10,שירות עיבודים ממוכנים,משרד האוצר,drop,Automated processing services
05.20,רשות המסים בישראל,משרד האוצר,drop,Israel Tax Authority
05.51,משרד האוצר ראשי,משרד האוצר,ambiguous,Generic administrative domain
05.52,רשות המיסים,משרד האוצר,drop,Tax Authority
05.53,רזרבה למשרד האוצר,משרד האוצר,ambiguous,Reserve for Ministry of Finance
05.90,כיסוי גירעון המדפיס,משרד האוצר,drop,Covering printer deficit
05.99,חשבון מעבר,משרד האוצר,ambiguous,Clearing account
18.01,העברות לרשויות המקומיות,רשויות מקומיות,ambiguous,Transfers to local authorities
18.03,מענקים מיועדים לרשויות,רשויות מקומיות,ambiguous,Earmarked grants for authorities
18.04,שירותי דת,רשויות מקומיות,drop,Religious services
18.11,העברות לרשויות,הרשויות המקומיות,ambiguous,Transfers to authorities
18.12,קרן לצמצום פערים,הרשויות המקומיות,ambiguous,Fund for reducing gaps
18.90,רזרבות,הרשויות המקומיות,ambiguous,Reserves
19.01,מינהל ושירותים כלליים,"משרד המדע והחלל, התרבות",ambiguous,General administration and services
19.02,קידום קשרים בינלאומיים,"משרד המדע, התרבות",ambiguous,Promotion of international relations
19.03,מחקרים ופרוייקטים,"משרד המדע, התרבות",ambiguous,Research and projects
19.04,מינהל מדע,"משרד המדע והחלל, התרבות",drop,Science administration
19.05,תשתיות מדעיות,"משרד המדע, התרבות",drop,Scientific infrastructure
19.06,התוכנית לחיזוק הצפון,"משרד המדע, התרבות",drop,Strengthening the North
19.07,רזרבה,"משרד המדע והחלל, התרבות",ambiguous,Reserve
19.21,רשות העתיקות,"משרד המדע והחלל, התרבות",drop,Antiquities Authority
19.22,אמרכלות ועובדי משרד,"משרד המדע, התרבות",ambiguous,Management and ministry employees
19.31,תרבות,"משרד המדע והחלל, התרבות",keep,"Directly funds culture, including theater"
19.32,רשות הספורט,"משרד המדע, התרבות",drop,Sports Authority
19.37,מינהל הספורט,"משרד המדע והחלל, התרבות",drop,Sports administration
19.40,משרד המדע,"מדע, תרבות וספורט",drop,Science ministry
19.41,מטה המשרדים,"מדע, תרבות וספורט",ambiguous,Ministry headquarters
19.42,מינהל התרבות,"מדע, תרבות וספורט",keep,"Directly funds culture, including theater"
19.43,מינהל הספורט,"מדע, תרבות וספורט",drop,Sports administration
19.44,רזרבות פיסקאליות,"מדע, תרבות וספורט",ambiguous,Fiscal reserves
19.99,חשבוןמעבר,"מדע, תרבות וספורט",ambiguous,Clearing account
34.01,תחום פעולה כללי,משרד האנרגיה והמים,ambiguous,Generic administrative domain
34.02,מטה משרד התשתיות,משרד האנרגיה והמים,ambiguous,Infrastructure Ministry headquarters
34.04,מחשוב המשרד,משרד האנרגיה והמים,drop,Ministry computerization
34.05,הערכות לגז טבעי,משרד התשתיות הלאומיות,drop,Natural gas preparations
34.06,מינהל המחקר למדעי,משרד האנרגיה והמים,drop,Science research administration
34.07,סיירת ירוקה,משרד התשתיות הלאומיות,drop,Green patrol
34.08,מנהלת ההקמה של צנרת,משרד התשתיות הלאומיות,drop,Pipeline construction
34.10,רשויות פיתוח אזוריות,משרד התשתיות הלאומיות,drop,Regional development
34.11,מחקר ופיתוח באנרגיה,משרד האנרגיה והמים,drop,Energy research and development
34.12,יעול השימוש באנרגיה,משרד האנרגיה והמים,drop,Energy efficiency
34.13,פעולות מידע,משרד האנרגיה והמים,ambiguous,Information activities
34.14,פעולות פיקוח במשק הדלק,משרד האנרגיה והמים,drop,Fuel market supervision
34.16,פיתוח מערכת החשמל,משרד התשתיות הלאומיות,drop,Electricity system development
34.17,מחקר ופיתוח תשתית,משרד האנרגיה והמים,drop,Infrastructure research and development
34.18,רזרבה להתייקרויות,משרד האנרגיה והמים,ambiguous,Reserve for price increases
34.20,רשות ממשלתית למים,משרד התשתיות הלאומיות,drop,Government Water Authority
34.21,פעולות משק המים,משרד התשתיות הלאומיות,drop,Water economy activities
34.22,היחידה לקידום מפעלי,משרד התשתיות הלאומיות,ambiguous,Unit for promoting enterprises
34.23,המינהל לתשתיות ביוב,משרד התשתיות הלאומיות,drop,Sewage infrastructure
34.24,רזרבה למשק המים,משרד התשתיות הלאומיות,ambiguous,Reserve for water economy
34.30,מטה המשרד,משרד האנרגיה,ambiguous,Ministry headquarters
34.31,מכון גיאולוגי,משרד האנרגיה,drop,Geological Institute
34.32,רזרבות,משרד האנרגיה,ambiguous,Reserves
34.33,משאבי מים,משרד האנרגיה,drop,Water resources
34.99,חשבון מעבר,משרד האנרגיה,ambiguous,Clearing account
35.01,הועדה לאנרגיה אטומית,הועדה לאנרגיה אטומית,drop,Atomic Energy Commission
83.01,הלוואות לעובדים,הוצאות פיתוח אחרות,drop,Loans to employees
83.02,פיתוח משרד האוצר,הוצאות פיתוח אחרות,drop,Ministry of Finance development
83.03,פיתוח משרד ראש,הוצאות פיתוח אחרות,drop,Prime Minister's Office development
83.04,פרוייקטי פיתוח,הוצאות פיתוח אחרות,ambiguous,Development projects
83.05,השקעות בטכנולוגיות,הוצאות פיתוח אחרות,drop,Technology investments
83.06,השקעות,הוצאות פיתוח אחרות,ambiguous,Investments
83.07,מימון תוכניות הבראה,הוצאות פיתוח אחרות,drop,Funding recovery programs
83.08,פרויקטי משרד הביטחון,הוצאות פיתוח אחרות,drop,Ministry of Defense projects
83.11,"פיתוח נציגויות בחו""ל",הוצאות פיתוח אחרות,drop,Overseas missions development
83.12,הלוואות לעולים,הוצאות פיתוח אחרות,drop,Loans to immigrants
89.01,המדפיס הממשלתי,"מפעלי משרד ראה""מ והאוצר",drop,Government Printer
89.02,לשכת הפרסום הממשלתית,"מפעלי משרד ראה""מ והאוצר",drop,Government Advertising Agency
89.03,המדפיס הממשלתי,מפעלי משרד ראש הממשלה,drop,Government Printer
89.04,רזרבות להתייקרויות,מפעלי משרד ראש הממשלה,ambiguous,Reserves for price increases
89.10,לשכת פרסום ממשלתית,מפעלי משרד ראש הממשלה,drop,Government Advertising Agency
89.50,רזרבה,מפעלי משרד ראש הממשלה,ambiguous,Reserve
89.69,חשבון מעבר,"מפעלי משרד ראה""מ והאוצר",ambiguous,Clearing account
89.72,מכירות,מפעלי משרד ראש הממשלה,drop,Sales
89.73,הגדלת מלאי מורשה,מפעלי משרד ראש הממשלה,drop,Increasing authorized inventory
89.74,הכנסות מריבית,מפעלי משרד ראש הממשלה,drop,Interest income
89.75,הכנסות שונות,מפעלי משרד ראש הממשלה,drop,Various income
89.76,סגירת חייבים,מפעלי משרד ראש הממשלה,drop,Closing debtors
89.80,הון חוזר,מפעלי משרד ראש הממשלה,drop,Working capital
89.89,הכנסות המדפיס,"מפעלי משרד ראה""מ והאוצר",drop,Printer's income
89.90,הכנסות לשכת הפרסום,"מפעלי משרד ראה""מ והאוצר",drop,Advertising agency income
89.99,כיסוי גירעון המדפיס,"מפעלי משרד ראה""מ והאוצר",drop,Covering printer deficit
