code,title,program,reason
04.01.11.01,שיא כח אדם,שירותים מרכזיים,"General personnel line, not related to theater."
04.01.11.02,שעות נוספות,שירותים מרכזיים,"General personnel line, not related to theater."
04.01.11.03,עבודה בלתי צמיתה,שירותים מרכזיים,"General personnel line, not related to theater."
04.01.11.04,פעולות הנהלה מיוחדות,שירותים מרכזיים,"General administrative activities, not related to theater."
04.01.11.05,השתתפות בפרוייקט מרכבה,שירותים מרכזיים,Project 'Merkava' not related to theater.
04.01.11.06,מיכון,שירותים מרכזיים,"General equipment/operations, not related to theater."
04.01.11.07,עלויות פרישה,שירותים מרכזיים,"General personnel line, not related to theater."
04.01.11.08,השתתפות בבוחן ותהילה,שירותים מרכזיים,Project 'Bochen VeTehila' not clearly related to theater.
04.01.11.09,השתתפות במשרד האוצר - הרפורמה בחשבונאות הממשלתית,שירותים מרכזיים,"Government accounting reform, not related to theater."
04.01.11.10,טיפול בבעיות הדרוזים,שירותים מרכזיים,"Social issues for Druze, not related to theater."
04.01.11.11,מלגות לדרוזים,שירותים מרכזיים,"Scholarships for Druze, not related to theater."
04.01.11.12,"ועידת רוה""מ לעסקים",שירותים מרכזיים,"Business conference, not related to theater."
04.01.11.13,קתדרה ללימודי יהדות,שירותים מרכזיים,"Jewish studies, not related to theater."
04.01.11.14,"השתתפות משרד תמ""ס",שירותים מרכזיים,"Inter-ministerial transfer, not related to theater."
04.01.11.15,השתתפות גורמי חוץ,שירותים מרכזיים,"General revenue, not related to theater."
04.01.11.16,"פעולות, תפעול ותשתיות",שירותים מרכזיים,"General operations and infrastructure, not related to theater."
04.01.11.17,העצמת תשתיות מורשת - הרשאה להתחייב,שירותים מרכזיים,"Heritage infrastructure, not specifically theater."
04.01.11.18,"השתתפות בבניין רוה""מ",שירותים מרכזיים,"PM's office building, not related to theater."
04.01.11.19,השתתפות בפרוייקט ממשל זמין,שירותים מרכזיים,"E-government project, not related to theater."
04.01.11.20,"פרוייקטים - משרד רוה""מ",שירותים מרכזיים,"General projects, not related to theater."
04.01.11.21,השתתפות במשרד לאיכות הסביבה - פרויקט פארק איילון,שירותים מרכזיים,"Environmental park project, not related to theater."
04.01.11.22,השתתפות במשרד החינוך,שירותים מרכזיים,"General education participation, not related to theater."
04.01.11.23,השתתפות במשרד הביטחון,שירותים מרכזיים,"Defense participation, not related to theater."
