code,year,amount_allocated,amount_revised,amount_used
04.01.17.13,2010,0,2000000,0
04.01.17.13,2011,0,5000000,0
04.01.17.13,2012,0,0,0
04.01.17.13,2013,0,0,0
04.01.63.34,2001,0,25000,25000
04.01.63.34,2002,0,8000,0
04.01.63.34,2003,0,8000,0
04.01.63.34,2004,0,0,0
04.01.63.34,2005,0,0,0
04.02.81.23,2008,0,200000,0
04.02.81.23,2009,0,0,0
04.02.81.23,2010,0,588000,0
04.02.81.23,2011,1000000,0,0
04.02.81.23,2012,0,0,0
04.02.81.23,2013,0,0,0
04.15.02.24,2011,0,60000,0
04.15.02.24,2012,0,0,0
04.15.02.24,2013,0,0,0
04.15.06.05,2006,0,0,5921670
04.15.06.05,2007,0,0,4979467
04.15.06.05,2008,0,0,1445684
04.15.06.05,2009,0,0,0
04.15.06.05,2010,0,0,0
04.15.06.05,2011,0,0,0
04.15.06.05,2012,0,0,0
04.21.03.48,2011,25000000,0,0
04.21.03.48,2012,25000000,15000,0
04.21.03.48,2013,0,0,0
04.21.03.48,2014,0,0,0
04.63.03.22,2017,0,2000000,565984
04.63.03.22,2018,0,9702000,8303297
04.63.03.22,2019,10000000,10683000,9229618
04.63.03.22,2020,,10000000,9813362
04.63.03.22,2021,100000,25000,16527
04.63.03.22,2022,0,6000,369825
04.63.03.22,2023,98000,4075000,4073550
04.63.03.22,2024,500000,10500000,9731105
04.63.03.22,2025,3107000,0,0
04.63.03.22,2026,0,0,
04.63.03.35,2019,0,0,0
04.63.03.35,2020,,0,0
04.63.03.35,2021,0,0,0
19.31.03.01,2000,4754000,0,0
19.31.03.01,2001,4096000,0,0
19.31.03.01,2002,0,0,0
19.31.03.01,2003,0,0,0
19.31.03.01,2004,0,0,0
19.31.03.01,2007,17926000,0,0
19.31.03.01,2008,22610000,0,0
19.31.03.01,2009,16866000,0,0
19.31.03.01,2010,21866000,0,0
19.31.03.01,2011,34000000,0,0
19.31.03.01,2012,34500000,0,0
19.31.03.01,2013,0,0,0
19.31.03.01,2014,0,0,0
19.31.03.02,2000,1366000,0,0
19.31.03.02,2001,0,0,0
19.31.03.02,2002,0,0,0
19.31.03.02,2003,0,0,0
19.31.03.02,2004,0,0,0
19.31.03.02,2006,0,-118300000,-118300000
19.31.03.02,2007,0,-200000,0
19.31.03.02,2008,0,0,0
19.31.03.02,2009,0,0,0
19.31.03.03,2000,104000,0,0
19.31.03.03,2001,0,0,0
19.31.03.03,2002,0,0,0
19.31.03.03,2003,0,0,0
19.31.03.03,2004,0,0,0
19.31.03.03,2006,0,-1000000,0
19.31.03.03,2007,0,-1000000,0
19.31.03.03,2008,0,-1000000,-1000000
19.31.03.03,2009,0,-1000000,0
19.31.03.03,2010,0,0,0
19.31.03.03,2011,0,0,0
19.31.03.05,2000,83801000,0,0
19.31.03.05,2001,0,0,0
19.31.03.05,2002,0,0,0
19.31.03.05,2003,0,0,0
19.31.03.05,2004,0,0,0
19.31.03.05,2007,0,0,0
19.31.03.08,2000,32356000,0,0
19.31.03.08,2001,0,0,0
19.31.03.08,2002,0,0,0
19.31.03.08,2003,0,0,0
19.31.03.08,2004,0,0,0
19.31.03.08,2007,0,-1200000,-1200000
19.31.03.08,2008,-1200000,-3460000,-3420000
19.31.03.08,2009,-1200000,-1200000,-1200000
19.31.03.08,2010,-1200000,-1200000,0
19.31.03.08,2011,-2200000,-2200000,0
19.31.03.08,2012,-1200000,-1200000,0
19.31.03.08,2013,0,0,0
19.31.03.08,2014,0,0,0
19.31.03.10,2000,19922000,0,0
19.31.03.10,2001,0,0,0
19.31.03.10,2002,0,0,0
19.31.03.10,2003,0,0,0
19.31.03.10,2004,0,0,0
19.31.03.10,2006,0,-1200000,-1200000
19.31.03.10,2007,0,-4800000,-4800000
19.31.03.10,2008,-2800000,-2800000,-2800000
19.31.03.10,2009,-2800000,-2800000,-2800000
19.31.03.10,2010,-2800000,-3315000,-500000
19.31.03.10,2011,-2800000,-2800000,0
19.31.03.10,2012,0,0,0
19.31.03.10,2013,0,0,0
19.31.03.11,2000,18027000,0,0
19.31.03.11,2001,0,0,0
19.31.03.11,2002,0,0,0
19.31.03.11,2003,0,0,0
19.31.03.11,2004,0,0,0
19.31.03.11,2006,0,-1500000,-1500000
19.31.03.11,2007,-1500000,-1500000,-1500000
19.31.03.11,2008,-1500000,-1500000,-1500000
19.31.03.11,2009,-1500000,-1500000,-1500000
19.31.03.11,2010,-1500000,-5220000,-5220000
19.31.03.11,2011,0,0,0
19.31.03.11,2012,0,0,0
19.31.03.12,2000,11897000,0,0
19.31.03.12,2001,0,0,0
19.31.03.12,2002,0,0,0
19.31.03.12,2003,0,0,0
19.31.03.12,2004,0,0,0
19.31.03.12,2006,0,7586000,0
19.31.03.12,2007,1500000,16610000,7454800
19.31.03.12,2008,1500000,18655000,8280000
19.31.03.12,2009,1500000,48075000,26965200
19.31.03.12,2010,1500000,27271000,27300000
19.31.03.12,2011,0,0,0
19.31.03.12,2012,0,0,0
19.31.03.12,2013,0,0,0
19.31.03.12,2014,0,0,0
19.31.03.13,2000,164000,0,0
19.31.03.13,2001,0,0,0
19.31.03.13,2002,0,0,0
19.31.03.13,2003,0,0,0
19.31.03.13,2004,0,0,0
19.31.03.13,2006,0,1402000,1402000
19.31.03.13,2007,0,0,0
19.31.03.13,2008,0,0,0
19.31.03.16,2000,8900000,0,0
19.31.03.16,2001,0,0,0
19.31.03.16,2002,0,0,0
19.31.03.16,2003,0,0,0
19.31.03.16,2004,0,0,0
19.31.03.16,2007,0,0,0
19.31.03.19,2000,71000,0,0
19.31.03.19,2001,0,0,0
19.31.03.19,2002,0,0,0
19.31.03.19,2003,0,0,0
19.31.03.19,2004,0,0,0
19.31.03.19,2007,0,0,0
19.31.03.20,2000,143000,0,0
19.31.03.20,2001,0,0,0
19.31.03.20,2002,0,0,0
19.31.03.20,2003,0,0,0
19.31.03.20,2004,0,0,0
19.31.03.21,2000,365000,0,0
19.31.03.21,2001,0,0,0
19.31.03.21,2002,0,0,0
19.31.03.21,2003,0,0,0
19.31.03.21,2004,0,0,0
19.31.03.25,2000,4336000,0,0
19.31.03.25,2001,0,0,0
19.31.03.25,2002,0,0,0
19.31.03.25,2003,0,0,0
19.31.03.25,2004,0,0,0
19.31.03.25,2007,0,0,0
19.31.03.27,2000,12633000,0,0
19.31.03.27,2001,0,0,0
19.31.03.27,2002,0,0,0
19.31.03.27,2003,0,0,0
19.31.03.27,2004,0,0,0
19.31.03.29,2000,339000,0,0
19.31.03.29,2001,0,0,0
19.31.03.29,2002,0,0,0
19.31.03.29,2003,0,0,0
19.31.03.29,2004,0,0,0
19.31.03.29,2007,0,0,0
19.31.03.32,2000,1586000,0,0
19.31.03.32,2001,0,0,0
19.31.03.32,2002,0,0,0
19.31.03.32,2003,0,0,0
19.31.03.32,2004,0,0,0
19.31.03.32,2006,0,11670000,11651539
19.31.03.32,2007,11302000,11987000,11837000
