code,title,office,domain,verdict,reason
04.01.11,שירותים מרכזיים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,Generic administrative title
04.01.12,המינהלה לפרוייקטים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,Generic administrative title
04.01.13,ועדת וינוגרד,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific committee, not theater"
04.01.14,מנהלת השירות האזרחי,משרד ראש הממשלה,תחום פעולה כללי,drop,"Civil service administration, not theater"
04.01.15,מנהלת השיחות עם,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"Incomplete, opaque title"
04.01.16,מטה הסברה לאומי,משרד ראש הממשלה,תחום פעולה כללי,drop,"Public information, not theater"
04.01.17,העצמת תשתיות מורשת,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,Heritage infrastructure could include cultural sites
04.01.18,ועדת טירקל,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific committee, not theater"
04.01.19,אמרכלות,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,Term 'אמרכלות' can relate to cultural management
04.01.20,מערך הגיור,משרד ראש הממשלה,תחום פעולה כללי,drop,"Religious conversion, not theater"
04.01.21,הוועדה הבינמשרדית,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,Generic committee title
04.01.22,מטה קיברנטי לאומי,משרד ראש הממשלה,תחום פעולה כללי,drop,"Cyber security, not theater"
04.01.31,ארכיון המדינה,משרד ראש הממשלה,תחום פעולה כללי,drop,"State archives, not theater"
04.01.32,הנצחת נשיאים וראשי,משרד ראש הממשלה,תחום פעולה כללי,drop,"Commemoration, not theater"
04.01.39,אמרכלות ארכיון המדינה,משרד ראש הממשלה,תחום פעולה כללי,drop,"Archive management, not theater"
04.01.43,מינהלת מפוני סיני,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific historical event, not theater"
04.01.61,מחקרים שונים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,Generic studies program
04.01.62,השתתפות האפוטרופוס כללי,משרד ראש הממשלה,תחום פעולה כללי,drop,"Legal/administrative, not theater"
04.01.63,מפעלים חינוכיים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,Educational programs could include theater education
04.01.64,השתתפות אפוטרופוס,משרד ראש הממשלה,תחום פעולה כללי,drop,"Legal/administrative, not theater"
04.01.70,השתתפות אפוטרופוס,משרד ראש הממשלה,תחום פעולה כללי,drop,"Legal/administrative, not theater"
04.01.71,מרכז בגין,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific historical/political center, not theater"
04.01.72,מרכז רבין,משרד ראש הממשלה,תחום פעולה כללי,drop,"Specific historical/political center, not theater"
04.01.73,מרכז הסברה,משרד ראש הממשלה,תחום פעולה כללי,drop,"Public information, not theater"
04.01.74,יד לוי אשכול,משרד ראש הממשלה,תחום פעולה כללי,drop,"Commemoration, not theater"
04.01.75,היכל הגבורה ים-עכו,משרד ראש הממשלה,תחום פעולה כללי,drop,"Commemoration/museum, not theater"
04.01.76,חלקת גדולי האומה,משרד ראש הממשלה,תחום פעולה כללי,drop,"Commemoration, not theater"
04.01.77,אתר הנצחה גולני,משרד ראש הממשלה,תחום פעולה כללי,drop,"Commemoration, not theater"
04.01.78,הרשות למלחמה בסמים,משרד ראש הממשלה,תחום פעולה כללי,drop,"Social issue, not theater"
04.01.79,"תכנית בש""ן",משרד ראש הממשלה,תחום פעולה כללי,ambiguous,Opaque acronym
04.01.80,מורשת משה שרת,משרד  ראש הממשלה,תחום פעולה כללי,drop,"Heritage/commemoration, not theater"
04.01.81,אפוטרופוס כללי,משרד ראש הממשלה,תחום פעולה כללי,drop,"Legal/administrative, not theater"
04.01.82,מרכז תרבות עמים לנוער,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,Cultural center for youth could include theater
04.01.83,מכון העם והמדינה,משרד ראש הממשלה,תחום פעולה כללי,drop,"Political/social research, not theater"
04.01.84,מוזיאון בית השומר,משרד ראש הממשלה,תחום פעולה כללי,drop,"Museum, not theater"
04.01.85,נתיב - הוראת עברית,משרד ראש הממשלה,תחום פעולה כללי,drop,"Language education, not theater"
