code,title,office,program,economic_class_primary,counts_in_total,item_url
04.01.17.13,השתתפות במשרד התרבות,משרד ראש הממשלה,העצמת תשתיות מורשת,העברות  פנים תקציביות,no,https://next.obudget.org/i/94f79e5308d3
04.01.63.34,תאטרון הצילינדר,משרד ראש הממשלה,מפעלים חינוכיים,קניות,yes,https://next.obudget.org/i/5331385ed9f5
04.02.81.23,השתתפות במשרד המדע והתרבות,משרד ראש הממשלה,המשרד לענייני גמלאים,העברות  פנים תקציביות,no,https://next.obudget.org/i/a47b8f265804
04.15.02.24,השתתפות במשרד התרבות,משרד ראש הממשלה,אמרכלות ופעולות,העברות  פנים תקציביות,no,https://next.obudget.org/i/45eeb4076a9c
04.15.06.05,"פעילות תרבות בחו""ל במימון גורמי חוץ",משרד ראש הממשלה,פעולות תרבות וחינוך,קניות,yes,https://next.obudget.org/i/1ef9b188f992
04.21.03.48,פרוייקטים בתחום התרבות,משרד ראש הממשלה,קידום הנגב והגליל,העברות,yes,https://next.obudget.org/i/34d447b4f86f
04.63.03.22,אירועי תרבות,משרד ראש הממשלה,פיתוח הנגב והגליל,העברות,yes,https://next.obudget.org/i/e863f61fa138
04.63.03.35,אירועי תרבות משותפים בפריפריה החברתית,משרד ראש הממשלה,פיתוח הנגב והגליל,העברות,yes,https://next.obudget.org/i/8eb8428c645b
19.31.03.01,עתודה לקידום התרבות,"משרד המדע והחלל, התרבות",מינהל תרבות,העברות,yes,https://next.obudget.org/i/c172003e1fad
19.31.03.02,השתתפות מסעיף 13,"משרד המדע, התרבות",מינהל תרבות,העברות  פנים תקציביות,no,https://next.obudget.org/i/2efe50bbe179
19.31.03.03,השתתפות משרד הפנים,משרד המדע והטכנולוגיה,מינהל תרבות,העברות  פנים תקציביות,no,https://next.obudget.org/i/5bda206392f7
19.31.03.05,תאטראות - תמיכה,"משרד המדע, התרבות",מנהל תרבות,העברות,yes,https://next.obudget.org/i/6088a12c1767
19.31.03.08,השתתפות משרד ראש הממשלה בתרבות,"משרד המדע והחלל, התרבות",מינהל תרבות,העברות  פנים תקציביות,no,https://next.obudget.org/i/150ab1d270a0
19.31.03.10,השתתפות חינוך בתרבות,"משרד המדע, התרבות",מינהל תרבות,העברות  פנים תקציביות,no,https://next.obudget.org/i/261534e9f93a
19.31.03.11,השתתפות חינוך במגה שיפוצים,"משרד המדע, התרבות",מינהל תרבות,העברות  פנים תקציביות,no,https://next.obudget.org/i/59d07a11c9a0
19.31.03.12,מגה שיפוצים,"משרד המדע והחלל, התרבות",מינהל תרבות,העברות,yes,https://next.obudget.org/i/3e1f1a99c7d0
19.31.03.13,מחזות זמר,"משרד המדע, התרבות",מינהל תרבות,העברות,yes,https://next.obudget.org/i/ceca5576a4ce
19.31.03.16,פסטיבלים לתרבות ואמנות -תמיכה,"משרד המדע, התרבות",מנהל תרבות,העברות,yes,https://next.obudget.org/i/bdc497ba8b24
19.31.03.19,הענקות ליוצרים,"משרד המדע, התרבות",מנהל תרבות,העברות,yes,https://next.obudget.org/i/8bbe0f3314bc
19.31.03.20,קרן לעזרת סופרים אמנים,משרד המדע והטכנולוגיה,תמיכה במוסדות תרבות,העברות,yes,https://next.obudget.org/i/0b44c5c38cec
19.31.03.21,קרן מלגות לתלמידים לאומנות,משרד המדע והטכנולוגיה,תמיכה במוסדות תרבות,העברות,yes,https://next.obudget.org/i/d0893303a0fd
19.31.03.25,פעולות תרבות לערבים - תמיכה,"משרד המדע, התרבות",מנהל תרבות,העברות,yes,https://next.obudget.org/i/ccc3b02bd18d
19.31.03.27,"בי""ס לאומנות-תמיכה",משרד המדע והטכנולוגיה,תמיכה במוסדות תרבות,העברות,yes,https://next.obudget.org/i/b4757eed2d33
19.31.03.29,הכשרת מנהלים למוסדות תרבות,"משרד המדע, התרבות",מנהל תרבות,העברות,yes,https://next.obudget.org/i/9c18c0c8fbb5
19.31.03.32,קבוצות תיאטרון פרוייקטים ויוזמות - תמיכה,"משרד המדע והחלל, התרבות",מינהל תרבות,העברות,yes,https://next.obudget.org/i/843ad3b74d65
19.31.03.33,"הפצת תרבות ישראלית בחו""ל - תמיכה",משרד המדע והטכנולוגיה,תמיכה במוסדות תרבות,העברות,yes,https://next.obudget.org/i/837278185cd2
19.31.03.35,השתתפות במשרד החינוך,"משרד המדע והחלל, התרבות",מינהל תרבות,העברות  פנים תקציביות,no,https://next.obudget.org/i/b76c810247cf
19.31.03.38,מוסדות במצוקה,"משרד המדע והחלל, התרבות",מינהל תרבות,העברות,yes,https://next.obudget.org/i/90f5618cd943
19.31.03.39,רזרבה לפעולות תרבות,"משרד המדע, התרבות",מנהל תרבות,קניות,yes,https://next.obudget.org/i/eedd2d5fd692
19.31.03.40,תמיכה לשיפוצים במוסדות תרבות,"משרד המדע והחלל, התרבות",מינהל תרבות,העברות,yes,https://next.obudget.org/i/b4947bf2c78a
19.31.03.42,סיוע לאומנים עצמאים,"משרד המדע והחלל, התרבות",מינהל תרבות,העברות,yes,https://next.obudget.org/i/2d264b27f888
19.31.03.43,פרסי תרבות,"משרד המדע והחלל, התרבות",מינהל תרבות,העברות,yes,https://next.obudget.org/i/4459e554ba26
19.31.03.45,מוסדות תרבות מדע ומחקר,"משרד המדע והחלל, התרבות",מינהל תרבות,העברות,yes,https://next.obudget.org/i/cbbf0d5e107e
19.31.03.46,תאטראות- תמיכה,"משרד המדע והחלל, התרבות",מינהל תרבות,העברות,yes,https://next.obudget.org/i/e2763b69e138
19.31.03.47,השתתפות במשרד הקליטה באומנים עולים,"משרד המדע, התרבות",מינהל תרבות,העברות  פנים תקציביות,no,https://next.obudget.org/i/0688661bf4d1
19.31.03.58,השתתפות משרד הפנים,"משרד המדע, התרבות",מינהל תרבות,העברות  פנים תקציביות,no,https://next.obudget.org/i/9e2ae0fa4db3
19.31.03.59,פסטיבלים לתרבות ואמנות - תמיכה,"משרד המדע והחלל, התרבות",מינהל תרבות,העברות,yes,https://next.obudget.org/i/617dd43ec709
19.31.03.64,הענקות ליוצרים,"משרד המדע והחלל, התרבות",מינהל תרבות,העברות,yes,https://next.obudget.org/i/b8d19388d1fe
19.31.03.65,קרן לעזרת סופרים ואמנים,"משרד המדע והחלל, התרבות",מינהל תרבות,העברות,yes,https://next.obudget.org/i/aa21d54e6821
19.31.03.66,השתתפות במשרד החינוך,משרד המדע והטכנולוגיה,מינהל תרבות,העברות  פנים תקציביות,no,https://next.obudget.org/i/18d9c8222f00
19.31.03.67,תרבות בקהילה - תמיכה,"משרד המדע והחלל, התרבות",מינהל תרבות,העברות,yes,https://next.obudget.org/i/e5a6ade2075a
19.31.03.68,השתתפות במשרד הפנים,משרד המדע והטכנולוגיה,מינהל תרבות,העברות  פנים תקציביות,no,https://next.obudget.org/i/de3e359fb058
19.31.03.70,פעולות בתרבות,"משרד המדע והחלל, התרבות",מינהל תרבות,העברות,yes,https://next.obudget.org/i/3b2429406861
19.31.03.73,פעולות תרבות ערבית - תמיכה,"משרד המדע והחלל, התרבות",מינהל תרבות,העברות,yes,https://next.obudget.org/i/9df348eb315f
19.31.03.77,"בתי""ס לאמנות - תמיכה","משרד המדע והחלל, התרבות",מינהל תרבות,העברות,yes,https://next.obudget.org/i/6497755b6c1c
19.31.03.81,השקעת בעלים בחברת בנין הבימה,"משרד המדע והחלל, התרבות",מינהל תרבות,קניות,yes,https://next.obudget.org/i/23be7dd009ab
19.31.03.82,הלוואות למוסדות במצוקה,"משרד המדע והחלל, התרבות",מינהל תרבות,העברות,yes,https://next.obudget.org/i/83ab1edd537c
19.31.03.84,שימור רצף פעולות - תמיכה,"משרד המדע והחלל, התרבות",מינהל תרבות,העברות,yes,https://next.obudget.org/i/faa012406e9a
19.31.03.86,הפצת אמנויות לעם לישובים ברחבי הארץ- תמיכה,"משרד המדע, התרבות",מינהל תרבות,העברות,yes,https://next.obudget.org/i/b2c319c1b971
19.31.03.87,השתתפות משרד הקליטה,"משרד המדע, התרבות",מינהל תרבות,העברות  פנים תקציביות,no,https://next.obudget.org/i/d678bb19395c
19.31.03.96,מענק ירושלים לתרבות,"משרד המדע והחלל, התרבות",מינהל תרבות,העברות,yes,https://next.obudget.org/i/6d24a1212a4b
19.31.03.99,פעולות תרבות לדרוזים - תמיכה,"משרד המדע והחלל, התרבות",מינהל תרבות,העברות,yes,https://next.obudget.org/i/befc8a706884
19.42.02.01,יישום הסכמים לקידום התרבות,"מדע, תרבות וספורט",מינהל התרבות,העברות,yes,https://next.obudget.org/i/256ee4223de6
19.42.02.02,השתתפות משרד ראש הממשלה,"משרד המדע והחלל, התרבות",מינהל התרבות,העברות  פנים תקציביות,no,https://next.obudget.org/i/b466461ef54c
