code,title,office,program,first_year,last_year,allocated,revised,used,status,item_url
04.63.03.46,תשתיות אנרגיה מתחדשת,משרד ראש הממשלה,פיתוח הנגב והגליל,2025,2026,0,0,,active,https://next.obudget.org/i/dd7ffb7099d3
34.12.03.01,סקרים ומחקרים בנושא יעילות השימוש באנרגיה,משרד התשתיות הלאומיות,יעילות השימוש באנרגיה,1999,2009,0,0,0,dormant,https://next.obudget.org/i/45e1d75f284c
34.12.03.02,מענקים להדגמת טכנולוגיות להתיעלות באנרגיה,משרד התשתיות הלאומיות,יעילות השימוש באנרגיה,2001,2005,0,0,0,dormant,https://next.obudget.org/i/1e9d891636c8
34.12.03.04,קידום פעילות סוכני שימור אנרגיה,משרד התשתיות הלאומיות,יעילות השימוש באנרגיה,2004,2009,0,0,0,dormant,https://next.obudget.org/i/e9c1d0c5a089
34.12.03.05,קידום פרויקטים זעירים להתייעלות אנרגטית,משרד התשתיות הלאומיות,יעילות השימוש באנרגיה,2005,2009,0,0,0,dormant,https://next.obudget.org/i/fb6327e2a901
34.12.03.21,יעול השימוש באנרגיה,משרד האנרגיה והמים,יעילות השימוש באנרגיה,2008,2014,0,0,0,dormant,https://next.obudget.org/i/479ff70529d2
34.12.03.26,התייעלות במגזר הביתי,משרד האנרגיה והמים,יעילות השימוש באנרגיה,2011,2014,0,0,0,dormant,https://next.obudget.org/i/432d66579308
34.13.01.22,קמפיין התייעלות אנרגטית,משרד התשתיות הלאומיות,יצירת מידע והפצתו,2008,2013,0,0,0,dormant,https://next.obudget.org/i/a62c4740e53a
34.30.03.01,פעולות התייעלות אנרגטית,משרד האנרגיה,יחידות מקצועיות,2013,2026,20000000,20000000,,active,https://next.obudget.org/i/4e19689c536b
34.30.03.02,שימור אנרגיה - תקינה, אכיפה וסקרים,משרד האנרגיה,יחידות מקצועיות,2013,2020,0,0,0,dormant,https://next.obudget.org/i/940656a1b241
34.30.03.03,התייעלות אנרגטית – הרשאה,משרד האנרגיה,יחידות מקצועיות,2013,2026,6000000,6000000,,active,https://next.obudget.org/i/8a1e31a51ce5
34.30.03.04,שימור אנרגיה - חינוך והסברה,משרד האנרגיה,יחידות מקצועיות,2013,2019,0,0,0,dormant,https://next.obudget.org/i/53412a84a6c6
34.30.03.19,מענקים לתחנות תדלוק בגז טבעי דחוס,משרד האנרגיה,יחידות מקצועיות,2017,2026,0,0,,active,https://next.obudget.org/i/1c9443224b7a
34.30.03.20,שדרוג תשתיות חלוקת גז טבעי,משרד האנרגיה,יחידות מקצועיות,2017,2026,0,0,,active,https://next.obudget.org/i/57b2e88b8e05
34.30.03.21,חיבור צרכנים מרוחקים לגז טבעי,משרד האנרגיה,יחידות מקצועיות,2017,2026,0,0,,active,https://next.obudget.org/i/c751270f2f4c
34.30.03.24,עמדות טעינה לרכבים חשמליים,משרד האנרגיה,יחידות מקצועיות,2019,2026,0,0,,active,https://next.obudget.org/i/f32b13c721ff
34.30.03.31,ערבויות להתייעלות אנרגטית,משרד האנרגיה,יחידות מקצועיות,2018,2025,0,0,,active,https://next.obudget.org/i/d071a932d2ea
34.30.03.35,השתתפויות התייעלות אנרגטית ואנרגיה נקיה - פרויקטים במשרדי ממשלה,משרד האנרגיה,יחידות מקצועיות,2021,2024,0,0,0,dormant,https://next.obudget.org/i/6c857731737f
34.30.03.37,העברות התייעלות אנרגטית ואנרגיה נקיה - פרויקטים במשרדי ממשלה,משרד האנרגיה,יחידות מקצועיות,2021,2021,0,0,0,dormant,https://next.obudget.org/i/3494b5952f41
34.30.03.43,רשת בטחון לחלוקת גז,משרד האנרגיה,יחידות מקצועיות,2024,2024,0,0,0,dormant,https://next.obudget.org/i/05e55e4e86a4
34.30.03.44,תמיכה ברשויות מקומיות – אנרגיה מקיימת,משרד האנרגיה,יחידות מקצועיות,2023,2026,0,0,,active,https://next.obudget.org/i/4ca0b59519b4
34.30.03.46,תמיכה ברשויות מקומיות – אנרגיה מקיימת (החלטת ממשלה 550),משרד האנרגיה,יחידות מקצועיות,2023,2026,0,0,,active,https://next.obudget.org/i/733857321528
34.30.03.51,פרויקטי פסולת - מדען ראשי,משרד האנרגיה,יחידות מקצועיות,2024,2026,0,0,,active,https://next.obudget.org/i/ed452a265691
34.30.03.52,פרויקטים בתחום המימן,משרד האנרגיה,יחידות מקצועיות,2025,2026,0,0,,active,https://next.obudget.org/i/2ff054c29c69
34.30.03.54,תמיכה באנרגיה מתחדשת (הקרן לאזרחי ישראל),משרד האנרגיה,יחידות מקצועיות,2025,2026,0,0,,active,https://next.obudget.org/i/6c97a78e474c
38.02.02.23,השתתפות במשרד התשתיות עבור אנרגיה מתחדשת - ה.מ. 3954,תמיכות בענפי המשק,מענקים לשלבי מו"פ,2009,2012,0,0,0,dormant,https://next.obudget.org/i/500c0f91a545
38.10.02.09,מכון לאנרגיה מתחדשת,תמיכות בענפי המשק,תכנית הדרום,2009,2012,0,0,0,dormant,https://next.obudget.org/i/a4d5500e574a
38.30.02.04,מרכז לאנרגיה מתחדשת,כלכלה ותעשייה,מענקי מחקר ופיתוח,2013,2022,0,0,0,dormant,https://next.obudget.org/i/3319358958de
38.40.01.22,מסלול להתייעלות אנרגטית,כלכלה ותעשייה,קידום השקעות ועידוד,2017,2026,0,0,,active,https://next.obudget.org/i/330559f5b610
