year,allocated,revised,used,item_count
1998,0.0,0.06,0.0,1
1999,0.0,0.06,0.05,1
2000,0.0,0.0,0.0,1
2001,0.0,0.0,0.0,1
2002,0.0,0.0,0.0,1
2003,0.0,-1.46,-0.55,2
2004,0.0,0.0,0.0,2
2005,0.0,0.0,0.0,1
2007,0.0,0.0,0.0,1
2008,0.0,5.16,0.54,2
2009,3.87,9.53,2.37,4
2010,3.87,27.74,7.15,4
2011,0.1,21.42,10.21,5
2012,1.42,16.87,3.67,5
2013,6.1,148.57,106.49,6
2014,6.1,94.71,39.53,6
2015,13.58,50.8,16.4,3
2016,14.0,42.59,22.93,3
2017,11.5,30.64,21.78,3
2018,10.0,17.84,13.53,3
2019,14.5,14.86,9.3,3
2020,,9.77,6.09,3
2021,7.99,10.72,6.93,3
2022,6.08,13.18,8.58,3
2023,23.68,19.96,16.41,3
2024,21.75,25.04,20.76,3
2025,53.53,62.14,-3.8,5
2026,51.81,51.81,,5
