code,title,office,domain,program,economic_class,functional_class,program_code,first_year,last_year
26.01.01.01,שיא כח אדם,המשרד להגנת הסביבה,תחום פעולה כללי,הנהלת המשרד,שכר,הגנת הסביבה,26.01.01,1997,2014
26.01.01.02,תפעול המשרד,המשרד להגנת הסביבה,תחום פעולה כללי,הנהלת המשרד,קניות,הגנת הסביבה,26.01.01,1997,2014
26.01.01.03,"רכישת שרותי כ""א",המשרד להגנת הסביבה,תחום פעולה כללי,הנהלת המשרד,קניות,הגנת הסביבה,26.01.01,1999,2009
26.01.01.05,שעות נוספות,המשרד להגנת הסביבה,תחום פעולה כללי,הנהלת המשרד,שכר,הגנת הסביבה,26.01.01,1997,2014
26.01.01.06,רכישת שירותי ייעוץ,המשרד להגנת הסביבה,תחום פעולה כללי,הנהלת המשרד,קניות,הגנת הסביבה,26.01.01,1997,2014
26.01.01.07,החזר הוצאות רכב,המשרד להגנת הסביבה,תחום פעולה כללי,הנהלת המשרד,שכר,הגנת הסביבה,26.01.01,1997,2014
26.01.01.08,אחזקת רכב ממשלתי,המשרד להגנת הסביבה,תחום פעולה כללי,הנהלת המשרד,העברות  פנים תקציביות,הגנת הסביבה,26.01.01,1997,2014
26.01.01.09,"חודשי עבודה - חומ""ס בהתאם להחלטת הממשלה.",המשרד להגנת הסביבה,תחום פעולה כללי,הנהלת המשרד,שכר,הגנת הסביבה,26.01.01,2002,2007
26.01.01.10,"שעות נוספות חומ""ס-בהתאם להחלטת הממשלה.",המשרד להגנת הסביבה,תחום פעולה כללי,הנהלת המשרד,שכר,הגנת הסביבה,26.01.01,2002,2007
26.01.01.11,"כונניות חומ""ס-בגין החלטת ממשלה.",המשרד להגנת הסביבה,תחום פעולה כללי,הנהלת המשרד,שכר,הגנת הסביבה,26.01.01,2002,2007
26.01.01.12,שכירת רכב,המשרד להגנת הסביבה,תחום פעולה כללי,הנהלת המשרד,קניות,הגנת הסביבה,26.01.01,1997,2010
26.01.01.13,ציוד חומרים מסוכנים,המשרד להגנת הסביבה,תחום פעולה כללי,הנהלת המשרד,קניות,הגנת הסביבה,26.01.01,2003,2007
26.01.01.14,הוצאות דלק לרכבי המשרד,המשרד להגנת הסביבה,תחום פעולה כללי,הנהלת המשרד,קניות,הגנת הסביבה,26.01.01,1997,2014
