code,title,office,domain,verdict,reason
04.01.11,שירותים מרכזיים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת כללית, ייתכן שיש קשר עקיף"
04.01.12,המינהלה לפרוייקטים,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת כללית, ייתכן ניהול פרויקטי אנרגיה ירוקה"
04.01.13,ועדת וינוגרד,משרד ראש הממשלה,תחום פעולה כללי,drop,"ועדה היסטורית, אינה קשורה לנושא"
04.01.14,מנהלת השירות האזרחי,משרד ראש הממשלה,תחום פעולה כללי,drop,"מנהלת שירות אזרחי, אינה קשורה לאנרגיה"
04.01.15,מנהלת השיחות עם,משרד ראש הממשלה,תחום פעולה כללי,drop,"מנהלת שיחות דיפלומטיות, ללא קשר לאנרגיה"
04.01.16,מטה הסברה לאומי,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"מטה הסברה כללי, ייתכן כולל אנרגיה ירוקה"
04.01.17,העצמת תשתיות מורשת,משרד ראש הממשלה,תחום פעולה כללי,drop,"תשתיות מורשת, אינו נוגע לאנרגיה ירוקה"
04.01.18,ועדת טירקל,משרד ראש הממשלה,תחום פעולה כללי,drop,"ועדה היסטורית, אינה קשורה לנושא"
04.01.19,אמרכלות,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"כותרת כללית, ייתכן ניהול עקיף הקשור לאנרגיה"
04.01.20,מערך הגיור,משרד ראש הממשלה,תחום פעולה כללי,drop,"שירותי דת, אין קשר לאנרגיה ירוקה"
04.01.21,הוועדה הבינמשרדית,משרד ראש הממשלה,תחום פעולה כללי,ambiguous,"ועדה כללית, ייתכן עוסקת גם באנרגיה"
04.01.22,מטה קיברנטי לאומי,משרד ראש הממשלה,תחום פעולה כללי,drop,"ביטחון קיברנטי, אינו קשור לאנרגיה ירוקה"
04.01.31,ארכיון המדינה,משרד ראש הממשלה,תחום פעולה כללי,drop,"ארכיון לאומי, אינו קשור לאנרגיה ירוקה"
04.01.32,הנצחת נשיאים וראשי,משרד ראש הממשלה,תחום פעולה כללי,drop,"הנצחה, אינו קשור לאנרגיה ירוקה"
