code,title,program,reason
04.01.11.02,שעות נוספות,שירותים מרכזיים,"Generic administrative title, ambiguous program."
04.01.11.03,עבודה בלתי צמיתה,שירותים מרכזיים,"Generic administrative title, ambiguous program."
04.01.11.04,פעולות הנהלה מיוחדות,שירותים מרכזיים,"Generic administrative title, ambiguous program."
04.01.11.05,השתתפות בפרוייקט מרכבה,שירותים מרכזיים,Not related to green energy.
04.01.11.06,מיכון,שירותים מרכזיים,"Generic administrative title, ambiguous program."
04.01.11.07,עלויות פרישה,שירותים מרכזיים,"Generic administrative title, ambiguous program."
04.01.11.08,השתתפות בבוחן ותהילה,שירותים מרכזיים,Not related to green energy.
04.01.11.09,השתתפות במשרד האוצר - הרפורמה בחשבונאות הממשלתית,שירותים מרכזיים,Not related to green energy.
04.01.11.10,טיפול בבעיות הדרוזים,שירותים מרכזיים,Not related to green energy.
04.01.11.11,מלגות לדרוזים,שירותים מרכזיים,Not related to green energy.
04.01.11.12,"ועידת רוה""מ לעסקים",שירותים מרכזיים,Not related to green energy.
04.01.11.13,קתדרה ללימודי יהדות,שירותים מרכזיים,Not related to green energy.
04.01.11.14,"השתתפות משרד תמ""ס",שירותים מרכזיים,"Generic title, no green energy link."
04.01.11.16,"פעולות, תפעול ותשתיות",שירותים מרכזיים,"Generic administrative title, ambiguous program."
04.01.11.17,העצמת תשתיות מורשת - הרשאה להתחייב,שירותים מרכזיים,Not related to green energy.
04.01.11.18,"השתתפות בבניין רוה""מ",שירותים מרכזיים,Not related to green energy.
04.01.11.19,השתתפות בפרוייקט ממשל זמין,שירותים מרכזיים,Not related to green energy.
04.01.11.20,"פרוייקטים - משרד רוה""מ",שירותים מרכזיים,"Generic title, ambiguous program."
04.01.11.22,השתתפות במשרד החינוך,שירותים מרכזיים,"Generic title, no green energy link."
04.01.11.23,השתתפות במשרד הביטחון,שירותים מרכזיים,"Generic title, no green energy link."
04.01.11.24,השתתפות בדיור הממשלתי - פרויקט אלמוג,שירותים מרכזיים,Not related to green energy.
04.01.11.25,פרויקט אלמוג,שירותים מרכזיים,Not related to green energy.
04.01.11.26,השתתפות במשרד החינוך - פרויקט יד בן צבי,שירותים מרכזיים,Not related to green energy.
04.01.11.27,השתתפות במשרד הביטחון,שירותים מרכזיים,"Generic title, no green energy link."
