code,year,amount_allocated,amount_revised,amount_used
04.01.11.21,2004,0,301000,250000
04.01.11.21,2005,0,0,0
04.01.11.21,2006,0,1250000,0
04.01.11.21,2007,1250000,2500000,0
04.01.11.21,2008,1250000,3750000,406000
04.01.11.21,2009,1250000,4594000,0
04.01.11.21,2010,0,5844000,3457790
04.01.11.21,2011,0,3250000,3250000
04.01.11.21,2012,0,0,0
04.01.11.21,2013,0,0,0
04.01.11.44,2008,0,-250000,0
04.01.11.44,2009,0,0,0
04.01.11.44,2010,0,0,0
04.01.11.50,2008,0,1550000,1550000
04.01.11.50,2009,0,1000000,0
04.01.11.50,2010,0,1000000,0
04.01.11.50,2011,0,0,0
04.01.11.50,2012,0,0,0
04.01.11.51,2008,0,-500000,-495000
04.01.11.51,2009,0,0,0
04.01.11.51,2010,0,0,0
04.63.03.46,2025,0,0,0
04.63.03.46,2026,3581000,3581000,
05.01.01.16,2012,0,6900000,3653776
05.01.01.16,2013,0,0,0
05.01.01.16,2014,0,0,0
05.02.08.61,2009,0,150000,104763
05.02.08.61,2010,0,245000,29759
05.02.08.61,2011,0,216000,67254
05.02.08.61,2012,0,0,0
05.02.08.61,2013,0,0,0
07.80.02.72,2023,0,6700000,6594557
07.80.02.72,2024,6000000,5404000,5262293
07.80.02.72,2025,0,130000,163657
07.80.02.72,2026,0,0,
18.11.01.97,2016,0,2560000,0
18.11.01.97,2017,0,3547000,220247
18.11.01.97,2018,0,3060000,625083
18.11.01.97,2019,0,4416000,2230073
18.11.01.97,2020,,0,0
18.11.01.97,2021,0,0,0
26.01.01.38,2000,0,100000,80116
26.01.01.38,2001,0,20000,0
26.01.01.38,2002,0,20000,0
26.01.01.38,2003,0,20000,0
26.01.01.38,2004,0,0,0
26.01.01.38,2005,0,0,0
26.01.01.40,1997,969000,1456000,508629
26.01.01.40,1998,861000,1210000,844804
26.01.01.40,1999,801000,1103000,740283
26.01.01.40,2000,777000,1105000,814599
26.01.01.40,2001,867000,1157000,909604
26.01.01.40,2002,866000,1025000,1069126
26.01.01.40,2003,970000,970000,917152
26.01.01.40,2004,1265000,1308000,974150
26.01.01.40,2005,1227000,1686000,1047205
26.01.01.40,2006,1227000,1835000,1119976
26.01.01.40,2007,1200000,1912000,1293457
26.01.01.40,2008,1235000,1835000,791527
26.01.01.40,2009,0,0,0
26.01.01.40,2010,0,0,0
26.03.12.09,1998,0,76000,56798
26.03.12.09,1999,0,19000,18932
26.03.12.09,2000,0,0,0
26.03.12.09,2001,0,0,0
26.03.12.09,2002,0,244000,176376
26.03.12.09,2003,0,63000,41169
26.03.12.09,2004,0,22000,22000
26.03.12.09,2005,0,800000,0
26.03.12.09,2006,0,800000,376000
26.03.12.09,2007,0,424000,424000
26.03.12.09,2008,0,0,0
26.03.12.09,2009,0,0,0
26.03.12.20,1998,0,60000,0
26.03.12.20,1999,0,55000,54990
26.03.12.20,2000,0,0,0
26.03.12.20,2001,0,0,0
26.03.12.20,2002,0,0,0
26.03.12.20,2003,0,0,0
26.03.12.20,2004,0,0,0
26.03.12.51,2011,0,1000000,0
26.03.12.51,2012,0,1370000,25000
26.03.12.51,2013,0,0,0
26.03.12.51,2014,0,0,0
26.03.28.31,2007,0,0,0
26.03.28.31,2008,0,209000,536751
26.03.28.31,2009,0,1313000,1152035
26.03.28.31,2010,0,681000,480031
26.03.28.31,2011,96000,535000,114210
26.03.28.31,2012,95000,411000,263730
26.03.28.31,2013,0,0,0
26.03.28.31,2014,0,0,0
26.03.41.50,2011,0,6430000,2895901
26.03.41.50,2012,0,7624000,5821911
26.03.41.50,2013,0,0,0
26.03.41.50,2014,0,0,0
26.09.02.01,1997,1740000,1740000,1777622
26.09.02.01,1998,1857000,1857000,1853114
26.09.02.01,1999,1851000,1851000,1847695
26.09.02.01,2000,2013000,2013000,2013462
26.09.02.01,2001,2782000,3182000,2781012
26.09.02.01,2002,2911000,2034000,2035375
26.09.02.01,2003,2811000,1685000,1662051
26.09.02.01,2004,417000,417000,417937
26.09.02.01,2005,372000,372000,370216
26.09.02.01,2006,372000,1972000,1973145
26.09.02.01,2007,372000,2046000,2059387
26.09.02.01,2008,500000,1795000,170535
26.09.02.01,2009,0,0,0
26.09.02.01,2010,0,0,0
26.12.01.22,2013,0,5802000,3057650
26.12.01.22,2014,0,6689000,1570708
26.12.01.22,2015,0,5118000,975620
26.12.01.22,2016,0,17465000,269287
26.12.01.22,2017,0,676000,628356
26.12.01.22,2018,0,47000,47213
26.12.01.22,2019,0,0,0
26.12.01.22,2020,,0,0
26.12.01.22,2022,0,0,0
26.12.01.22,2023,0,2200000,2095570
26.12.01.22,2024,0,92000,842475
26.12.01.22,2025,0,3000000,1800300
26.12.01.22,2026,0,0,
26.12.01.23,2013,2000000,11439000,4469851
26.12.01.23,2014,2000000,12529000,5733983
26.12.01.23,2015,9000000,9595000,2033026
26.12.01.23,2016,4000000,7796000,1764844
26.12.01.23,2017,1500000,7109000,4480172
26.12.01.23,2018,1500000,3753000,876114
26.12.01.23,2019,0,1776000,1379017
26.12.01.23,2020,,0,0
26.12.01.23,2021,0,0,0
26.12.01.23,2022,0,15000000,15000000
26.12.01.23,2023,0,5800000,5240365
26.12.01.23,2024,0,492000,7304783
26.12.01.23,2025,0,12527000,11422378
26.12.01.23,2026,0,0,
26.12.01.24,2013,0,0,0
26.12.01.24,2014,19238000,8468000,8468000
26.12.01.24,2015,0,0,0
26.12.01.24,2016,0,0,0
26.12.01.24,2022,10000000,8909000,6518587
26.12.01.24,2023,4069000,17600000,15515228
26.12.01.24,2024,9600000,3555000,6065518
26.12.01.24,2025,3840000,3817000,2986287
26.12.01.24,2026,1000000,1000000,
26.12.01.25,2013,0,11200000,0
