code,title,office,program,economic_class_primary,item_url
04.01.11.21,השתתפות במשרד לאיכות הסביבה - פרויקט פארק איילון,משרד ראש הממשלה,שירותים מרכזיים,העברות  פנים תקציביות,https://next.obudget.org/i/4f24b59fff9a
04.01.11.44,השתתפות ברשות הטבע והגנים,משרד ראש הממשלה,שירותים מרכזיים,העברות  פנים תקציביות,https://next.obudget.org/i/6b7b8945e065
04.01.11.50,השתתפות ברשות הטבע והגנים,משרד ראש הממשלה,שירותים מרכזיים,העברות  פנים תקציביות,https://next.obudget.org/i/4bc30b95c85d
04.01.11.51,השתתפות המשרד להגנת הסביבה,משרד ראש הממשלה,שירותים מרכזיים,העברות  פנים תקציביות,https://next.obudget.org/i/f52b026a5d27
04.63.03.46,תשתיות אנרגיה מתחדשת,משרד ראש הממשלה,פיתוח הנגב והגליל,קניות,https://next.obudget.org/i/dd7ffb7099d3
05.01.01.16,העסקת יועצים במשק האנרגיה,משרד האוצר,משרד ראשי,קניות,https://next.obudget.org/i/ae4a82ece787
05.02.08.61,התייעלות אנרגטית,משרד האוצר,מנהל הדיור הממשלתי,קניות,https://next.obudget.org/i/12a73189b38f
07.80.02.72,קרן התייעלות,המשרד לביטחון לאומי,קניות,קניות,https://next.obudget.org/i/7e2b8305a537
18.11.01.97,התייעלות אנרגטית ברשויות המקומיות,הרשויות המקומיות,העברות לרשויות,העברות,https://next.obudget.org/i/8efb8d598f83
26.01.01.38,רכישת רכב זיהום אויר,משרד איכות הסביבה,הנהלת המשרד,קניות,https://next.obudget.org/i/f5c7ffe48181
26.01.01.40,אכיפת חוקי איכות הסביבה רכישת שרותים ופעולות,המשרד להגנת הסביבה,הנהלת המשרד,קניות,https://next.obudget.org/i/cc299ae358b4
26.03.12.09,השתתפות במשרד התשתיות - מחקר משותף,המשרד להגנת הסביבה,סקרים ומחקרים,העברות  פנים תקציביות,https://next.obudget.org/i/10a31d5834f3
26.03.12.20,פרוייקט בניה ירוקה - הוצאה,משרד איכות הסביבה,סקרים ומחקרים,קניות,https://next.obudget.org/i/cb542957c794
26.03.12.51,תחליפי נפט-ביצוע החלטת ממשלה 2790 מיום 30.1.2011,המשרד להגנת הסביבה,סקרים ומחקרים,קניות,https://next.obudget.org/i/cf8e6a28c88d
26.03.28.31,תמיכות בנייה ירוקה לפי החלטת ממשלה 2508 מיום 28.11.2010,המשרד להגנת הסביבה,אשכול תכנון ומדיניות,העברות,https://next.obudget.org/i/69fe8d050404
26.03.41.50,פעולות בנושא הפחתת פליטות גזי חממה,המשרד להגנת הסביבה,פרוייקטים סביבתיים,קניות,https://next.obudget.org/i/dbcc63425e4f
26.09.02.01,"קרן האוזון, אמנת וינה, EERV ,IUCN, אמנת מיגוון המינים, אמנת שינויי האקלים",המשרד להגנת הסביבה,קרנות ואמנות בינלאומיות,קניות,https://next.obudget.org/i/02b9c71ead22
26.12.01.22,יישום החלטת ממשלה 550 - קניות,המשרד להגנת הסביבה,פעולות יחידות המשרד,קניות,https://next.obudget.org/i/2033768cfc18
26.12.01.23,יישום החלטת ממשלה 550 - תמיכות,המשרד להגנת הסביבה,פעולות יחידות המשרד,העברות,https://next.obudget.org/i/7161ba2bbb74
26.12.01.24,תכניות אקלים- קניות,המשרד להגנת הסביבה,פעולות יחידות המשרד,קניות,https://next.obudget.org/i/089d59dfaf24
26.12.01.25,תכניות אקלים- תמיכות,המשרד להגנת הסביבה,פעולות יחידות המשרד,העברות,https://next.obudget.org/i/8c0a1ad9f6bb
33.06.02.78,חקלאות מתחדשת תמיכות רב שנתיות,משרד החקלאות,תמיכות ומחקרים בחקלאות,העברות,https://next.obudget.org/i/7b80860ab2dc
34.06.03.30,"מחקר להטמנת פד""ח",משרד האנרגיה והמים,שירותים מרכזיים,קניות,https://next.obudget.org/i/82a3e7c19161
34.11.01.01,סקרים ומענקי מחקר,משרד האנרגיה והמים,פיתוח אנרגיות חלופיות,העברות,https://next.obudget.org/i/229110399edd
34.11.01.02,מענקים להדגמת טכנולוגיות,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות,https://next.obudget.org/i/54ee64764692
34.11.01.04,מחקרים במימון בינלאומי,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות,https://next.obudget.org/i/4b03ab005c5c
34.11.01.05,סקרים ומענקי מחקר,משרד האנרגיה והמים,פיתוח אנרגיות חלופיות,העברות,https://next.obudget.org/i/1430435c82e3
34.11.01.06,הקמת מתקני חלוץ,משרד האנרגיה והמים,פיתוח אנרגיות חלופיות,העברות,https://next.obudget.org/i/4f5821076088
34.11.01.07,תשלום חוב לסולמת,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,קניות,https://next.obudget.org/i/733915a2ed90
34.11.01.15,רכישת ציוד מחקר חיוני,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,קניות,https://next.obudget.org/i/60be0e21f9ab
34.11.01.20,חברות באירגונים בינלאומיים בנושאי מחקר ופיתוח,משרד האנרגיה והמים,פיתוח אנרגיות חלופיות,קניות,https://next.obudget.org/i/1c9515971a43
34.11.01.21,"סקרים, מחקר ויעוץ בשימור אנרגיה",משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,העברות,https://next.obudget.org/i/371a51d22761
34.11.01.22,מחקרים באנרגיות מתחדשות,משרד התשתיות הלאומיות,פיתוח אנרגיות חלופיות,קניות,https://next.obudget.org/i/6d92ffa7f04a
34.12.01.01,מענקים לחסכון באנרגיה,משרד התשתיות הלאומיות,עידוד חסכון באנרגיה,העברות,https://next.obudget.org/i/17bfd2596627
34.12.02.01,יחידה לשימור אנרגיה במרכז הבניה,משרד התשתיות הלאומיות,רפרנטורה טכנית,קניות,https://next.obudget.org/i/0cc3b114aad7
34.12.03.01,סקרים ומחקרים בנושא יעילות השימוש באנרגיה,משרד התשתיות הלאומיות,יעילות השימוש באנרגיה,קניות,https://next.obudget.org/i/5d34ce594cd7
34.12.03.02,מענקים להדגמת טכנולוגיות להתיעלות באנרגיה,משרד התשתיות הלאומיות,יעילות השימוש באנרגיה,העברות,https://next.obudget.org/i/14e5791756f9
34.12.03.04,קידום פעילות סוכני שימור אנרגיה,משרד התשתיות הלאומיות,יעילות השימוש באנרגיה,העברות,https://next.obudget.org/i/338220c6847f
34.12.03.05,קידום פרויקטים זעירים להתייעלות אנרגטית,משרד התשתיות הלאומיות,יעילות השימוש באנרגיה,העברות,https://next.obudget.org/i/f524392caf5d
34.12.03.07,פעולות אכיפה,משרד התשתיות הלאומיות,יעילות השימוש באנרגיה,קניות,https://next.obudget.org/i/013f5a10acce
34.12.03.08,פעולות הדרכה והסברה,משרד התשתיות הלאומיות,יעילות השימוש באנרגיה,קניות,https://next.obudget.org/i/bb75bbd2d20b
34.12.03.09,"ייעוץ וחוו""ד מומחים",משרד התשתיות הלאומיות,יעילות השימוש באנרגיה,קניות,https://next.obudget.org/i/35f6cbb4aab9
34.12.03.21,יעול השימוש באנרגיה,משרד האנרגיה והמים,יעילות השימוש באנרגיה,קניות,https://next.obudget.org/i/91b84b436a8a
34.12.03.22,פעולות כלליות בשימור אנרגיה,משרד האנרגיה והמים,יעילות השימוש באנרגיה,קניות,https://next.obudget.org/i/b45cab05d466
34.12.03.23,הוצאות מכרז אשראי,משרד התשתיות הלאומיות,יעילות השימוש באנרגיה,קניות,https://next.obudget.org/i/db963d7be8f5
34.12.03.24,"תקינה, אכיפה וסקרי אנרגיה",משרד האנרגיה והמים,יעילות השימוש באנרגיה,קניות,https://next.obudget.org/i/1626a3192e2f
34.12.03.25,התקשרות עם גורמי חוץ,משרד האנרגיה והמים,יעילות השימוש באנרגיה,קניות,https://next.obudget.org/i/e048e9fbd5a4
34.12.03.26,התייעלות במגזר הביתי,משרד האנרגיה והמים,יעילות השימוש באנרגיה,קניות,https://next.obudget.org/i/8a6402f14bd8
34.12.03.27,פעולות לחינוך והסברה,משרד האנרגיה והמים,יעילות השימוש באנרגיה,קניות,https://next.obudget.org/i/570d64f8fd09
34.12.03.30,ייעוץ תכנוני,משרד התשתיות הלאומיות,יעילות השימוש באנרגיה,קניות,https://next.obudget.org/i/e767aebd3548
34.13.01.22,קמפיין התייעלות אנרגטית,משרד התשתיות הלאומיות,יצירת מידע והפצתו,קניות,https://next.obudget.org/i/ef465822218e
34.13.01.23,כנס אנרגיות מתחדשות,משרד התשתיות הלאומיות,יצירת מידע והפצתו,קניות,https://next.obudget.org/i/05be5f5beaa5
34.30.03.01,פעולות התייעלות אנרגטית,משרד האנרגיה,יחידות מקצועיות,קניות,https://next.obudget.org/i/3679a64d9444
34.30.03.02,"שימור אנרגיה - תקינה, אכיפה וסקרים",משרד האנרגיה,יחידות מקצועיות,קניות,https://next.obudget.org/i/81322784e047
34.30.03.03,התייעלות אנרגטית – הרשאה,משרד האנרגיה,יחידות מקצועיות,העברות,https://next.obudget.org/i/d46c1c1da51f
34.30.03.04,שימור אנרגיה - חינוך והסברה,משרד האנרגיה,יחידות מקצועיות,קניות,https://next.obudget.org/i/e98a1eab5739
34.30.03.24,עמדות טעינה לרכבים חשמליים,משרד האנרגיה,יחידות מקצועיות,קניות,https://next.obudget.org/i/c60bce61ded1
34.30.03.27,ערבויות להתעיילות אנרגטית,משרד האנרגיה,יחידות מקצועיות,קניות,https://next.obudget.org/i/dca0202ffa01
34.30.03.31,ערבויות להתייעלות אנרגטית,משרד האנרגיה,יחידות מקצועיות,קניות,https://next.obudget.org/i/52e9d6cb2ad3
